,Product Category,Net Indicator Value
0,Consumer goods,239884.38
1,Minerals,3225.23
2,Raw materials,62158.56
3,Capital goods,205676.29
4,Plastic or Rubber,38319.56
5,Vegetable,48051.62
6,Footwear,5191.95
7,Miscellaneous,78616.53
8,Intermediate goods,151409.19
9,Textiles and Clothing,21074.6
10,Food Products,44987.23
11,Transportation,34428.65
12,Hides and Skins,2557.72
13,Wood,13725.03
14,Mach and Elec,143949.67
15,Metals,42541.56
16,Stone and Glass,5310.31
17,Fuels,87772.93
18,Chemicals,98852.5
19,Animal,28268.16
