,Product categories,Indicator Type,Indicator,2017,2018,2019,2020,2021
2,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7865.85,7292.18,7003.81,6809.08,7491.4
3,Raw materials,Export,Export(US$ Mil),2552.65,2814.73,2085.88,2312.6,154406.07
5,Plastic or Rubber,Export,Export(US$ Mil),17283.21,21213.92,19244.67,16599.68,24286.13
6,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
7,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,6545.79,0,0
10,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8754.89,12080.29,10364.17,8979.64,12471.46
11,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
13,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6216.3,9724.29,9339.88,8181.52,10957.81
14,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
16,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2862.42,3564.93,3773.45,3096.33,9133.48
19,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
20,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
21,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5829.76,0,0,0,0
23,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,5684.93,0,6367.02,8073.8
27,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,170243.86,231583.79,202427.74,131998.51,171443.23
29,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20525.72,22243.71,27066.62,26509.17,30234.8
30,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8073.71,8131.95,4376.21,8917.21,14750.08
31,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,7782.66
32,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
33,Raw materials,Import,Import(US$ Mil),10952.55,9879.4,8885.92,9334.88,11037.52
34,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
35,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
38,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
39,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
45,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
46,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
47,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
51,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
52,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18197.82,18041.07,17097.55,14103.51,16216.55
57,Fuels,Export,Export(US$ Mil),170244.95,231587.24,202377.26,132022.03,212585.26
58,Chemicals,Export,Export(US$ Mil),14255.18,19987.84,17901.32,15195.21,22399.43
59,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3077.72,4020.13,3413.55,2872.34,0
60,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
