,Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
0,Syrian Arab Republic,World,Consumer goods,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,3830.23,3698.66,5061.99,4034.24,3548.55,1127.21,4783.51,3976.77,3674.56,1853.82,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Syrian Arab Republic,World,Minerals,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,209.21,144.61,393.3,48.59,67.46,69.37,203.86,177.45,206.44,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Syrian Arab Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058.72,977.04,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Syrian Arab Republic,World,Raw materials,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,5969.85,4478.85,6105.03,5165.54,4960.04,4624.98,15231.03,17872.7,21349.93,16576.42,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Syrian Arab Republic,World,Capital goods,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,205.32,163.03,321.36,315.07,297.62,63.48,153.51,124.65,89.92,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Syrian Arab Republic,World,Plastic or Rubber,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,374.94,305.86,260.07,255.84,224.18,72.06,138.85,114.2,41.35,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Syrian Arab Republic,World,Vegetable,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,1127.16,1106.65,913.6,1487.4,1178.49,478.24,1588.57,2026.06,1926.08,1148.44,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Syrian Arab Republic,World,Footwear,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,111.21,100.51,198.3,222.1,162.69,33.78,135.27,193.23,254.86,21.23,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Syrian Arab Republic,World,Miscellaneous,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,45.13,53.49,250.9,207.63,847.72,50.62,442.56,68.35,872.25,1983.83,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Syrian Arab Republic,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,1477.11,960.22,1640.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Syrian Arab Republic,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.86,0,0,1141.46,1033.01,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Syrian Arab Republic,World,Intermediate goods,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,1344.03,1329.16,2713.91,1922.66,1353.09,599.35,1616.42,1628.23,958.33,371.52,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Syrian Arab Republic,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,2294.52,2718.13,2557.56,647.65,698.74,0,2132.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Syrian Arab Republic,World,Textiles and Clothing,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,1198.89,1385.12,2115.33,2110.89,1879.09,557.49,1877.57,2109.12,2105.18,1213.8,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Syrian Arab Republic,World,Food Products,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,793.9,976.86,1610.36,498.15,351.04,158.14,559.68,366.86,216.32,76.11,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Syrian Arab Republic,World,Consumer goods,Import,Import(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,6912.48,4573.02,7841.72,6825.59,4947.71,1780.33,7130.1,5288.81,4269.26,3848.0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Syrian Arab Republic,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Syrian Arab Republic,World,Transportation,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,24.38,19.19,14.99,13.69,12.13,12.52,20.55,21.53,10.4,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Syrian Arab Republic,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,542.6,592.84,1028.26,1223.71,954.96,370.16,1469.31,1397.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Syrian Arab Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,1545.91,1310.75,1978.42,1175.2,747.41,636.0,2040.89,1239.45,1094.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Syrian Arab Republic,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299.83,1013.73,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Syrian Arab Republic,World,Raw materials,Import,Import(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,1645.54,1851.48,1428.73,1011.26,871.79,702.6,2227.06,1967.67,1260.98,1065.29,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Syrian Arab Republic,Lebanon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,1335.65,0,0,0,0,951.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Syrian Arab Republic,Malta,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,1442.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Syrian Arab Republic,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,0,935.32,0,0,1648.33,855.86,3933.63,2450.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
