,Product categories,Indicator Type,Indicator,2017,2018,2019,2020,2021
2,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
3,Raw materials,Export,Export(US$ Mil),0,0,0,0,0
6,Vegetable,Export,Export(US$ Mil),0,0,0,0,0
12,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
13,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
15,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
16,Textiles and Clothing,Export,Export(US$ Mil),0,0,0,0,0
19,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
21,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
22,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
23,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
24,Raw materials,Import,Import(US$ Mil),0,0,0,0,0
25,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
26,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
27,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
28,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
31,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
33,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
34,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
36,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
37,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
39,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
42,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
46,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
47,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0
48,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
53,Fuels,Export,Export(US$ Mil),0,0,0,0,0
55,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0
