,Product Category,Net Indicator Value
0,Consumer goods,475384.27
1,Minerals,14682.54
2,Raw materials,246705.65
3,Capital goods,528779.38
4,Plastic or Rubber,87919.19
5,Vegetable,91825.56
6,Footwear,1683.88
7,Miscellaneous,194008.39
8,Intermediate goods,371217.94
9,Textiles and Clothing,25593.63
10,Food Products,49386.31
11,Transportation,216273.48
12,Hides and Skins,3442.45
13,Wood,39734.25
14,Mach and Elec,375506.25
15,Metals,75409.12
16,Stone and Glass,89885.72
17,Fuels,239780.82
18,Chemicals,212136.22
19,Animal,35868.9
