,Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
0,United States,World,Consumer goods,Export,Export(US$ Mil),475384.27,369729.51,430333.57,431527.79,400719.11,370436.52,388367.79,442287.78,427244.98,404361.66,376012.37,308042.05,252727.73,308502.14,261574.3,231594.03,201753.88,175522.23,157024.17,148462.85,149396.31,155457.15,134506.31,131254.69,131840.83,120873.46,111911.89,104059.18,93154.36,88110.7,78103.68,0,0,0
1,United States,World,Minerals,Export,Export(US$ Mil),14682.54,10148.96,10706.74,10387.62,9407.67,8118.8,9489.88,11218.75,9917.61,9636.59,10201.93,7823.45,5119.62,8708.37,7847.65,6720.44,5144.33,3474.98,2811.44,2593.86,2750.85,2815.33,2564.14,2642.49,2960.31,2747.49,3185.75,2460.93,2189.08,2684.43,2565.07,0,0,0
2,United States,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,138194.63,117393.02,129857.18,128345.62,119962.97,116259.43,127170.57,125532.37,114338.45,109216.64,100675.93,84129.52,72632.76,99758.48,96631.6,91215.23,86873.02,79143.13,69681.5,63905.16,59075.09,58511.3,56605.94,51281.9,44191.16,39989.23,38041.61,32688.44,29461.1,29594.94,26887.35,0,0,0
3,United States,World,Raw materials,Export,Export(US$ Mil),246705.65,190294.98,200924.18,189985.11,158069.68,136670.47,136449.47,162869.32,153991.59,158800.07,164758.98,135180.76,107260.15,136226.24,103965.18,80415.04,67844.7,63196.85,57396.41,50101.91,50691.55,51155.46,46189.31,49002.63,56990.81,62947.48,61121.13,48544.94,45862.88,48402.54,46927.57,0,0,0
4,United States,World,Capital goods,Export,Export(US$ Mil),528779.38,468653.02,528561.02,540285.3,518558.06,498512.9,517758.98,536096.7,519829.22,518805.16,492760.97,445798.52,371036.09,522991.1,505384.22,470540.52,367402.04,343063.69,339215.18,335579.05,364011.53,403450.75,354209.03,342680.23,337165.21,291286.89,266727.88,237597.64,211362.95,201668.22,188282.73,0,0,0
5,United States,World,Plastic or Rubber,Export,Export(US$ Mil),87919.19,71827.92,78596.95,81008.39,75825.19,71655.24,74344.87,78350.75,76125.37,75065.07,73995.19,66075.81,52671.71,62999.28,58704.91,52358.34,46766.08,41398.27,35565.9,33643.35,33207.74,34976.34,29958.76,28824.43,29017.54,25639.89,24038.93,20604.18,17688.43,16855.73,16072.72,0,0,0
6,United States,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,139389.68,122483.99,146974.31,145902.25,139733.0,135071.04,135023.8,137503.84,138574.36,146431.64,132558.8,123762.73,98401.03,143351.76,149423.01,152244.04,141861.46,133551.8,121238.59,124566.14,126473.31,146479.39,134871.22,125089.62,124265.67,117962.86,127195.33,122468.04,110417.68,100217.44,95713.13,0,0,0
7,United States,World,Vegetable,Export,Export(US$ Mil),91825.56,76622.11,67237.2,69501.02,71553.04,72138.16,67976.11,78192.8,73667.52,76186.8,74074.6,63841.69,55543.77,67464.8,50449.71,36939.46,32724.39,33427.68,31028.83,27585.59,25431.12,25498.26,25412.68,26747.68,29992.39,34805.12,31479.65,24312.49,23948.74,23953.24,21758.63,0,0,0
8,United States,World,Footwear,Export,Export(US$ Mil),1683.88,1581.41,2157.25,2089.32,1924.89,1868.5,1934.2,1888.77,1805.56,1748.2,1655.94,1416.81,1224.83,1358.9,1149.19,1064.21,949.14,848.23,865.98,873.91,1006.26,1051.61,1006.93,1010.29,1094.02,1052.42,973.47,930.14,869.51,847.02,779.18,0,0,0
9,United States,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,363904.69,276195.55,326628.56,325683.55,305647.66,282919.22,301942.71,354171.83,331016.25,323026.4,317921.22,280426.52,227577.35,339074.08,317481.9,307723.06,294382.27,260161.29,225035.35,212398.4,216234.13,230816.14,201433.19,177916.43,171330.62,159691.18,148277.89,131916.2,113580.38,101241.4,93585.01,0,0,0
10,United States,World,Miscellaneous,Export,Export(US$ Mil),194008.39,169117.84,189065.32,189960.05,177167.04,168832.29,290291.52,285865.55,271546.42,256846.61,229990.09,215120.3,197082.44,139000.18,132694.22,118608.19,159060.5,141009.03,84662.79,81401.06,87996.5,90355.28,75834.56,73808.54,71864.69,64789.59,59578.44,54650.28,50315.75,48273.31,45099.55,0,0,0
11,United States,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,151065.18,124648.51,106626.65,120147.87,129797.52,115594.77,116071.71,123675.62,121721.08,110516.54,104121.38,91910.98,69575.61,71456.41,65237.88,55224.1,41190.67,34427.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,United States,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,54672.14,0,0,0,0,28830.85,26628.85,29994.49,29445.97,26786.59,26633.98,0,0,0,19226.24,18946.1,21229.89,21282.4,0,0,0
16,United States,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,388357.52,328861.8,361320.94,349195.25,315733.53,296199.94,299181.82,296855.76,280539.04,277586.31,265113.82,232251.41,178321.65,218066.23,212878.01,200499.68,172388.58,157881.92,139686.66,136025.06,131334.7,135923.12,111067.22,96074.62,87119.79,74108.15,62745.62,50333.54,40720.67,35865.04,31771.51,0,0,0
17,United States,World,Intermediate goods,Export,Export(US$ Mil),371217.94,286863.73,310285.93,324103.85,301869.8,284221.32,298377.59,322180.79,329394.98,328017.05,328087.71,276574.8,220034.26,294522.21,253607.77,221745.89,179527.25,160854.88,146520.69,134515.96,139308.93,144981.66,131745.92,132573.68,135606.02,123059.34,121234.92,101424.4,94517.84,89627.01,89234.65,0,0,0
18,United States,World,Textiles and Clothing,Export,Export(US$ Mil),25593.63,22820.03,26158.59,27204.94,25918.22,23649.31,24966.5,26221.53,26794.79,26579.0,28732.53,23590.28,18341.11,22591.6,22041.43,22697.73,21943.71,22005.83,20430.4,19318.93,19994.33,21981.87,19239.96,21154.49,21258.06,19087.86,18596.5,15472.98,12979.1,12535.5,11972.09,0,0,0
19,United States,World,Food Products,Export,Export(US$ Mil),49386.31,43636.92,45277.8,46788.09,44095.68,43759.55,45066.87,45976.22,44489.21,40453.41,37842.57,31902.92,27696.75,28426.28,24306.08,21525.76,19257.47,18284.27,17773.94,17119.88,18720.93,18857.13,18188.67,19781.29,20816.45,19691.03,18400.49,18081.74,15946.87,15941.15,14726.66,0,0,0
20,United States,World,Consumer goods,Import,Import(US$ Mil),1072458.69,903422.72,949394.02,948294.3,885215.06,848244.16,862734.52,850923.7,797359.87,779461.66,770067.2,708671.32,588567.18,760932.07,755580.89,718543.86,665887.44,588314.97,521835.67,476212.45,437539.32,438558.6,377702.88,337962.54,306688.79,274954.13,258955.12,240854.15,213823.17,195238.7,177336.99,0,0,0
21,United States,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65769.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25066.62,26582.87,25413.12,0,0,0,0,0,0,0
22,United States,World,Transportation,Export,Export(US$ Mil),216273.48,190785.04,274899.75,276110.13,266880.59,265253.1,146887.87,155532.12,150544.8,150590.8,133288.98,111977.19,86094.29,189712.99,188858.01,164869.66,95533.85,85016.07,109210.82,108970.25,107262.99,106104.83,111469.24,114971.04,103818.58,89958.18,80091.09,81657.96,76658.23,78773.42,72338.59,0,0,0
23,United States,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,541531.35,457164.22,472464.91,563203.12,525764.71,481310.45,504028.12,486296.24,440351.8,425557.37,417340.26,382964.82,309530.23,356304.56,340106.65,305778.88,259836.02,210500.13,163313.86,133510.39,102267.29,100012.9,87775.12,75094.92,65811.6,54396.46,48505.59,41345.78,33673.21,27450.24,0,0,0,0
24,United States,World,Raw materials,Import,Import(US$ Mil),249798.88,171995.34,223795.77,254046.37,227562.2,189452.96,216179.07,341332.38,350020.35,392269.1,420683.09,331162.47,254859.15,430170.68,313337.35,288517.08,240635.72,187947.38,146002.06,118871.99,108392.31,123872.23,88513.57,75508.56,92024.39,85317.61,76164.78,68701.93,65952.16,65463.03,63688.55,0,0,0
25,United States,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,74960.7,64090.7,74650.66,75226.09,67582.5,63245.05,62441.25,66825.97,65213.79,69971.99,65791.78,60469.05,51178.32,66573.42,62663.67,59647.55,54679.31,53568.57,52003.77,51447.93,57449.65,64921.65,57480.84,57884.42,65657.9,67514.64,64259.69,53453.45,47932.75,47748.66,48107.62,0,0,0
26,United States,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,58975.47,69100.92,66293.66,56242.32,55188.79,56103.38,53808.15,47339.02,54853.63,56009.02,48328.09,45707.87,0,50294.39,45391.8,38560.83,35900.25,33827.04,33204.01,40712.59,41569.59,38337.46,39068.59,36433.77,30914.9,28826.38,26831.62,26369.77,22805.69,22043.11,0,0,0
27,United States,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276458.85,212671.75,256371.09,265434.78,243507.47,230228.82,235745.09,240247.09,226070.23,215875.04,198288.69,163664.58,128997.66,151524.8,136520.32,134127.53,120246.88,110731.25,97411.74,97470.19,101295.13,111338.63,87041.71,78996.88,71354.75,56758.56,46309.29,50834.16,41602.72,40508.99,33223.83,0,0,0
