,Products,Values
15,Mach and Elec,9049200.760000002
8,Miscellaneous,4413896.319999999
12,Transportation,4390393.94
19,Chemicals,3360717.1
18,Fuels,2182803.5500000003
5,Plastic or Rubber,1571782.4699999997
16,Metals,1518373.1100000003
6,Vegetable,1511320.8400000003
17,Stone and Glass,1359339.57
14,Wood,969835.6800000002
11,Food Products,892218.3900000001
10,Textiles and Clothing,671872.8299999998
20,Animal,561580.1300000001
1,Minerals,193727.1
13,Hides and Skins,119062.40999999999
7,Footwear,40709.97
9,Intermediate goods,-1259186.1900000013
3,Raw materials,-2993295.4699999993
4,Capital goods,-3924086.169999998
0,Consumer goods,-10851458.850000001
2,All Products,-12327554.420000002
