,Product Category,Net Indicator Value
0,Consumer goods,18567.71
1,Minerals,18622.02
2,Raw materials,35947.41
3,Capital goods,14259.82
4,Plastic or Rubber,1997.14
5,Vegetable,6902.89
6,Footwear,220.47
7,Miscellaneous,1336.71
8,Intermediate goods,52353.72
9,Textiles and Clothing,1412.53
10,Food Products,4038.97
11,Transportation,11346.2
12,Hides and Skins,244.09
13,Wood,2202.69
14,Mach and Elec,8302.69
15,Metals,11630.28
16,Stone and Glass,33848.81
17,Fuels,10512.5
18,Chemicals,7524.37
19,Animal,1178.92
