Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Australia,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,116817.969911497
Australia,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,62012.3335815506
Australia,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30319.4684203745
Australia,2021,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22592.8695287891
Australia,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13624.0426043943
Australia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,72858.757972878
Australia,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26614.5632914543
Australia,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15778.7188635171
Australia,2021,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11570.0449942924
Australia,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11185.2633532341
Australia,2021,World,Vegetable,Export,Export(US$ Mil),17864.2465232873
Australia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),4383.49433876643
Australia,2021,World,Intermediate goods,Export,Export(US$ Mil),44408.9091705895
Australia,2021,World,Fuels,Export,Export(US$ Mil),94764.8705419745
Australia,2021,World,Metals,Export,Export(US$ Mil),12603.054414904
Australia,2021,World,Minerals,Export,Export(US$ Mil),132419.633036736
Australia,2021,World,Stone and Glass,Export,Export(US$ Mil),18805.5426565846
Australia,2021,World,Capital goods,Export,Export(US$ Mil),12829.052261185
Australia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),1078.16319444803
Australia,2021,World,Transportation,Export,Export(US$ Mil),2949.17281610779
Australia,2021,World,Chemicals,Export,Export(US$ Mil),12477.6485518334
Australia,2021,World,Mach and Elec,Export,Export(US$ Mil),8173.10578020395
Australia,2021,World,Hides and Skins,Export,Export(US$ Mil),614.573160950522
Australia,2021,World,Miscellaneous,Export,Export(US$ Mil),12754.4185773284
Australia,2021,World,Food Products,Export,Export(US$ Mil),5168.94573175853
Australia,2021,World,Footwear,Export,Export(US$ Mil),105.175902807156
Australia,2021,World,Consumer goods,Export,Export(US$ Mil),54476.6562758461
Australia,2021,World,Animal,Export,Export(US$ Mil),15705.6565924192
Australia,2021,World,Wood,Export,Export(US$ Mil),2168.40144973465
