Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Aruba,2021,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,43.67266084
Aruba,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20.30133156
Aruba,2021,Curaçao,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.520311053
Aruba,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.85243401
Aruba,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.458062507
Aruba,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,594.1991307
Aruba,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,181.9119248
Aruba,2021,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,132.2196998
Aruba,2021,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,50.40081884
Aruba,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39.23273073
Aruba,2021,World,Vegetable,Export,Export(US$ Mil),0.19943631
Aruba,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.690746359
Aruba,2021,World,Intermediate goods,Export,Export(US$ Mil),1.304410596
Aruba,2021,World,Food Products,Export,Export(US$ Mil),56.58570982
Aruba,2021,World,Footwear,Export,Export(US$ Mil),0.168179327
Aruba,2021,World,Consumer goods,Export,Export(US$ Mil),74.46956711
Aruba,2021,World,Animal,Export,Export(US$ Mil),0.189763126
Aruba,2021,World,Wood,Export,Export(US$ Mil),0.68401284
Aruba,2021,World,Raw materials,Export,Export(US$ Mil),3.461347437
Aruba,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.616779321
Aruba,2021,World,Transportation,Export,Export(US$ Mil),1.639962547
Aruba,2021,World,Chemicals,Export,Export(US$ Mil),5.11257423
Aruba,2021,World,Mach and Elec,Export,Export(US$ Mil),2.948429009
Aruba,2021,World,Fuels,Export,Export(US$ Mil),0.025235754
Aruba,2021,World,Metals,Export,Export(US$ Mil),3.622599949
Aruba,2021,World,Minerals,Export,Export(US$ Mil),0.003879888
Aruba,2021,World,Stone and Glass,Export,Export(US$ Mil),6.751699905
Aruba,2021,World,Capital goods,Export,Export(US$ Mil),5.431808303
Aruba,2021,World,Hides and Skins,Export,Export(US$ Mil),1.140749146
Aruba,2021,World,Miscellaneous,Export,Export(US$ Mil),7.967250167
Aruba,2021,World,Consumer goods,Import,Import(US$ Mil),750.1464157
Aruba,2021,World,Intermediate goods,Import,Import(US$ Mil),107.8513823
Aruba,2021,World,Capital goods,Import,Import(US$ Mil),165.7724027
Aruba,2021,World,Raw materials,Import,Import(US$ Mil),129.6957529
Aruba,2021,World,All Products,Export,Exports (in US$ Mil),88.34700769
Aruba,2021,World,All Products,Import,Imports (in US$ Mil),1169.773934
Aruba,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),162509.2033
Aruba,2021,...,...,Tariff,No. Of Tariff Agreement,1
Aruba,2021,...,...,Import,No. Of Import partners,13
Aruba,2021,...,...,Import,No. Of Import products,3414
Aruba,2021,...,...,Export,No. Of Export partners,10
Aruba,2021,...,...,Export,No. Of Export products,895
Aruba,2018,...,...,Others,Population,105845
Aruba,2021,Colombia,All Products,Export,Partner share(%)-Top 5 Export Partner,49.4331
Aruba,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,22.9791
Aruba,2021,Curaçao,All Products,Export,Partner share(%)-Top 5 Export Partner,9.6441
Aruba,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,5.4925
Aruba,2021,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0461
Aruba,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,50.7961
Aruba,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,15.551
Aruba,2021,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,11.303
Aruba,2021,Panama,All Products,Import,Partner share(%)-Top 5 Import Partner,4.3086
Aruba,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,3.3539
Aruba,2021,World,Vegetable,Export,Export Product share(%),0.2257
Aruba,2021,World,Textiles and Clothing,Export,Export Product share(%),0.7819
Aruba,2021,World,Intermediate goods,Export,Export Product share(%),1.4765
Aruba,2021,World,Food Products,Export,Export Product share(%),64.0494
Aruba,2021,World,Footwear,Export,Export Product share(%),0.1904
Aruba,2021,World,Consumer goods,Export,Export Product share(%),84.2921
Aruba,2021,World,Animal,Export,Export Product share(%),0.2148
Aruba,2021,World,Wood,Export,Export Product share(%),0.7742
Aruba,2021,World,Raw materials,Export,Export Product share(%),3.9179
Aruba,2021,World,Fuels,Export,Export Product share(%),0.0286
Aruba,2021,World,Metals,Export,Export Product share(%),4.1004
Aruba,2021,World,Minerals,Export,Export Product share(%),0.0044
Aruba,2021,World,Stone and Glass,Export,Export Product share(%),7.6423
Aruba,2021,World,Capital goods,Export,Export Product share(%),6.1483
Aruba,2021,World,Chemicals,Export,Export Product share(%),5.7869
Aruba,2021,World,Mach and Elec,Export,Export Product share(%),3.3373
Aruba,2021,World,Plastic or Rubber,Export,Export Product share(%),0.6981
Aruba,2021,World,Transportation,Export,Export Product share(%),1.8563
Aruba,2021,World,Hides and Skins,Export,Export Product share(%),1.2912
Aruba,2021,World,Miscellaneous,Export,Export Product share(%),9.0181
Aruba,2021,World,Consumer goods,Import,Import Product share(%),64.1275
Aruba,2021,World,Intermediate goods,Import,Import Product share(%),9.2198
Aruba,2021,World,Capital goods,Import,Import Product share(%),14.1713
Aruba,2021,World,Raw materials,Import,Import Product share(%),11.0872
Aruba,2021,World,Consumer goods,Tariff,Weighted Average (%),11.10513941
Aruba,2021,World,Capital goods,Tariff,Weighted Average (%),12.53514513
Aruba,2021,World,Intermediate goods,Tariff,Weighted Average (%),6.976184737
Aruba,2021,World,Raw materials,Tariff,Weighted Average (%),0.990583712
Aruba,2021,World,All Products,Trade Indicator,World Growth (%),12.58837658
Aruba,2021,World,All Products,Trade Indicator,Country Growth (%),6.23049057
Aruba,2021,World,All Products,Tariff,Simple Average (%),9.979522078
Aruba,2021,World,All Products,Tariff,Weighted Average (%),9.660332448
Aruba,2021,World,All Products,Tariff,Maximum Rate (%),245.4333038
Aruba,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),8.270414682
Aruba,2021,...,...,Trade Indicator,Index of export market penetration,1.304099822
Aruba,2021,...,...,Trade Indicator,HH Market concentration index,0.346326437
