Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Afghanistan,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,410.1355701
Afghanistan,2019,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,298.63506307
Afghanistan,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31.00190176
Afghanistan,2019,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25.15219691
Afghanistan,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24.94487092
Afghanistan,2019,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1247.1679493
Afghanistan,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1192.42651714
Afghanistan,2019,Pakistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1102.98906408
Afghanistan,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,783.75166438
Afghanistan,2019,Turkmenistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,690.21411583
Afghanistan,2019,World,Chemicals,Export,Export(US$ Mil),2.10870089
Afghanistan,2019,World,Mach and Elec,Export,Export(US$ Mil),0.54981069
Afghanistan,2019,World,Vegetable,Export,Export(US$ Mil),691.91888862
Afghanistan,2019,World,Textiles and Clothing,Export,Export(US$ Mil),59.60201029
Afghanistan,2019,World,Intermediate goods,Export,Export(US$ Mil),36.23900062
Afghanistan,2019,World,Hides and Skins,Export,Export(US$ Mil),8.08372382
Afghanistan,2019,World,Miscellaneous,Export,Export(US$ Mil),0.9649345
Afghanistan,2019,World,Food Products,Export,Export(US$ Mil),5.00348652
Afghanistan,2019,World,Footwear,Export,Export(US$ Mil),0.37849622
Afghanistan,2019,World,Consumer goods,Export,Export(US$ Mil),98.7417883
Afghanistan,2019,World,Fuels,Export,Export(US$ Mil),69.57317451
Afghanistan,2019,World,Metals,Export,Export(US$ Mil),7.27697271
Afghanistan,2019,World,Minerals,Export,Export(US$ Mil),19.00321416
Afghanistan,2019,World,Stone and Glass,Export,Export(US$ Mil),0.0690772
Afghanistan,2019,World,Capital goods,Export,Export(US$ Mil),1.62528538
Afghanistan,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.23431708
Afghanistan,2019,World,Transportation,Export,Export(US$ Mil),0.90739939
Afghanistan,2019,World,Animal,Export,Export(US$ Mil),4.74375325
Afghanistan,2019,World,Wood,Export,Export(US$ Mil),0.07055261
Afghanistan,2019,World,Raw materials,Export,Export(US$ Mil),718.90437615
Afghanistan,2019,World,Intermediate goods,Import,Import(US$ Mil),2500.60659461
Afghanistan,2019,World,Consumer goods,Import,Import(US$ Mil),2475.14049858
Afghanistan,2019,World,Capital goods,Import,Import(US$ Mil),828.37689528
Afghanistan,2019,World,Raw materials,Import,Import(US$ Mil),1118.17274745
Afghanistan,2019,World,All Products,Export,Exports (in US$ Mil),870.48851246
Afghanistan,2019,World,All Products,Import,Imports (in US$ Mil),8568.01387687
Afghanistan,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),30136.17018
Afghanistan,2018,...,...,Tariff,No. Of Tariff Agreement,2
Afghanistan,2019,...,...,Import,No. Of Import partners,109
Afghanistan,2019,...,...,Import,No. Of Import products,741
Afghanistan,2019,...,...,Export,No. Of Export partners,65
Afghanistan,2019,...,...,Export,No. Of Export products,204
Afghanistan,2019,...,...,Others,Trading Across Borders Rank,177
Afghanistan,2018,...,...,Others,Population,37172386
Afghanistan,2018,...,...,Others,CPIA Trade Ratings,3.5
Afghanistan,2016,...,...,Others,LPI Score,2.141282
Afghanistan,2019,...,...,Others,Ease of Doing Business Rank,173
Afghanistan,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1328
Afghanistan,2012,...,...,Others,No Of NTM Measures,30
Afghanistan,2016,...,...,Others,LPI Rank,150
Afghanistan,2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,47.1156
Afghanistan,2019,Pakistan,All Products,Export,Partner share(%)-Top 5 Export Partner,34.3066
Afghanistan,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5614
Afghanistan,2019,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,2.8894
Afghanistan,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,2.8656
Afghanistan,2019,"Iran, Islamic Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,14.5561
Afghanistan,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.9172
Afghanistan,2019,Pakistan,All Products,Import,Partner share(%)-Top 5 Import Partner,12.8733
Afghanistan,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,9.1474
Afghanistan,2019,Turkmenistan,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0557
Afghanistan,2019,World,Vegetable,Export,Export Product share(%),79.4863
Afghanistan,2019,World,Textiles and Clothing,Export,Export Product share(%),6.847
Afghanistan,2019,World,Intermediate goods,Export,Export Product share(%),4.1631
Afghanistan,2019,World,Minerals,Export,Export Product share(%),2.1831
Afghanistan,2019,World,Stone and Glass,Export,Export Product share(%),0.0079
Afghanistan,2019,World,Capital goods,Export,Export Product share(%),0.1867
Afghanistan,2019,World,Fuels,Export,Export Product share(%),7.9924
Afghanistan,2019,World,Metals,Export,Export Product share(%),0.836
Afghanistan,2019,World,Animal,Export,Export Product share(%),0.545
Afghanistan,2019,World,Wood,Export,Export Product share(%),0.0081
Afghanistan,2019,World,Raw materials,Export,Export Product share(%),82.5863
Afghanistan,2019,World,Chemicals,Export,Export Product share(%),0.2422
Afghanistan,2019,World,Mach and Elec,Export,Export Product share(%),0.0632
Afghanistan,2019,World,Hides and Skins,Export,Export Product share(%),0.9286
Afghanistan,2019,World,Miscellaneous,Export,Export Product share(%),0.1108
Afghanistan,2019,World,Plastic or Rubber,Export,Export Product share(%),0.0269
Afghanistan,2019,World,Transportation,Export,Export Product share(%),0.1042
Afghanistan,2019,World,Food Products,Export,Export Product share(%),0.5748
Afghanistan,2019,World,Footwear,Export,Export Product share(%),0.0435
Afghanistan,2019,World,Consumer goods,Export,Export Product share(%),11.3433
Afghanistan,2019,World,Intermediate goods,Import,Import Product share(%),29.1854
Afghanistan,2019,World,Capital goods,Import,Import Product share(%),9.6682
Afghanistan,2019,World,Consumer goods,Import,Import Product share(%),28.8881
Afghanistan,2019,World,Raw materials,Import,Import Product share(%),13.0505
Afghanistan,2018,World,Intermediate goods,Tariff,Weighted Average (%),5.93761789888234
Afghanistan,2018,World,Capital goods,Tariff,Weighted Average (%),4.50419881377527
Afghanistan,2018,World,Consumer goods,Tariff,Weighted Average (%),6.04496799728306
Afghanistan,2018,World,Raw materials,Tariff,Weighted Average (%),5.85719448672457
Afghanistan,2019,World,All Products,Trade Indicator,World Growth (%),-1.73027240114794
Afghanistan,2019,World,All Products,Trade Indicator,Country Growth (%),31.5053102671979
Afghanistan,2018,World,All Products,Tariff,Simple Average (%),8.37645029819808
Afghanistan,2018,World,All Products,Tariff,Weighted Average (%),5.62790245717843
Afghanistan,2018,World,All Products,Tariff,Maximum Rate (%),50
Afghanistan,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),0.521027167845181
Afghanistan,2019,...,...,Trade Indicator,Index of export market penetration,2.04287976183371
Afghanistan,2019,...,...,Trade Indicator,HH Market concentration index,0.296116520178911
