Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Angola,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20058.426271913
Angola,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3008.390595072
Angola,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1399.449578198
Angola,2021,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1004.83352977
Angola,2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,802.659408761
Angola,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1688.904641338
Angola,2021,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1357.979633711
Angola,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,745.723527218
Angola,2021,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,687.689058077
Angola,2021,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,546.044463646
Angola,2021,World,Vegetable,Export,Export(US$ Mil),11.043326979
Angola,2021,World,Textiles and Clothing,Export,Export(US$ Mil),2.060364335
Angola,2021,World,Intermediate goods,Export,Export(US$ Mil),232.362979449
Angola,2021,World,Minerals,Export,Export(US$ Mil),56.819189679
Angola,2021,World,Stone and Glass,Export,Export(US$ Mil),1550.326328037
Angola,2021,World,Capital goods,Export,Export(US$ Mil),1314.449941822
Angola,2021,World,Food Products,Export,Export(US$ Mil),37.193157603
Angola,2021,World,Footwear,Export,Export(US$ Mil),3.118840838
Angola,2021,World,Consumer goods,Export,Export(US$ Mil),3808.082470744
Angola,2021,World,Fuels,Export,Export(US$ Mil),31318.918599479
Angola,2021,World,Metals,Export,Export(US$ Mil),55.167102028
Angola,2021,World,Plastic or Rubber,Export,Export(US$ Mil),4.982238508
Angola,2021,World,Transportation,Export,Export(US$ Mil),1182.33722209
Angola,2021,World,Hides and Skins,Export,Export(US$ Mil),0.170571162
Angola,2021,World,Miscellaneous,Export,Export(US$ Mil),65.668385225
Angola,2021,World,Chemicals,Export,Export(US$ Mil),5.542155646
Angola,2021,World,Mach and Elec,Export,Export(US$ Mil),98.369240395
Angola,2021,World,Animal,Export,Export(US$ Mil),23.041054628
Angola,2021,World,Wood,Export,Export(US$ Mil),57.404180197
Angola,2021,World,Raw materials,Export,Export(US$ Mil),29096.024333171
Angola,2021,World,Intermediate goods,Import,Import(US$ Mil),2078.540478137
Angola,2021,World,Consumer goods,Import,Import(US$ Mil),5090.399845736
Angola,2021,World,Capital goods,Import,Import(US$ Mil),3392.728948979
Angola,2021,World,Raw materials,Import,Import(US$ Mil),816.039663618001
Angola,2021,World,All Products,Export,Exports (in US$ Mil),34472.161956832
Angola,2021,World,All Products,Import,Imports (in US$ Mil),11378.927920701
