Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Anguila,2008,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.389743
Anguila,2008,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.304281
Anguila,2008,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.952128
Anguila,2008,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.212417
Anguila,2008,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.139311
Anguila,2008,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,161.476651
Anguila,2008,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39.319002
Anguila,2008,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20.520786
Anguila,2008,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5.715468
Anguila,2008,Guyana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5.406214
Anguila,2008,World,Food Products,Export,Export(US$ Mil),4.725965
Anguila,2008,World,Footwear,Export,Export(US$ Mil),0.005484
Anguila,2008,World,Consumer goods,Export,Export(US$ Mil),7.223365
Anguila,2008,World,Vegetable,Export,Export(US$ Mil),0.001725
Anguila,2008,World,Textiles and Clothing,Export,Export(US$ Mil),0.085517
Anguila,2008,World,Intermediate goods,Export,Export(US$ Mil),0.439131
Anguila,2008,World,Animal,Export,Export(US$ Mil),0.052592
Anguila,2008,World,Wood,Export,Export(US$ Mil),0.020587
Anguila,2008,World,Raw materials,Export,Export(US$ Mil),0.058501
Anguila,2008,World,Fuels,Export,Export(US$ Mil),0.043337
Anguila,2008,World,Metals,Export,Export(US$ Mil),0.84706
Anguila,2008,World,Plastic or Rubber,Export,Export(US$ Mil),0.069149
Anguila,2008,World,Transportation,Export,Export(US$ Mil),1.260595
Anguila,2008,World,Chemicals,Export,Export(US$ Mil),0.033778
Anguila,2008,World,Mach and Elec,Export,Export(US$ Mil),1.740511
