Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Albania,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1504.604784579
Albania,2021,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,408.015655366
Albania,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,227.765479729
Albania,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,205.688527616
Albania,2021,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,145.842438277
Albania,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1878.565626848
Albania,2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,831.763117758
Albania,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,629.848580368
Albania,2021,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,618.467453767
Albania,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,527.0674274
Albania,2021,World,Chemicals,Export,Export(US$ Mil),36.790416569
Albania,2021,World,Mach and Elec,Export,Export(US$ Mil),41.444069617
Albania,2021,World,Food Products,Export,Export(US$ Mil),154.831192841
Albania,2021,World,Footwear,Export,Export(US$ Mil),494.230169291
Albania,2021,World,Consumer goods,Export,Export(US$ Mil),818.353004881
Albania,2021,World,Vegetable,Export,Export(US$ Mil),163.332293189
Albania,2021,World,Textiles and Clothing,Export,Export(US$ Mil),592.081564373
Albania,2021,World,Intermediate goods,Export,Export(US$ Mil),441.381140302
Albania,2021,World,Plastic or Rubber,Export,Export(US$ Mil),47.1816828
Albania,2021,World,Transportation,Export,Export(US$ Mil),36.214527174
Albania,2021,World,Fuels,Export,Export(US$ Mil),486.959806562
Albania,2021,World,Metals,Export,Export(US$ Mil),743.677974956
Albania,2021,World,Hides and Skins,Export,Export(US$ Mil),21.029097202
Albania,2021,World,Miscellaneous,Export,Export(US$ Mil),380.304192438
Albania,2021,World,Minerals,Export,Export(US$ Mil),182.734058464
Albania,2021,World,Stone and Glass,Export,Export(US$ Mil),30.386984849
Albania,2021,World,Capital goods,Export,Export(US$ Mil),35.196531612
Albania,2021,World,Animal,Export,Export(US$ Mil),52.155849928
Albania,2021,World,Wood,Export,Export(US$ Mil),98.943355622
Albania,2021,World,Raw materials,Export,Export(US$ Mil),204.832477309
Albania,2021,World,Intermediate goods,Import,Import(US$ Mil),1198.998341245
Albania,2021,World,Consumer goods,Import,Import(US$ Mil),2291.572959461
Albania,2021,World,Capital goods,Import,Import(US$ Mil),576.285351322
Albania,2021,World,Raw materials,Import,Import(US$ Mil),224.939159814
