Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Andorra,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,93.7099278079648
Andorra,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24.6029197403116
Andorra,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9.3437249320922
Andorra,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.54006792673856
Andorra,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.04367450185889
Andorra,2021,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1023.43104167546
Andorra,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,167.53664424136
Andorra,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,84.8519086226797
Andorra,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,60.10047019129
Andorra,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42.4754863245224
Andorra,2021,World,Fuels,Export,Export(US$ Mil),0.054212774341388
Andorra,2021,World,Metals,Export,Export(US$ Mil),6.51855988828752
Andorra,2021,World,Vegetable,Export,Export(US$ Mil),0.134095191699985
Andorra,2021,World,Textiles and Clothing,Export,Export(US$ Mil),10.3816313717815
Andorra,2021,World,Intermediate goods,Export,Export(US$ Mil),11.1079606460274
Andorra,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.790626536497261
Andorra,2021,World,Transportation,Export,Export(US$ Mil),38.975320682738
Andorra,2021,World,Chemicals,Export,Export(US$ Mil),6.37621853634379
Andorra,2021,World,Mach and Elec,Export,Export(US$ Mil),40.744934914915
Andorra,2021,World,Minerals,Export,Export(US$ Mil),0.352883368704201
Andorra,2021,World,Stone and Glass,Export,Export(US$ Mil),9.49331810190506
Andorra,2021,World,Capital goods,Export,Export(US$ Mil),48.8155992347139
Andorra,2021,World,Hides and Skins,Export,Export(US$ Mil),2.65427283212153
Andorra,2021,World,Miscellaneous,Export,Export(US$ Mil),25.2012732690912
Andorra,2021,World,Food Products,Export,Export(US$ Mil),0.678749973975462
Andorra,2021,World,Footwear,Export,Export(US$ Mil),6.89930749938336
Andorra,2021,World,Consumer goods,Export,Export(US$ Mil),95.9789662192984
Andorra,2021,World,Animal,Export,Export(US$ Mil),0.214565368565153
Andorra,2021,World,Wood,Export,Export(US$ Mil),14.5043471994519
Andorra,2021,World,Raw materials,Export,Export(US$ Mil),7.25812212682196
Andorra,2021,World,Intermediate goods,Import,Import(US$ Mil),163.967046899771
Andorra,2021,World,Consumer goods,Import,Import(US$ Mil),1099.13524506973
Andorra,2021,World,Capital goods,Import,Import(US$ Mil),221.135488660938
Andorra,2021,World,Raw materials,Import,Import(US$ Mil),77.9603477885019
Andorra,2021,World,All Products,Export,Exports (in US$ Mil),163.974317509802
Andorra,2021,World,All Products,Import,Imports (in US$ Mil),1563.4923974098
Andorra,2021,...,...,Import,No. Of Import partners,140
Andorra,2021,...,...,Import,No. Of Import products,3166
Andorra,2021,...,...,Export,No. Of Export partners,118
Andorra,2021,...,...,Export,No. Of Export products,1156
Andorra,2018,...,...,Others,Population,77006
Andorra,2021,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,57.1491
Andorra,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,15.0041
Andorra,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6983
Andorra,2021,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,3.9885
Andorra,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,2.466
Andorra,2021,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,65.458
Andorra,2021,France,All Products,Import,Partner share(%)-Top 5 Import Partner,10.7155
Andorra,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4271
Andorra,2021,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,3.844
Andorra,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,2.7167
Andorra,2021,World,Vegetable,Export,Export Product share(%),0.0818
Andorra,2021,World,Textiles and Clothing,Export,Export Product share(%),6.3313
Andorra,2021,World,Intermediate goods,Export,Export Product share(%),6.7742
Andorra,2021,World,Fuels,Export,Export Product share(%),0.0331
Andorra,2021,World,Metals,Export,Export Product share(%),3.9754
Andorra,2021,World,Food Products,Export,Export Product share(%),0.4139
Andorra,2021,World,Footwear,Export,Export Product share(%),4.2076
Andorra,2021,World,Consumer goods,Export,Export Product share(%),58.5329
Andorra,2021,World,Minerals,Export,Export Product share(%),0.2152
Andorra,2021,World,Stone and Glass,Export,Export Product share(%),5.7895
Andorra,2021,World,Capital goods,Export,Export Product share(%),29.7703
Andorra,2021,World,Hides and Skins,Export,Export Product share(%),1.6187
Andorra,2021,World,Miscellaneous,Export,Export Product share(%),15.369
Andorra,2021,World,Animal,Export,Export Product share(%),0.1309
Andorra,2021,World,Wood,Export,Export Product share(%),8.8455
Andorra,2021,World,Raw materials,Export,Export Product share(%),4.4264
