Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Netherlands Antilles,2008,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,49.955479
Netherlands Antilles,2008,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.59376
Netherlands Antilles,2008,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.796709
Netherlands Antilles,2008,Aruba,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.908186
Netherlands Antilles,2008,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.952572
Netherlands Antilles,2008,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,566.106339
Netherlands Antilles,2008,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,332.292253
Netherlands Antilles,2008,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,55.630719
Netherlands Antilles,2008,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.84893
Netherlands Antilles,2008,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.628087
Netherlands Antilles,2008,World,Minerals,Export,Export(US$ Mil),6.46016
Netherlands Antilles,2008,World,Stone and Glass,Export,Export(US$ Mil),15.459113
Netherlands Antilles,2008,World,Capital goods,Export,Export(US$ Mil),26.548722
Netherlands Antilles,2008,World,Food Products,Export,Export(US$ Mil),37.496012
Netherlands Antilles,2008,World,Footwear,Export,Export(US$ Mil),0.099378
Netherlands Antilles,2008,World,Consumer goods,Export,Export(US$ Mil),73.1452770000001
Netherlands Antilles,2008,World,Metals,Export,Export(US$ Mil),4.268104
Netherlands Antilles,2008,World,Chemicals,Export,Export(US$ Mil),11.312576
Netherlands Antilles,2008,World,Mach and Elec,Export,Export(US$ Mil),21.359882
Netherlands Antilles,2008,World,Vegetable,Export,Export(US$ Mil),0.29006
Netherlands Antilles,2008,World,Textiles and Clothing,Export,Export(US$ Mil),0.988737
Netherlands Antilles,2008,World,Intermediate goods,Export,Export(US$ Mil),37.591557
Netherlands Antilles,2008,World,Plastic or Rubber,Export,Export(US$ Mil),0.884108
Netherlands Antilles,2008,World,Transportation,Export,Export(US$ Mil),27.567005
Netherlands Antilles,2008,World,Hides and Skins,Export,Export(US$ Mil),0.027312
Netherlands Antilles,2008,World,Miscellaneous,Export,Export(US$ Mil),12.822057
Netherlands Antilles,2008,World,Animal,Export,Export(US$ Mil),2.543734
Netherlands Antilles,2008,World,Wood,Export,Export(US$ Mil),4.652029
Netherlands Antilles,2008,World,Raw materials,Export,Export(US$ Mil),2.131181
Netherlands Antilles,2008,World,Intermediate goods,Import,Import(US$ Mil),209.872442
Netherlands Antilles,2008,World,Consumer goods,Import,Import(US$ Mil),770.575625000001
Netherlands Antilles,2008,World,Capital goods,Import,Import(US$ Mil),347.507459
Netherlands Antilles,2008,World,Raw materials,Import,Import(US$ Mil),92.0601950000001
Netherlands Antilles,2008,World,All Products,Export,Exports (in US$ Mil),146.230267
Netherlands Antilles,2008,World,All Products,Import,Imports (in US$ Mil),1436.995908
Netherlands Antilles,2008,...,...,Import,No. Of Import partners,132
Netherlands Antilles,2008,...,...,Import,No. Of Import products,3577
Netherlands Antilles,2008,...,...,Export,No. Of Export partners,93
Netherlands Antilles,2008,...,...,Export,No. Of Export products,1037
Netherlands Antilles,2008,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,34.1622
Netherlands Antilles,2008,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,22.9732
Netherlands Antilles,2008,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,12.8542
Netherlands Antilles,2008,Aruba,All Products,Export,Partner share(%)-Top 5 Export Partner,10.195
Netherlands Antilles,2008,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,2.703
Netherlands Antilles,2008,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,39.3951
Netherlands Antilles,2008,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,23.1241
Netherlands Antilles,2008,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,3.8713
Netherlands Antilles,2008,Panama,All Products,Import,Partner share(%)-Top 5 Import Partner,3.6081
Netherlands Antilles,2008,Venezuela,All Products,Import,Partner share(%)-Top 5 Import Partner,3.5928
Netherlands Antilles,2008,World,Vegetable,Export,Export Product share(%),0.1984
