Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United Arab Emirates,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,208396.418844889
United Arab Emirates,2021,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26564.0276199504
United Arab Emirates,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23978.5679833107
United Arab Emirates,2021,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14252.42674092
United Arab Emirates,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10732.8257744451
United Arab Emirates,2021,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,77563.8064036236
United Arab Emirates,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51795.572369467
United Arab Emirates,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20876.1870985137
United Arab Emirates,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16876.6002374016
United Arab Emirates,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10859.5107903792
United Arab Emirates,2021,World,Food Products,Export,Export(US$ Mil),9476.72193460283
United Arab Emirates,2021,World,Footwear,Export,Export(US$ Mil),1231.06530552447
United Arab Emirates,2021,World,Consumer goods,Export,Export(US$ Mil),173170.790681951
United Arab Emirates,2021,World,Minerals,Export,Export(US$ Mil),1605.73673779288
United Arab Emirates,2021,World,Stone and Glass,Export,Export(US$ Mil),63072.9472972529
United Arab Emirates,2021,World,Capital goods,Export,Export(US$ Mil),57981.1380953492
United Arab Emirates,2021,World,Fuels,Export,Export(US$ Mil),217322.865341462
United Arab Emirates,2021,World,Metals,Export,Export(US$ Mil),22748.6829252086
United Arab Emirates,2021,World,Chemicals,Export,Export(US$ Mil),11014.188427601
United Arab Emirates,2021,World,Mach and Elec,Export,Export(US$ Mil),52638.8324795147
United Arab Emirates,2021,World,Plastic or Rubber,Export,Export(US$ Mil),10892.0122112225
United Arab Emirates,2021,World,Transportation,Export,Export(US$ Mil),14765.6039554962
United Arab Emirates,2021,World,Hides and Skins,Export,Export(US$ Mil),435.071457081399
United Arab Emirates,2021,World,Miscellaneous,Export,Export(US$ Mil),6246.11869376774
United Arab Emirates,2021,World,Vegetable,Export,Export(US$ Mil),4196.39470985448
United Arab Emirates,2021,World,Textiles and Clothing,Export,Export(US$ Mil),5423.14652906237
United Arab Emirates,2021,World,Intermediate goods,Export,Export(US$ Mil),74734.2320306475
United Arab Emirates,2021,World,Animal,Export,Export(US$ Mil),1464.75767963034
United Arab Emirates,2021,World,Wood,Export,Export(US$ Mil),2625.65081848809
United Arab Emirates,2021,World,Raw materials,Export,Export(US$ Mil),119241.279999309
United Arab Emirates,2021,World,Raw materials,Import,Import(US$ Mil),23359.8541414677
United Arab Emirates,2021,World,Intermediate goods,Import,Import(US$ Mil),90888.3233697039
United Arab Emirates,2021,World,Consumer goods,Import,Import(US$ Mil),103062.659811838
United Arab Emirates,2021,World,Capital goods,Import,Import(US$ Mil),76989.1320095174
United Arab Emirates,2021,World,All Products,Export,Exports (in US$ Mil),425159.796503562
United Arab Emirates,2021,World,All Products,Import,Imports (in US$ Mil),347528.997702207
United Arab Emirates,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),132523200.188074
United Arab Emirates,2021,...,...,Tariff,No. Of Tariff Agreement,5
United Arab Emirates,2021,...,...,Import,No. Of Import partners,228
United Arab Emirates,2021,...,...,Import,No. Of Import products,4472
United Arab Emirates,2021,...,...,Export,No. Of Export partners,217
United Arab Emirates,2021,...,...,Export,No. Of Export products,4377
United Arab Emirates,2018,...,...,Others,Population,9630959
United Arab Emirates,2016,...,...,Others,LPI Score,3.941767
United Arab Emirates,2019,...,...,Others,Ease of Doing Business Rank,16
United Arab Emirates,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0323606
United Arab Emirates,2019,...,...,Others,Trading Across Borders Rank,92
United Arab Emirates,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0299518
United Arab Emirates,2016,...,...,Others,LPI Rank,13
United Arab Emirates,2021,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,49.016
United Arab Emirates,2021,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,6.248
United Arab Emirates,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6399
United Arab Emirates,2021,Iraq,All Products,Export,Partner share(%)-Top 5 Export Partner,3.3523
United Arab Emirates,2021,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,2.5244
United Arab Emirates,2021,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,22.3187
United Arab Emirates,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.904
United Arab Emirates,2021,India,All Products,Import,Partner share(%)-Top 5 Import Partner,6.007
United Arab Emirates,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8562
United Arab Emirates,2021,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,3.1248
United Arab Emirates,2021,World,Vegetable,Export,Export Product share(%),0.987
United Arab Emirates,2021,World,Textiles and Clothing,Export,Export Product share(%),1.2756
United Arab Emirates,2021,World,Intermediate goods,Export,Export Product share(%),17.5779
United Arab Emirates,2021,World,Food Products,Export,Export Product share(%),2.229
United Arab Emirates,2021,World,Footwear,Export,Export Product share(%),0.2896
United Arab Emirates,2021,World,Consumer goods,Export,Export Product share(%),40.7308
