Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Armenia,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,793.87040696
Armenia,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,393.16088793
Armenia,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,359.46893268
Armenia,2021,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,198.42801652
Armenia,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,191.19096188
Armenia,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1784.9861866
Armenia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,861.77488363
Armenia,2021,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,437.562703465
Armenia,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,223.59247505
Armenia,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,208.64988126
Armenia,2021,World,Fuels,Export,Export(US$ Mil),51.48891254
Armenia,2021,World,Metals,Export,Export(US$ Mil),364.42560956
Armenia,2021,World,Food Products,Export,Export(US$ Mil),624.72748826
Armenia,2021,World,Footwear,Export,Export(US$ Mil),4.64709667
Armenia,2021,World,Consumer goods,Export,Export(US$ Mil),1113.6146062
Armenia,2021,World,Vegetable,Export,Export(US$ Mil),138.97066049
Armenia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),183.35138214
Armenia,2021,World,Intermediate goods,Export,Export(US$ Mil),568.85771565
Armenia,2021,World,Chemicals,Export,Export(US$ Mil),42.82580765
Armenia,2021,World,Mach and Elec,Export,Export(US$ Mil),55.2252854
Armenia,2021,World,Minerals,Export,Export(US$ Mil),930.68303813
Armenia,2021,World,Stone and Glass,Export,Export(US$ Mil),346.41137434
Armenia,2021,World,Capital goods,Export,Export(US$ Mil),104.166017
Armenia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),19.78323088
Armenia,2021,World,Transportation,Export,Export(US$ Mil),37.4938899
Armenia,2021,World,Hides and Skins,Export,Export(US$ Mil),5.87437724
Armenia,2021,World,Miscellaneous,Export,Export(US$ Mil),47.50147073
Armenia,2021,World,Animal,Export,Export(US$ Mil),107.03118188
Armenia,2021,World,Wood,Export,Export(US$ Mil),4.35748427
Armenia,2021,World,Raw materials,Export,Export(US$ Mil),1177.44963908
Armenia,2021,World,Consumer goods,Import,Import(US$ Mil),2598.373429775
Armenia,2021,World,Capital goods,Import,Import(US$ Mil),1089.90889571
Armenia,2021,World,Intermediate goods,Import,Import(US$ Mil),1115.54428137
Armenia,2021,World,Raw materials,Import,Import(US$ Mil),516.02593283
Armenia,2021,World,All Products,Export,Exports (in US$ Mil),2964.79829008
Armenia,2021,World,All Products,Import,Imports (in US$ Mil),5323.905109255
Armenia,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2533916.046805
Armenia,2021,...,...,Tariff,No. Of Tariff Agreement,7
Armenia,2021,...,...,Import,No. Of Import partners,189
Armenia,2021,...,...,Import,No. Of Import products,3865
Armenia,2021,...,...,Export,No. Of Export partners,101
Armenia,2021,...,...,Export,No. Of Export products,1994
Armenia,2019,...,...,Others,Ease of Doing Business Rank,47
Armenia,2019,...,...,Others,Trading Across Borders Rank,43
Armenia,2018,...,...,Others,Population,2951776
Armenia,2013,...,...,Others,CPIA Trade Ratings,4.5
Armenia,2016,...,...,Others,LPI Score,2.205513
Armenia,,...,...,Others,Services Trade Restrictions Index - Over All,11.4
Armenia,2016,...,...,Others,LPI Rank,141
Armenia,2021,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,26.7765
Armenia,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.261
Armenia,2021,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,12.1246
Armenia,2021,Bulgaria,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6928
Armenia,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,6.4487
Armenia,2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,33.5278
Armenia,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,16.1869
Armenia,2021,"Iran, Islamic Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,8.2188
