Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Antigua and Barbuda,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19.7284107338283
Antigua and Barbuda,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.66458282649994
Antigua and Barbuda,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.8505160576709
Antigua and Barbuda,2019,Saint Maarten (Dutch part),All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.2446238795699
Antigua and Barbuda,2019,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.18185551306695
Antigua and Barbuda,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,274.011738624641
Antigua and Barbuda,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42.0004450155909
Antigua and Barbuda,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25.0466318518785
Antigua and Barbuda,2019,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22.7102492094124
Antigua and Barbuda,2019,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18.4492795574237
Antigua and Barbuda,2019,World,Food Products,Export,Export(US$ Mil),3.35154815330902
Antigua and Barbuda,2019,World,Footwear,Export,Export(US$ Mil),0.107881653074976
Antigua and Barbuda,2019,World,Consumer goods,Export,Export(US$ Mil),13.4845829083962
Antigua and Barbuda,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.145162841242656
Antigua and Barbuda,2019,World,Transportation,Export,Export(US$ Mil),1.38495821079665
Antigua and Barbuda,2019,World,Minerals,Export,Export(US$ Mil),0.001474074192
Antigua and Barbuda,2019,World,Stone and Glass,Export,Export(US$ Mil),21.8300819093694
Antigua and Barbuda,2019,World,Capital goods,Export,Export(US$ Mil),1.10326803640958
Antigua and Barbuda,2019,World,Chemicals,Export,Export(US$ Mil),0.230673281416824
Antigua and Barbuda,2019,World,Mach and Elec,Export,Export(US$ Mil),0.696203385325896
Antigua and Barbuda,2019,World,Vegetable,Export,Export(US$ Mil),0.085639962406752
Antigua and Barbuda,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1.13289087211274
Antigua and Barbuda,2019,World,Intermediate goods,Export,Export(US$ Mil),0.852985557127728
Antigua and Barbuda,2019,World,Animal,Export,Export(US$ Mil),1.35035840062125
Antigua and Barbuda,2019,World,Wood,Export,Export(US$ Mil),0.125828280436632
Antigua and Barbuda,2019,World,Raw materials,Export,Export(US$ Mil),21.9592819011868
Antigua and Barbuda,2019,World,Fuels,Export,Export(US$ Mil),4.48232019932633
Antigua and Barbuda,2019,World,Metals,Export,Export(US$ Mil),1.37478883220532
Antigua and Barbuda,2019,World,Hides and Skins,Export,Export(US$ Mil),0.083459573343432
Antigua and Barbuda,2019,World,Miscellaneous,Export,Export(US$ Mil),1.01684877394049
Antigua and Barbuda,2019,World,Capital goods,Import,Import(US$ Mil),108.668102445299
Antigua and Barbuda,2019,World,Consumer goods,Import,Import(US$ Mil),311.660133884661
Antigua and Barbuda,2019,World,Intermediate goods,Import,Import(US$ Mil),77.3376584647899
Antigua and Barbuda,2019,World,Raw materials,Import,Import(US$ Mil),70.2363842929844
Antigua and Barbuda,2019,World,All Products,Export,Exports (in US$ Mil),37.4001184031203
Antigua and Barbuda,2019,World,All Products,Import,Imports (in US$ Mil),568.301522749303
Antigua and Barbuda,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),58791.089725509
Antigua and Barbuda,2019,...,...,Tariff,No. Of Tariff Agreement,3
Antigua and Barbuda,2019,...,...,Import,No. Of Import partners,152
Antigua and Barbuda,2019,...,...,Import,No. Of Import products,3156
Antigua and Barbuda,2019,...,...,Export,No. Of Export partners,56
Antigua and Barbuda,2019,...,...,Export,No. Of Export products,699
Antigua and Barbuda,2018,...,...,Others,Population,96286
Antigua and Barbuda,2019,...,...,Others,Ease of Doing Business Rank,113
Antigua and Barbuda,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1457911
Antigua and Barbuda,2019,...,...,Others,Trading Across Borders Rank,112
Antigua and Barbuda,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1457912
Antigua and Barbuda,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,52.7496
Antigua and Barbuda,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,9.7983
Antigua and Barbuda,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,7.6217
Antigua and Barbuda,2019,Saint Maarten (Dutch part),All Products,Export,Partner share(%)-Top 5 Export Partner,6.0016
Antigua and Barbuda,2019,St. Lucia,All Products,Export,Partner share(%)-Top 5 Export Partner,3.16
Antigua and Barbuda,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,48.2159
Antigua and Barbuda,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3905
Antigua and Barbuda,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4073
Antigua and Barbuda,2019,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,3.9962
Antigua and Barbuda,2019,Curaçao,All Products,Import,Partner share(%)-Top 5 Import Partner,3.2464
Antigua and Barbuda,2019,World,Vegetable,Export,Export Product share(%),0.229
Antigua and Barbuda,2019,World,Textiles and Clothing,Export,Export Product share(%),3.0291
Antigua and Barbuda,2019,World,Intermediate goods,Export,Export Product share(%),2.2807
Antigua and Barbuda,2019,World,Fuels,Export,Export Product share(%),11.9848
Antigua and Barbuda,2019,World,Metals,Export,Export Product share(%),3.6759
Antigua and Barbuda,2019,World,Chemicals,Export,Export Product share(%),0.6168
Antigua and Barbuda,2019,World,Mach and Elec,Export,Export Product share(%),1.8615
Antigua and Barbuda,2019,World,Minerals,Export,Export Product share(%),0.0039
Antigua and Barbuda,2019,World,Stone and Glass,Export,Export Product share(%),58.369
Antigua and Barbuda,2019,World,Capital goods,Export,Export Product share(%),2.9499
Antigua and Barbuda,2019,World,Food Products,Export,Export Product share(%),8.9613
Antigua and Barbuda,2019,World,Footwear,Export,Export Product share(%),0.2885
Antigua and Barbuda,2019,World,Consumer goods,Export,Export Product share(%),36.0549
Antigua and Barbuda,2019,World,Animal,Export,Export Product share(%),3.6106
Antigua and Barbuda,2019,World,Wood,Export,Export Product share(%),0.3364
Antigua and Barbuda,2019,World,Raw materials,Export,Export Product share(%),58.7145
Antigua and Barbuda,2019,World,Plastic or Rubber,Export,Export Product share(%),0.3881
Antigua and Barbuda,2019,World,Transportation,Export,Export Product share(%),3.7031
Antigua and Barbuda,2019,World,Hides and Skins,Export,Export Product share(%),0.2232
Antigua and Barbuda,2019,World,Miscellaneous,Export,Export Product share(%),2.7188
Antigua and Barbuda,2019,World,Intermediate goods,Import,Import Product share(%),13.6086
Antigua and Barbuda,2019,World,Consumer goods,Import,Import Product share(%),54.8406
Antigua and Barbuda,2019,World,Capital goods,Import,Import Product share(%),19.1216
Antigua and Barbuda,2019,World,Raw materials,Import,Import Product share(%),12.359
Antigua and Barbuda,2019,World,Intermediate goods,Tariff,Weighted Average (%),7.11365952117075
Antigua and Barbuda,2019,World,Consumer goods,Tariff,Weighted Average (%),15.9154602116248
Antigua and Barbuda,2019,World,Capital goods,Tariff,Weighted Average (%),8.88326479033243
Antigua and Barbuda,2019,World,Raw materials,Tariff,Weighted Average (%),16.2145147557235
Antigua and Barbuda,2019,World,All Products,Trade Indicator,World Growth (%),-1.73027240114794
Antigua and Barbuda,2019,World,All Products,Trade Indicator,Country Growth (%),8.1048021535113
Antigua and Barbuda,2019,World,All Products,Tariff,Simple Average (%),12.3857767119286
Antigua and Barbuda,2019,World,All Products,Tariff,Weighted Average (%),13.0724981736483
Antigua and Barbuda,2019,World,All Products,Tariff,Maximum Rate (%),70
Antigua and Barbuda,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),16.7247046571419
Antigua and Barbuda,2019,...,...,Trade Indicator,Index of export market penetration,1.49161100743906
Antigua and Barbuda,2019,...,...,Trade Indicator,HH Market concentration index,0.241027294685862
