Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Austria,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,58563.814922165
Austria,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13155.821279694
Austria,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12746.472861937
Austria,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10081.034057347
Austria,2021,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7686.156387911
Austria,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,69544.609253366
Austria,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15489.570220236
Austria,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13646.777303963
Austria,2021,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11969.959172772
Austria,2021,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9148.838722459
Austria,2021,World,Vegetable,Export,Export(US$ Mil),2783.136757085
Austria,2021,World,Textiles and Clothing,Export,Export(US$ Mil),6155.610092684
Austria,2021,World,Intermediate goods,Export,Export(US$ Mil),51509.200821089
Austria,2021,World,Minerals,Export,Export(US$ Mil),579.891822326
Austria,2021,World,Stone and Glass,Export,Export(US$ Mil),5400.96279874
Austria,2021,World,Capital goods,Export,Export(US$ Mil),63778.6148349091
Austria,2021,World,Food Products,Export,Export(US$ Mil),10170.564617658
Austria,2021,World,Footwear,Export,Export(US$ Mil),1214.246994402
Austria,2021,World,Consumer goods,Export,Export(US$ Mil),63389.852193187
Austria,2021,World,Plastic or Rubber,Export,Export(US$ Mil),10375.389308951
Austria,2021,World,Transportation,Export,Export(US$ Mil),23345.747504069
Austria,2021,World,Animal,Export,Export(US$ Mil),3362.534625662
Austria,2021,World,Wood,Export,Export(US$ Mil),13001.735421496
Austria,2021,World,Raw materials,Export,Export(US$ Mil),6690.521615039
Austria,2021,World,Chemicals,Export,Export(US$ Mil),21607.50571113
