Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Azerbaijan,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9243.52137426
Azerbaijan,2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2818.11658414
Azerbaijan,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,920.82183748
Azerbaijan,2021,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,898.09697986
Azerbaijan,2021,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,751.27874856
Azerbaijan,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2073.44096641
Azerbaijan,2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1843.65015485
Azerbaijan,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1639.54138601
Azerbaijan,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,632.73529316
Azerbaijan,2021,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,468.09292787
Azerbaijan,2021,World,Food Products,Export,Export(US$ Mil),109.23459304
Azerbaijan,2021,World,Footwear,Export,Export(US$ Mil),0.42293675
Azerbaijan,2021,World,Consumer goods,Export,Export(US$ Mil),6401.29943009
Azerbaijan,2021,World,Plastic or Rubber,Export,Export(US$ Mil),442.75476939
Azerbaijan,2021,World,Transportation,Export,Export(US$ Mil),7.92082429
Azerbaijan,2021,World,Fuels,Export,Export(US$ Mil),19633.50306302
Azerbaijan,2021,World,Metals,Export,Export(US$ Mil),375.48691198
Azerbaijan,2021,World,Vegetable,Export,Export(US$ Mil),691.07799757
Azerbaijan,2021,World,Textiles and Clothing,Export,Export(US$ Mil),303.0153179
Azerbaijan,2021,World,Intermediate goods,Export,Export(US$ Mil),1584.10886257
Azerbaijan,2021,World,Chemicals,Export,Export(US$ Mil),245.22298224
Azerbaijan,2021,World,Mach and Elec,Export,Export(US$ Mil),54.4599694
Azerbaijan,2021,World,Minerals,Export,Export(US$ Mil),63.83933603
Azerbaijan,2021,World,Stone and Glass,Export,Export(US$ Mil),220.25963429
Azerbaijan,2021,World,Capital goods,Export,Export(US$ Mil),68.55454073
Azerbaijan,2021,World,Animal,Export,Export(US$ Mil),16.12455412
Azerbaijan,2021,World,Wood,Export,Export(US$ Mil),6.32515337
Azerbaijan,2021,World,Raw materials,Export,Export(US$ Mil),14149.65059744
Azerbaijan,2021,World,Hides and Skins,Export,Export(US$ Mil),12.22797039
Azerbaijan,2021,World,Miscellaneous,Export,Export(US$ Mil),26.09877116
Azerbaijan,2021,World,Intermediate goods,Import,Import(US$ Mil),2629.5124686
Azerbaijan,2021,World,Capital goods,Import,Import(US$ Mil),3229.0197984
Azerbaijan,2021,World,Consumer goods,Import,Import(US$ Mil),4860.02748209001
Azerbaijan,2021,World,Raw materials,Import,Import(US$ Mil),916.95153067
Azerbaijan,2021,World,All Products,Export,Exports (in US$ Mil),22207.97478494
Azerbaijan,2021,World,All Products,Import,Imports (in US$ Mil),11695.9321843
Azerbaijan,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4572901.43401
Azerbaijan,2021,...,...,Tariff,No. Of Tariff Agreement,4
Azerbaijan,2021,...,...,Import,No. Of Import partners,170
Azerbaijan,2021,...,...,Import,No. Of Import products,3894
Azerbaijan,2021,...,...,Export,No. Of Export partners,120
Azerbaijan,2021,...,...,Export,No. Of Export products,1809
Azerbaijan,2018,...,...,Others,Population,9942334
Azerbaijan,2010,...,...,Others,CPIA Trade Ratings,3.5
Azerbaijan,2019,...,...,Others,Ease of Doing Business Rank,34
Azerbaijan,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0482686
Azerbaijan,2019,...,...,Others,Trading Across Borders Rank,83
Azerbaijan,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0344225
Azerbaijan,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,41.6225
Azerbaijan,2021,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,12.6897
Azerbaijan,2021,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1464
Azerbaijan,2021,Israel,All Products,Export,Partner share(%)-Top 5 Export Partner,4.044
Azerbaijan,2021,Croatia,All Products,Export,Partner share(%)-Top 5 Export Partner,3.3829
Azerbaijan,2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,17.7279
Azerbaijan,2021,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,15.7632
Azerbaijan,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.018
Azerbaijan,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4099
Azerbaijan,2021,Ukraine,All Products,Import,Partner share(%)-Top 5 Import Partner,4.0022
Azerbaijan,2021,World,Food Products,Export,Export Product share(%),0.4919
Azerbaijan,2021,World,Footwear,Export,Export Product share(%),0.0019
Azerbaijan,2021,World,Consumer goods,Export,Export Product share(%),28.8243
Azerbaijan,2021,World,Vegetable,Export,Export Product share(%),3.1118
Azerbaijan,2021,World,Textiles and Clothing,Export,Export Product share(%),1.3644
Azerbaijan,2021,World,Intermediate goods,Export,Export Product share(%),7.1331
Azerbaijan,2021,World,Minerals,Export,Export Product share(%),0.2875
Azerbaijan,2021,World,Stone and Glass,Export,Export Product share(%),0.9918
Azerbaijan,2021,World,Capital goods,Export,Export Product share(%),0.3087
Azerbaijan,2021,World,Chemicals,Export,Export Product share(%),1.1042
Azerbaijan,2021,World,Mach and Elec,Export,Export Product share(%),0.2452
Azerbaijan,2021,World,Animal,Export,Export Product share(%),0.0726
Azerbaijan,2021,World,Wood,Export,Export Product share(%),0.0285
Azerbaijan,2021,World,Raw materials,Export,Export Product share(%),63.7143
Azerbaijan,2021,World,Hides and Skins,Export,Export Product share(%),0.0551
Azerbaijan,2021,World,Miscellaneous,Export,Export Product share(%),0.1175
Azerbaijan,2021,World,Plastic or Rubber,Export,Export Product share(%),1.9937
Azerbaijan,2021,World,Transportation,Export,Export Product share(%),0.0357
Azerbaijan,2021,World,Fuels,Export,Export Product share(%),88.4074
Azerbaijan,2021,World,Metals,Export,Export Product share(%),1.6908
Azerbaijan,2021,World,Intermediate goods,Import,Import Product share(%),22.4823
Azerbaijan,2021,World,Consumer goods,Import,Import Product share(%),41.5531
Azerbaijan,2021,World,Capital goods,Import,Import Product share(%),27.6081
Azerbaijan,2021,World,Raw materials,Import,Import Product share(%),7.8399
Azerbaijan,2021,World,Intermediate goods,Tariff,Weighted Average (%),4.38223010609811
Azerbaijan,2021,World,Consumer goods,Tariff,Weighted Average (%),7.99457423436918
Azerbaijan,2021,World,Capital goods,Tariff,Weighted Average (%),4.98817402875092
Azerbaijan,2021,World,Raw materials,Tariff,Weighted Average (%),6.04678844123262
Azerbaijan,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Azerbaijan,2021,World,All Products,Trade Indicator,Country Growth (%),36.039570943234
Azerbaijan,2021,World,All Products,Tariff,Simple Average (%),9.25607844172536
Azerbaijan,2021,World,All Products,Tariff,Weighted Average (%),6.00954192070871
Azerbaijan,2021,World,All Products,Tariff,Maximum Rate (%),359.758209228516
Azerbaijan,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),30.9926625018992
Azerbaijan,2021,...,...,Trade Indicator,Index of export market penetration,1.93493921325807
Azerbaijan,2021,...,...,Trade Indicator,HH Market concentration index,0.251914105675701
