Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Belgium,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65823.6957669605
Belgium,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53115.6554456803
Belgium,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47637.7411774105
Belgium,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26690.6247224444
Belgium,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23950.1295512078
Belgium,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,83001.1154602863
Belgium,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,63246.1806788759
Belgium,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40560.5030008212
Belgium,2021,Ireland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21998.1031754038
Belgium,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19271.2849171785
Belgium,2021,World,Chemicals,Export,Export(US$ Mil),113139.169894088
Belgium,2021,World,Mach and Elec,Export,Export(US$ Mil),37001.9058321865
Belgium,2021,World,Minerals,Export,Export(US$ Mil),1888.09248469815
Belgium,2021,World,Stone and Glass,Export,Export(US$ Mil),25254.4295679943
Belgium,2021,World,Capital goods,Export,Export(US$ Mil),59242.9696917484
Belgium,2021,World,Hides and Skins,Export,Export(US$ Mil),647.089630937156
Belgium,2021,World,Miscellaneous,Export,Export(US$ Mil),15970.9983542474
Belgium,2021,World,Food Products,Export,Export(US$ Mil),22373.8325954043
Belgium,2021,World,Footwear,Export,Export(US$ Mil),606.609952896252
Belgium,2021,World,Consumer goods,Export,Export(US$ Mil),141065.288904467
Belgium,2021,World,Vegetable,Export,Export(US$ Mil),10600.696224003
Belgium,2021,World,Textiles and Clothing,Export,Export(US$ Mil),7408.29438633299
