Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Burkina Faso,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3678.54889812073
Burkina Faso,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,485.066587831627
Burkina Faso,2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,194.677826402312
Burkina Faso,2021,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,182.313315701561
Burkina Faso,2021,Mali,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,78.5322387788515
Burkina Faso,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,654.71289820685
Burkina Faso,2021,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,398.128472141502
Burkina Faso,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,367.911848149771
Burkina Faso,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,325.647790246673
Burkina Faso,2021,Ghana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,276.329012110076
Burkina Faso,2021,World,Vegetable,Export,Export(US$ Mil),306.214930550714
Burkina Faso,2021,World,Textiles and Clothing,Export,Export(US$ Mil),460.196185617357
Burkina Faso,2021,World,Intermediate goods,Export,Export(US$ Mil),4002.22479321087
Burkina Faso,2021,World,Food Products,Export,Export(US$ Mil),34.3651057666083
Burkina Faso,2021,World,Footwear,Export,Export(US$ Mil),0.15300670500028
Burkina Faso,2021,World,Consumer goods,Export,Export(US$ Mil),90.8282040799819
Burkina Faso,2021,World,Animal,Export,Export(US$ Mil),1.720761575918
Burkina Faso,2021,World,Wood,Export,Export(US$ Mil),0.77926288113948
Burkina Faso,2021,World,Raw materials,Export,Export(US$ Mil),894.445974071109
Burkina Faso,2021,World,Chemicals,Export,Export(US$ Mil),14.4814641313815
Burkina Faso,2021,World,Mach and Elec,Export,Export(US$ Mil),42.3348329673683
Burkina Faso,2021,World,Minerals,Export,Export(US$ Mil),200.595207451191
Burkina Faso,2021,World,Stone and Glass,Export,Export(US$ Mil),3924.05400295557
Burkina Faso,2021,World,Capital goods,Export,Export(US$ Mil),72.5289875880568
Burkina Faso,2021,World,Plastic or Rubber,Export,Export(US$ Mil),4.12708834616796
Burkina Faso,2021,World,Transportation,Export,Export(US$ Mil),29.6943541965511
Burkina Faso,2021,World,Fuels,Export,Export(US$ Mil),12.7174852090226
Burkina Faso,2021,World,Metals,Export,Export(US$ Mil),24.6543950589699
Burkina Faso,2021,World,Hides and Skins,Export,Export(US$ Mil),0.20975179888344
Burkina Faso,2021,World,Miscellaneous,Export,Export(US$ Mil),3.73012373817964
Burkina Faso,2021,World,Consumer goods,Import,Import(US$ Mil),2546.8107555009
Burkina Faso,2021,World,Intermediate goods,Import,Import(US$ Mil),1046.31631565902
Burkina Faso,2021,World,Raw materials,Import,Import(US$ Mil),150.239491740015
