Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bangladesh,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6139.352462
Bangladesh,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4673.195989
Bangladesh,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3499.88043
Bangladesh,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1845.435424
Bangladesh,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1755.410855
Bangladesh,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10349.332537
Bangladesh,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5882.080036
Bangladesh,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4417.926243
Bangladesh,2015,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2624.045683
Bangladesh,2015,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2203.619112
Bangladesh,2015,World,Fuels,Export,Export(US$ Mil),178.120909
Bangladesh,2015,World,Metals,Export,Export(US$ Mil),94.994987
Bangladesh,2015,World,Minerals,Export,Export(US$ Mil),9.939278
Bangladesh,2015,World,Stone and Glass,Export,Export(US$ Mil),43.463656
Bangladesh,2015,World,Capital goods,Export,Export(US$ Mil),292.783134
Bangladesh,2015,World,Chemicals,Export,Export(US$ Mil),101.246184
Bangladesh,2015,World,Mach and Elec,Export,Export(US$ Mil),230.773854
Bangladesh,2015,World,Animal,Export,Export(US$ Mil),462.572821
Bangladesh,2015,World,Wood,Export,Export(US$ Mil),49.418835
Bangladesh,2015,World,Raw materials,Export,Export(US$ Mil),823.791362
Bangladesh,2015,World,Plastic or Rubber,Export,Export(US$ Mil),101.905574
Bangladesh,2015,World,Transportation,Export,Export(US$ Mil),166.042954
Bangladesh,2015,World,Hides and Skins,Export,Export(US$ Mil),592.245788
Bangladesh,2015,World,Miscellaneous,Export,Export(US$ Mil),138.304417
Bangladesh,2015,World,Food Products,Export,Export(US$ Mil),244.825059
Bangladesh,2015,World,Footwear,Export,Export(US$ Mil),787.292443
Bangladesh,2015,World,Consumer goods,Export,Export(US$ Mil),29643.834042
Bangladesh,2015,World,Vegetable,Export,Export(US$ Mil),200.448362
