Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Bahamas, The",2020,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,268.890309
"Bahamas, The",2020,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25.957494
"Bahamas, The",2020,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21.188782
"Bahamas, The",2020,Turks and Caicos Isl.,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.137142
"Bahamas, The",2020,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.875541
"Bahamas, The",2020,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1759.681554
"Bahamas, The",2020,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,61.877235
"Bahamas, The",2020,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.011378
"Bahamas, The",2020,Turks and Caicos Isl.,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,50.519532
"Bahamas, The",2020,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34.023482
"Bahamas, The",2020,World,Fuels,Export,Export(US$ Mil),96.32439
"Bahamas, The",2020,World,Metals,Export,Export(US$ Mil),16.908498
"Bahamas, The",2020,World,Animal,Export,Export(US$ Mil),25.037328
"Bahamas, The",2020,World,Wood,Export,Export(US$ Mil),0.564411
"Bahamas, The",2020,World,Raw materials,Export,Export(US$ Mil),28.125777
"Bahamas, The",2020,World,Food Products,Export,Export(US$ Mil),10.333845
"Bahamas, The",2020,World,Footwear,Export,Export(US$ Mil),0.066804
"Bahamas, The",2020,World,Consumer goods,Export,Export(US$ Mil),216.078337
"Bahamas, The",2020,World,Minerals,Export,Export(US$ Mil),19.288956
"Bahamas, The",2020,World,Stone and Glass,Export,Export(US$ Mil),12.39334
"Bahamas, The",2020,World,Capital goods,Export,Export(US$ Mil),35.724733
"Bahamas, The",2020,World,Hides and Skins,Export,Export(US$ Mil),0.007927
"Bahamas, The",2020,World,Miscellaneous,Export,Export(US$ Mil),13.059587
"Bahamas, The",2020,World,Chemicals,Export,Export(US$ Mil),2.380215
"Bahamas, The",2020,World,Mach and Elec,Export,Export(US$ Mil),28.244964
"Bahamas, The",2020,World,Plastic or Rubber,Export,Export(US$ Mil),59.348178
"Bahamas, The",2020,World,Transportation,Export,Export(US$ Mil),24.55201
"Bahamas, The",2020,World,Vegetable,Export,Export(US$ Mil),0.096483
"Bahamas, The",2020,World,Textiles and Clothing,Export,Export(US$ Mil),30.65291
"Bahamas, The",2020,World,Intermediate goods,Export,Export(US$ Mil),59.330699
"Bahamas, The",2020,World,Raw materials,Import,Import(US$ Mil),196.920615
"Bahamas, The",2020,World,Intermediate goods,Import,Import(US$ Mil),204.180786
"Bahamas, The",2020,World,Consumer goods,Import,Import(US$ Mil),1348.86863
"Bahamas, The",2020,World,Capital goods,Import,Import(US$ Mil),381.990637
"Bahamas, The",2020,World,All Products,Export,Exports (in US$ Mil),339.259846
"Bahamas, The",2020,World,All Products,Import,Imports (in US$ Mil),2205.003339
"Bahamas, The",2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1321770.571
"Bahamas, The",2018,...,...,Tariff,No. Of Tariff Agreement,2
"Bahamas, The",2020,...,...,Import,No. Of Import partners,111
"Bahamas, The",2020,...,...,Import,No. Of Import products,3853
"Bahamas, The",2020,...,...,Export,No. Of Export partners,35
"Bahamas, The",2020,...,...,Export,No. Of Export products,879
"Bahamas, The",2019,...,...,Others,Ease of Doing Business Rank,119
"Bahamas, The",2019,...,...,Others,Trading Across Borders Rank,161
"Bahamas, The",2018,...,...,Others,Population,385640
"Bahamas, The",2016,...,...,Others,LPI Score,2.749937
"Bahamas, The",2016,...,...,Others,LPI Rank,78
"Bahamas, The",2020,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,79.2579
"Bahamas, The",2020,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,7.6512
"Bahamas, The",2020,France,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2456
"Bahamas, The",2020,Turks and Caicos Isl.,All Products,Export,Partner share(%)-Top 5 Export Partner,3.8723
"Bahamas, The",2020,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,0.8476
"Bahamas, The",2020,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,79.804
"Bahamas, The",2020,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,2.8062
"Bahamas, The",2020,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,2.3134
"Bahamas, The",2020,Turks and Caicos Isl.,All Products,Import,Partner share(%)-Top 5 Import Partner,2.2911
"Bahamas, The",2020,China,All Products,Import,Partner share(%)-Top 5 Import Partner,1.543
"Bahamas, The",2020,World,Vegetable,Export,Export Product share(%),0.0284
"Bahamas, The",2020,World,Textiles and Clothing,Export,Export Product share(%),9.0352
"Bahamas, The",2020,World,Intermediate goods,Export,Export Product share(%),17.4883
"Bahamas, The",2020,World,Food Products,Export,Export Product share(%),3.046
"Bahamas, The",2020,World,Footwear,Export,Export Product share(%),0.0197
"Bahamas, The",2020,World,Consumer goods,Export,Export Product share(%),63.6911
"Bahamas, The",2020,World,Minerals,Export,Export Product share(%),5.6856
"Bahamas, The",2020,World,Stone and Glass,Export,Export Product share(%),3.6531
"Bahamas, The",2020,World,Capital goods,Export,Export Product share(%),10.5302
"Bahamas, The",2020,World,Chemicals,Export,Export Product share(%),0.7016
"Bahamas, The",2020,World,Mach and Elec,Export,Export Product share(%),8.3255
"Bahamas, The",2020,World,Fuels,Export,Export Product share(%),28.3925
"Bahamas, The",2020,World,Metals,Export,Export Product share(%),4.9839
"Bahamas, The",2020,World,Plastic or Rubber,Export,Export Product share(%),17.4934
"Bahamas, The",2020,World,Transportation,Export,Export Product share(%),7.2369
"Bahamas, The",2020,World,Hides and Skins,Export,Export Product share(%),0.0023
"Bahamas, The",2020,World,Miscellaneous,Export,Export Product share(%),3.8494
"Bahamas, The",2020,World,Animal,Export,Export Product share(%),7.38
"Bahamas, The",2020,World,Wood,Export,Export Product share(%),0.1664
"Bahamas, The",2020,World,Raw materials,Export,Export Product share(%),8.2903
"Bahamas, The",2020,World,Intermediate goods,Import,Import Product share(%),9.2599
"Bahamas, The",2020,World,Consumer goods,Import,Import Product share(%),61.1731
"Bahamas, The",2020,World,Capital goods,Import,Import Product share(%),17.3238
"Bahamas, The",2020,World,Raw materials,Import,Import Product share(%),8.9306
"Bahamas, The",2018,World,Raw materials,Tariff,Weighted Average (%),17.8333672866557
"Bahamas, The",2018,World,Consumer goods,Tariff,Weighted Average (%),15.714984392172
"Bahamas, The",2018,World,Intermediate goods,Tariff,Weighted Average (%),23.9265016819207
"Bahamas, The",2018,World,Capital goods,Tariff,Weighted Average (%),25.3181801194294
"Bahamas, The",2020,World,All Products,Trade Indicator,World Growth (%),-3.74697080682465
"Bahamas, The",2020,World,All Products,Trade Indicator,Country Growth (%),-6.19311928164805
"Bahamas, The",2018,World,All Products,Tariff,Simple Average (%),23.6586817777636
"Bahamas, The",2018,World,All Products,Tariff,Weighted Average (%),17.0457827572877
"Bahamas, The",2018,World,All Products,Tariff,Maximum Rate (%),100
"Bahamas, The",2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),38.159174035835
"Bahamas, The",2020,...,...,Trade Indicator,Index of export market penetration,1.51314213604258
"Bahamas, The",2020,...,...,Trade Indicator,HH Market concentration index,0.104410527004083
