Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bosnia and Herzegovina,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1290.41350522
Bosnia and Herzegovina,2021,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1126.62628956
Bosnia and Herzegovina,2021,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1096.64254727
Bosnia and Herzegovina,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,969.31851208
Bosnia and Herzegovina,2021,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,776.43379248
Bosnia and Herzegovina,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1569.63773559
Bosnia and Herzegovina,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1550.32770001
Bosnia and Herzegovina,2021,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1480.27972996
Bosnia and Herzegovina,2021,Croatia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1160.20032527
Bosnia and Herzegovina,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1026.45299014
Bosnia and Herzegovina,2021,World,Fuels,Export,Export(US$ Mil),735.28383214
Bosnia and Herzegovina,2021,World,Metals,Export,Export(US$ Mil),1865.56549223
Bosnia and Herzegovina,2021,World,Vegetable,Export,Export(US$ Mil),224.17764348
Bosnia and Herzegovina,2021,World,Textiles and Clothing,Export,Export(US$ Mil),401.24546847
Bosnia and Herzegovina,2021,World,Intermediate goods,Export,Export(US$ Mil),3623.54085068
Bosnia and Herzegovina,2021,World,Food Products,Export,Export(US$ Mil),233.16168495
Bosnia and Herzegovina,2021,World,Footwear,Export,Export(US$ Mil),444.34613145
Bosnia and Herzegovina,2021,World,Consumer goods,Export,Export(US$ Mil),3067.40772011
Bosnia and Herzegovina,2021,World,Minerals,Export,Export(US$ Mil),114.496429946161
Bosnia and Herzegovina,2021,World,Stone and Glass,Export,Export(US$ Mil),128.69533228
Bosnia and Herzegovina,2021,World,Capital goods,Export,Export(US$ Mil),1249.70096731
Bosnia and Herzegovina,2021,World,Chemicals,Export,Export(US$ Mil),601.9116389
Bosnia and Herzegovina,2021,World,Mach and Elec,Export,Export(US$ Mil),1224.25203927
Bosnia and Herzegovina,2021,World,Hides and Skins,Export,Export(US$ Mil),66.16565545
Bosnia and Herzegovina,2021,World,Miscellaneous,Export,Export(US$ Mil),999.67086432
