Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Belarus,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16086.9714
Belarus,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13972.2163
Belarus,2021,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1584.4218
Belarus,2021,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1214.6607
Belarus,2021,Lithuania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1185.4588
Belarus,2021,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15492.118
Belarus,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11948.931
Belarus,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3403.4212
Belarus,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1504.4735
Belarus,2021,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1439.0031
Belarus,2021,World,Chemicals,Export,Export(US$ Mil),1097.4877
Belarus,2021,World,Mach and Elec,Export,Export(US$ Mil),3257.1529
Belarus,2021,World,Food Products,Export,Export(US$ Mil),1675.3084
Belarus,2021,World,Footwear,Export,Export(US$ Mil),241.036
Belarus,2021,World,Consumer goods,Export,Export(US$ Mil),9179.7207
Belarus,2021,World,Animal,Export,Export(US$ Mil),3804.3106
Belarus,2021,World,Wood,Export,Export(US$ Mil),2803.3442
Belarus,2021,World,Raw materials,Export,Export(US$ Mil),2073.6482
Belarus,2021,World,Minerals,Export,Export(US$ Mil),185.1181
Belarus,2021,World,Stone and Glass,Export,Export(US$ Mil),547.7763
Belarus,2021,World,Capital goods,Export,Export(US$ Mil),3728.0589
Belarus,2021,World,Hides and Skins,Export,Export(US$ Mil),79.5608
Belarus,2021,World,Miscellaneous,Export,Export(US$ Mil),17694.4397
Belarus,2021,World,Metals,Export,Export(US$ Mil),3201.2455
Belarus,2021,World,Vegetable,Export,Export(US$ Mil),1222.8616
Belarus,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1429.7369
