Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Belgium-Luxembourg,1998,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34900.328448
Belgium-Luxembourg,1998,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,32474.01984
Belgium-Luxembourg,1998,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22417.557504
Belgium-Luxembourg,1998,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17730.439168
Belgium-Luxembourg,1998,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10513.327104
Belgium-Luxembourg,1998,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,31050.549248
Belgium-Luxembourg,1998,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27467.69408
Belgium-Luxembourg,1998,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22861.953024
Belgium-Luxembourg,1998,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14134.959104
Belgium-Luxembourg,1998,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13345.445888
Belgium-Luxembourg,1998,World,Food Products,Export,Export(US$ Mil),8165.735328
Belgium-Luxembourg,1998,World,Footwear,Export,Export(US$ Mil),1582.873112
Belgium-Luxembourg,1998,World,Consumer goods,Export,Export(US$ Mil),62197.1668980001
Belgium-Luxembourg,1998,World,Vegetable,Export,Export(US$ Mil),6042.357486
Belgium-Luxembourg,1998,World,Textiles and Clothing,Export,Export(US$ Mil),11544.960529
Belgium-Luxembourg,1998,World,Intermediate goods,Export,Export(US$ Mil),55829.315714
Belgium-Luxembourg,1998,World,Hides and Skins,Export,Export(US$ Mil),678.742
Belgium-Luxembourg,1998,World,Miscellaneous,Export,Export(US$ Mil),7027.674668
Belgium-Luxembourg,1998,World,Minerals,Export,Export(US$ Mil),1217.46576
Belgium-Luxembourg,1998,World,Stone and Glass,Export,Export(US$ Mil),14421.696416
Belgium-Luxembourg,1998,World,Capital goods,Export,Export(US$ Mil),33555.756907
Belgium-Luxembourg,1998,World,Animal,Export,Export(US$ Mil),5017.01264
Belgium-Luxembourg,1998,World,Wood,Export,Export(US$ Mil),6360.577694
Belgium-Luxembourg,1998,World,Raw materials,Export,Export(US$ Mil),14810.175562
Belgium-Luxembourg,1998,World,Fuels,Export,Export(US$ Mil),4335.994368
Belgium-Luxembourg,1998,World,Metals,Export,Export(US$ Mil),17405.519428
Belgium-Luxembourg,1998,World,Chemicals,Export,Export(US$ Mil),25756.040424
Belgium-Luxembourg,1998,World,Mach and Elec,Export,Export(US$ Mil),27329.620992
Belgium-Luxembourg,1998,World,Plastic or Rubber,Export,Export(US$ Mil),15109.950208
Belgium-Luxembourg,1998,World,Transportation,Export,Export(US$ Mil),26619.22096
