Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Belize,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,60.59753981
Belize,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,58.591700355
Belize,2021,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22.07157946
Belize,2021,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.60349264
Belize,2021,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.212170585
Belize,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,381.180751445
Belize,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,168.741362395
Belize,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,136.335881475
Belize,2021,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,129.361887015
Belize,2021,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18.79140834
Belize,2021,World,Food Products,Export,Export(US$ Mil),145.60890453
Belize,2021,World,Footwear,Export,Export(US$ Mil),0.005231845
Belize,2021,World,Consumer goods,Export,Export(US$ Mil),70.74791739
Belize,2021,World,Vegetable,Export,Export(US$ Mil),59.10758437
Belize,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.23840606
Belize,2021,World,Intermediate goods,Export,Export(US$ Mil),97.77481158
Belize,2021,World,Fuels,Export,Export(US$ Mil),11.468410025
Belize,2021,World,Metals,Export,Export(US$ Mil),2.60848223
Belize,2021,World,Minerals,Export,Export(US$ Mil),
Belize,2021,World,Stone and Glass,Export,Export(US$ Mil),0.70852696
Belize,2021,World,Capital goods,Export,Export(US$ Mil),3.119595165
Belize,2021,World,Animal,Export,Export(US$ Mil),27.939252055
Belize,2021,World,Wood,Export,Export(US$ Mil),7.008021875
Belize,2021,World,Raw materials,Export,Export(US$ Mil),91.60956538
Belize,2021,World,Chemicals,Export,Export(US$ Mil),3.308603255
Belize,2021,World,Mach and Elec,Export,Export(US$ Mil),2.396399185
Belize,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.162151565
Belize,2021,World,Transportation,Export,Export(US$ Mil),1.66338901
Belize,2021,World,Hides and Skins,Export,Export(US$ Mil),0.02274271
Belize,2021,World,Miscellaneous,Export,Export(US$ Mil),1.846569935
Belize,2021,World,Consumer goods,Import,Import(US$ Mil),647.910511734999
Belize,2021,World,Intermediate goods,Import,Import(US$ Mil),191.81005152
Belize,2021,World,Raw materials,Import,Import(US$ Mil),23.608360475
Belize,2021,World,Capital goods,Import,Import(US$ Mil),195.236068825
Belize,2021,World,All Products,Export,Exports (in US$ Mil),264.09267561
Belize,2021,World,All Products,Import,Imports (in US$ Mil),1060.47148662
Belize,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),195237.185755
Belize,2021,...,...,Tariff,No. Of Tariff Agreement,7
Belize,2021,...,...,Import,No. Of Import partners,111
Belize,2021,...,...,Import,No. Of Import products,3148
Belize,2021,...,...,Export,No. Of Export partners,78
Belize,2021,...,...,Export,No. Of Export products,663
Belize,2018,...,...,Others,Population,383071
Belize,2019,...,...,Others,Ease of Doing Business Rank,135
Belize,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0736294
Belize,2019,...,...,Others,Trading Across Borders Rank,114
Belize,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0716068
Belize,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,22.9456
Belize,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,22.186
Belize,2021,Mexico,All Products,Export,Partner share(%)-Top 5 Export Partner,8.3575
Belize,2021,Guatemala,All Products,Export,Partner share(%)-Top 5 Export Partner,7.0443
Belize,2021,Ireland,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3815
Belize,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,35.9445
Belize,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,15.9119
Belize,2021,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,12.8562
Belize,2021,Guatemala,All Products,Import,Partner share(%)-Top 5 Import Partner,12.1985
Belize,2021,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,1.772
Belize,2021,World,Vegetable,Export,Export Product share(%),22.3814
Belize,2021,World,Textiles and Clothing,Export,Export Product share(%),0.0903
Belize,2021,World,Intermediate goods,Export,Export Product share(%),37.0229
Belize,2021,World,Food Products,Export,Export Product share(%),55.1355
Belize,2021,World,Footwear,Export,Export Product share(%),0.002
Belize,2021,World,Consumer goods,Export,Export Product share(%),26.789
Belize,2021,World,Minerals,Export,Export Product share(%),
Belize,2021,World,Stone and Glass,Export,Export Product share(%),0.2683
Belize,2021,World,Capital goods,Export,Export Product share(%),1.1813
Belize,2021,World,Chemicals,Export,Export Product share(%),1.2528
