Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bermuda,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25.7669601
Bermuda,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.16324997
Bermuda,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.79721783
Bermuda,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.26466859
Bermuda,2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.12608868
Bermuda,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,763.37845936
Bermuda,2021,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,72.0430003400001
Bermuda,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,62.6089773499999
Bermuda,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21.99090149
Bermuda,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17.69732794
Bermuda,2021,World,Animal,Export,Export(US$ Mil),0.05126015
Bermuda,2021,World,Wood,Export,Export(US$ Mil),0.00992985
Bermuda,2021,World,Raw materials,Export,Export(US$ Mil),0.05676939
Bermuda,2021,World,Minerals,Export,Export(US$ Mil),0.00053754
Bermuda,2021,World,Stone and Glass,Export,Export(US$ Mil),0.14937655
Bermuda,2021,World,Capital goods,Export,Export(US$ Mil),21.38029694
Bermuda,2021,World,Food Products,Export,Export(US$ Mil),2.24983228
Bermuda,2021,World,Footwear,Export,Export(US$ Mil),0.0047935
Bermuda,2021,World,Consumer goods,Export,Export(US$ Mil),3.42158187
Bermuda,2021,World,Fuels,Export,Export(US$ Mil),0.00682226
Bermuda,2021,World,Metals,Export,Export(US$ Mil),0.33661084
Bermuda,2021,World,Chemicals,Export,Export(US$ Mil),0.20826487
Bermuda,2021,World,Mach and Elec,Export,Export(US$ Mil),3.13911763
Bermuda,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.09201992
Bermuda,2021,World,Transportation,Export,Export(US$ Mil),17.9233354
Bermuda,2021,World,Hides and Skins,Export,Export(US$ Mil),0.00993103
Bermuda,2021,World,Miscellaneous,Export,Export(US$ Mil),4.32063117
Bermuda,2021,World,Vegetable,Export,Export(US$ Mil),0.0125837
Bermuda,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.11748239
Bermuda,2021,World,Intermediate goods,Export,Export(US$ Mil),0.73167625
Bermuda,2021,World,Raw materials,Import,Import(US$ Mil),74.24206164
Bermuda,2021,World,Intermediate goods,Import,Import(US$ Mil),68.1206022799999
Bermuda,2021,World,Consumer goods,Import,Import(US$ Mil),645.22061133
Bermuda,2021,World,Capital goods,Import,Import(US$ Mil),128.42485596
Bermuda,2021,World,All Products,Export,Exports (in US$ Mil),28.63252908
Bermuda,2021,World,All Products,Import,Imports (in US$ Mil),1055.20624822
Bermuda,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),63766.0421
Bermuda,2021,...,...,Tariff,No. Of Tariff Agreement,1
Bermuda,2021,...,...,Import,No. Of Import partners,179
Bermuda,2021,...,...,Import,No. Of Import products,3450
Bermuda,2021,...,...,Export,No. Of Export partners,32
Bermuda,2021,...,...,Export,No. Of Export products,459
Bermuda,2018,...,...,Others,Population,63968
Bermuda,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,89.9919
Bermuda,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0627
Bermuda,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,2.7843
Bermuda,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,0.9244
Bermuda,2021,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,0.4404
Bermuda,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,72.344
Bermuda,2021,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,6.8274
Bermuda,2021,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9333
Bermuda,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,2.084
Bermuda,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,1.6771
Bermuda,2021,World,Vegetable,Export,Export Product share(%),0.0439
