Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bolivia,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1849.98473448
Bolivia,2021,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1449.01211332
Bolivia,2021,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1043.38697252
Bolivia,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,916.80988437
Bolivia,2021,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,713.65032912
Bolivia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1975.78415046
Bolivia,2021,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1707.18609975
Bolivia,2021,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1274.1065779
Bolivia,2021,Peru,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,809.33887935
Bolivia,2021,Chile,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,630.32557143
Bolivia,2021,World,Food Products,Export,Export(US$ Mil),895.25779958
Bolivia,2021,World,Footwear,Export,Export(US$ Mil),13.07859836
Bolivia,2021,World,Consumer goods,Export,Export(US$ Mil),2825.10016985
Bolivia,2021,World,Vegetable,Export,Export(US$ Mil),1162.21877716
Bolivia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),16.508948
Bolivia,2021,World,Intermediate goods,Export,Export(US$ Mil),4937.44780731
Bolivia,2021,World,Chemicals,Export,Export(US$ Mil),102.33666494
Bolivia,2021,World,Mach and Elec,Export,Export(US$ Mil),57.58352272
Bolivia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),9.88162554
Bolivia,2021,World,Transportation,Export,Export(US$ Mil),15.33380812
Bolivia,2021,World,Animal,Export,Export(US$ Mil),130.73641453
Bolivia,2021,World,Wood,Export,Export(US$ Mil),100.22389408
Bolivia,2021,World,Raw materials,Export,Export(US$ Mil),3234.16892333
Bolivia,2021,World,Fuels,Export,Export(US$ Mil),2359.63838916
Bolivia,2021,World,Metals,Export,Export(US$ Mil),585.91870544
Bolivia,2021,World,Minerals,Export,Export(US$ Mil),2652.60452754
Bolivia,2021,World,Stone and Glass,Export,Export(US$ Mil),2926.86748177
Bolivia,2021,World,Capital goods,Export,Export(US$ Mil),81.79100517
Bolivia,2021,World,Hides and Skins,Export,Export(US$ Mil),27.94956169
Bolivia,2021,World,Miscellaneous,Export,Export(US$ Mil),23.65012161
Bolivia,2021,World,Consumer goods,Import,Import(US$ Mil),4893.0478082
Bolivia,2021,World,Intermediate goods,Import,Import(US$ Mil),2417.35457957
Bolivia,2021,World,Capital goods,Import,Import(US$ Mil),2145.94437362
Bolivia,2021,World,Raw materials,Import,Import(US$ Mil),157.54674443
Bolivia,2021,World,All Products,Export,Exports (in US$ Mil),11079.78884024
Bolivia,2021,World,All Products,Import,Imports (in US$ Mil),9618.07396467
Bolivia,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3471880.5127
Bolivia,2021,...,...,Tariff,No. Of Tariff Agreement,46
Bolivia,2021,...,...,Import,No. Of Import partners,190
Bolivia,2021,...,...,Import,No. Of Import products,3874
Bolivia,2021,...,...,Export,No. Of Export partners,113
Bolivia,2021,...,...,Export,No. Of Export products,1424
Bolivia,2018,...,...,Others,Population,11353142
Bolivia,2015,...,...,Others,CPIA Trade Ratings,4.5
Bolivia,2016,...,...,Others,LPI Rank,138
Bolivia,,...,...,Others,Services Trade Restrictions Index - Over All,13.8
Bolivia,2019,...,...,Others,Trading Across Borders Rank,100
Bolivia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1073379
Bolivia,2019,...,...,Others,Ease of Doing Business Rank,150
Bolivia,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1577
Bolivia,2014,...,...,Others,No Of NTM Measures,31
Bolivia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.154539
Bolivia,2016,...,...,Others,LPI Score,2.251462
Bolivia,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,16.6969
Bolivia,2021,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,13.078
Bolivia,2021,Argentina,All Products,Export,Partner share(%)-Top 5 Export Partner,9.417
Bolivia,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,8.2746
Bolivia,2021,Colombia,All Products,Export,Partner share(%)-Top 5 Export Partner,6.441
Bolivia,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,20.5424
Bolivia,2021,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,17.7498
Bolivia,2021,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,13.247
Bolivia,2021,Peru,All Products,Import,Partner share(%)-Top 5 Import Partner,8.4148
Bolivia,2021,Chile,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5536
Bolivia,2021,World,Vegetable,Export,Export Product share(%),10.4895
Bolivia,2021,World,Textiles and Clothing,Export,Export Product share(%),0.149
Bolivia,2021,World,Intermediate goods,Export,Export Product share(%),44.5627
Bolivia,2021,World,Food Products,Export,Export Product share(%),8.0801
Bolivia,2021,World,Footwear,Export,Export Product share(%),0.118
Bolivia,2021,World,Consumer goods,Export,Export Product share(%),25.4978
Bolivia,2021,World,Fuels,Export,Export Product share(%),21.2968
Bolivia,2021,World,Metals,Export,Export Product share(%),5.2882
Bolivia,2021,World,Animal,Export,Export Product share(%),1.18
Bolivia,2021,World,Wood,Export,Export Product share(%),0.9046
Bolivia,2021,World,Raw materials,Export,Export Product share(%),29.1898
Bolivia,2021,World,Chemicals,Export,Export Product share(%),0.9236
Bolivia,2021,World,Mach and Elec,Export,Export Product share(%),0.5197
Bolivia,2021,World,Hides and Skins,Export,Export Product share(%),0.2523
Bolivia,2021,World,Miscellaneous,Export,Export Product share(%),0.2135
Bolivia,2021,World,Minerals,Export,Export Product share(%),23.9409
Bolivia,2021,World,Stone and Glass,Export,Export Product share(%),26.4163
Bolivia,2021,World,Capital goods,Export,Export Product share(%),0.7382
Bolivia,2021,World,Plastic or Rubber,Export,Export Product share(%),0.0892
Bolivia,2021,World,Transportation,Export,Export Product share(%),0.1384
Bolivia,2021,World,Intermediate goods,Import,Import Product share(%),25.1335
Bolivia,2021,World,Consumer goods,Import,Import Product share(%),50.8735
Bolivia,2021,World,Raw materials,Import,Import Product share(%),1.638
Bolivia,2021,World,Capital goods,Import,Import Product share(%),22.3116
Bolivia,2021,World,Intermediate goods,Tariff,Weighted Average (%),3.78974253186792
