Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Brunei,2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2368.33618865999
Brunei,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2248.7306095
Brunei,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2222.93807317
Brunei,2021,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1379.14395333
Brunei,2021,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,552.82279506
Brunei,2021,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1913.82190283
Brunei,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1309.23237867
Brunei,2021,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,933.27045103
Brunei,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,745.29914663
Brunei,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,575.087359650001
Brunei,2021,World,Fuels,Export,Export(US$ Mil),8699.34883383
Brunei,2021,World,Metals,Export,Export(US$ Mil),44.33705292
Brunei,2021,World,Minerals,Export,Export(US$ Mil),9.75953305
Brunei,2021,World,Stone and Glass,Export,Export(US$ Mil),11.16386097
Brunei,2021,World,Capital goods,Export,Export(US$ Mil),168.94096319
Brunei,2021,World,Chemicals,Export,Export(US$ Mil),1996.09616664
Brunei,2021,World,Mach and Elec,Export,Export(US$ Mil),145.60573688
Brunei,2021,World,Vegetable,Export,Export(US$ Mil),2.03005242
Brunei,2021,World,Textiles and Clothing,Export,Export(US$ Mil),6.26227879
Brunei,2021,World,Intermediate goods,Export,Export(US$ Mil),2140.57676919
Brunei,2021,World,Hides and Skins,Export,Export(US$ Mil),1.32001429
Brunei,2021,World,Miscellaneous,Export,Export(US$ Mil),28.47601086
Brunei,2021,World,Animal,Export,Export(US$ Mil),27.53428305
Brunei,2021,World,Wood,Export,Export(US$ Mil),3.93272831
Brunei,2021,World,Raw materials,Export,Export(US$ Mil),2211.90463157
Brunei,2021,World,Plastic or Rubber,Export,Export(US$ Mil),2.60708957
Brunei,2021,World,Transportation,Export,Export(US$ Mil),68.34661907
Brunei,2021,World,Food Products,Export,Export(US$ Mil),11.24632285
Brunei,2021,World,Footwear,Export,Export(US$ Mil),0.11778951
Brunei,2021,World,Consumer goods,Export,Export(US$ Mil),6531.59408212999
Brunei,2021,World,Intermediate goods,Import,Import(US$ Mil),509.26737461
Brunei,2021,World,Consumer goods,Import,Import(US$ Mil),1711.84516861
Brunei,2021,World,Capital goods,Import,Import(US$ Mil),794.838995409999
Brunei,2021,World,Raw materials,Import,Import(US$ Mil),5556.74096681
Brunei,2021,World,All Products,Export,Exports (in US$ Mil),11058.18437301
Brunei,2021,World,All Products,Import,Imports (in US$ Mil),8574.73852600001
Brunei,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4857428.08493
Brunei,2021,...,...,Tariff,No. Of Tariff Agreement,10
Brunei,2021,...,...,Import,No. Of Import partners,174
Brunei,2021,...,...,Import,No. Of Import products,3576
Brunei,2021,...,...,Export,No. Of Export partners,47
Brunei,2021,...,...,Export,No. Of Export products,1816
Brunei,2019,...,...,Others,Trading Across Borders Rank,149
Brunei,2018,...,...,Others,Population,428962
Brunei,2016,...,...,Others,LPI Score,2.870492
Brunei,2016,...,...,Others,LPI Rank,70
Brunei,2019,...,...,Others,Ease of Doing Business Rank,66
Brunei,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2571
Brunei,2015,...,...,Others,No Of NTM Measures,53
Brunei,2021,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,21.417
Brunei,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,20.3354
Brunei,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,20.1022
Brunei,2021,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,12.4717
Brunei,2021,Philippines,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9992
Brunei,2021,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,22.3193
Brunei,2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,15.2685
Brunei,2021,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,10.884
Brunei,2021,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6918
Brunei,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7068
Brunei,2021,World,Fuels,Export,Export Product share(%),78.6689
Brunei,2021,World,Metals,Export,Export Product share(%),0.4009
Brunei,2021,World,Vegetable,Export,Export Product share(%),0.0184
Brunei,2021,World,Textiles and Clothing,Export,Export Product share(%),0.0566
Brunei,2021,World,Intermediate goods,Export,Export Product share(%),19.3574
Brunei,2021,World,Food Products,Export,Export Product share(%),0.1017
Brunei,2021,World,Footwear,Export,Export Product share(%),0.0011
Brunei,2021,World,Consumer goods,Export,Export Product share(%),59.0657
