Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Botswana,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1914.33044706976
Botswana,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1754.51312016134
Botswana,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1290.51361676543
Botswana,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,681.277085425324
Botswana,2021,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,450.702300486236
Botswana,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4638.67410039391
Botswana,2021,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1203.72427260908
Botswana,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,405.882796687888
Botswana,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,403.875808426577
Botswana,2021,Namibia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,400.08322049804
Botswana,2021,World,Minerals,Export,Export(US$ Mil),139.869137682847
Botswana,2021,World,Stone and Glass,Export,Export(US$ Mil),6782.96675847774
Botswana,2021,World,Capital goods,Export,Export(US$ Mil),140.519755505863
Botswana,2021,World,Food Products,Export,Export(US$ Mil),15.3801762779004
Botswana,2021,World,Footwear,Export,Export(US$ Mil),1.51961965588479
Botswana,2021,World,Consumer goods,Export,Export(US$ Mil),238.782781732845
Botswana,2021,World,Vegetable,Export,Export(US$ Mil),20.7919142027469
Botswana,2021,World,Textiles and Clothing,Export,Export(US$ Mil),19.707149572439
Botswana,2021,World,Intermediate goods,Export,Export(US$ Mil),980.238550174817
Botswana,2021,World,Chemicals,Export,Export(US$ Mil),65.3973505990765
Botswana,2021,World,Mach and Elec,Export,Export(US$ Mil),173.860775485469
Botswana,2021,World,Plastic or Rubber,Export,Export(US$ Mil),33.9296635390818
Botswana,2021,World,Transportation,Export,Export(US$ Mil),40.9539802651326
Botswana,2021,World,Fuels,Export,Export(US$ Mil),29.1234388354261
Botswana,2021,World,Metals,Export,Export(US$ Mil),35.3809715000791
Botswana,2021,World,Hides and Skins,Export,Export(US$ Mil),3.67611814555227
Botswana,2021,World,Miscellaneous,Export,Export(US$ Mil),6.90481082279974
Botswana,2021,World,Animal,Export,Export(US$ Mil),97.3714096053311
Botswana,2021,World,Wood,Export,Export(US$ Mil),6.63348234722832
Botswana,2021,World,Raw materials,Export,Export(US$ Mil),6111.24570878977
Botswana,2021,World,Raw materials,Import,Import(US$ Mil),2811.42143107748
Botswana,2021,World,Intermediate goods,Import,Import(US$ Mil),1411.14881084348
Botswana,2021,World,Consumer goods,Import,Import(US$ Mil),2882.76627338007
Botswana,2021,World,Capital goods,Import,Import(US$ Mil),1347.2037058796
Botswana,2021,World,All Products,Export,Exports (in US$ Mil),7473.46675701473
Botswana,2021,World,All Products,Import,Imports (in US$ Mil),8459.39892710839
Botswana,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7135900.69345151
Botswana,2021,...,...,Tariff,No. Of Tariff Agreement,11
Botswana,2021,...,...,Import,No. Of Import partners,153
Botswana,2021,...,...,Import,No. Of Import products,3968
Botswana,2021,...,...,Export,No. Of Export partners,124
Botswana,2021,...,...,Export,No. Of Export products,2239
Botswana,2018,...,...,Others,Population,2254126
Botswana,2016,...,...,Others,LPI Score,3.045458
Botswana,2016,...,...,Others,LPI Rank,57
Botswana,2019,...,...,Others,Ease of Doing Business Rank,87
Botswana,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0593047
Botswana,,...,...,Others,Services Trade Restrictions Index - Over All,38.3
Botswana,2019,...,...,Others,Trading Across Borders Rank,55
Botswana,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0063094
Botswana,2021,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,25.615
Botswana,2021,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,23.4766
Botswana,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,17.2679
Botswana,2021,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,9.1159
Botswana,2021,Israel,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0307
Botswana,2021,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,54.8346
Botswana,2021,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,14.2294
Botswana,2021,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,4.798
Botswana,2021,India,All Products,Import,Partner share(%)-Top 5 Import Partner,4.7743
Botswana,2021,Namibia,All Products,Import,Partner share(%)-Top 5 Import Partner,4.7295
Botswana,2021,World,Animal,Export,Export Product share(%),1.3029
Botswana,2021,World,Wood,Export,Export Product share(%),0.0888
Botswana,2021,World,Raw materials,Export,Export Product share(%),81.7726
Botswana,2021,World,Food Products,Export,Export Product share(%),0.2058
Botswana,2021,World,Footwear,Export,Export Product share(%),0.0203
Botswana,2021,World,Consumer goods,Export,Export Product share(%),3.1951
Botswana,2021,World,Minerals,Export,Export Product share(%),1.8715
Botswana,2021,World,Stone and Glass,Export,Export Product share(%),90.7606
Botswana,2021,World,Capital goods,Export,Export Product share(%),1.8802
Botswana,2021,World,Fuels,Export,Export Product share(%),0.3897
Botswana,2021,World,Metals,Export,Export Product share(%),0.4734
Botswana,2021,World,Chemicals,Export,Export Product share(%),0.8751
Botswana,2021,World,Mach and Elec,Export,Export Product share(%),2.3264
Botswana,2021,World,Plastic or Rubber,Export,Export Product share(%),0.454
Botswana,2021,World,Transportation,Export,Export Product share(%),0.548
Botswana,2021,World,Hides and Skins,Export,Export Product share(%),0.0492
Botswana,2021,World,Miscellaneous,Export,Export Product share(%),0.0924
Botswana,2021,World,Vegetable,Export,Export Product share(%),0.2782
Botswana,2021,World,Textiles and Clothing,Export,Export Product share(%),0.2637
Botswana,2021,World,Intermediate goods,Export,Export Product share(%),13.1162
Botswana,2021,World,Consumer goods,Import,Import Product share(%),34.0777
Botswana,2021,World,Raw materials,Import,Import Product share(%),33.2343
Botswana,2021,World,Capital goods,Import,Import Product share(%),15.9255
Botswana,2021,World,Intermediate goods,Import,Import Product share(%),16.6814
Botswana,2021,World,Raw materials,Tariff,Weighted Average (%),0.0333486720391465
Botswana,2021,World,Intermediate goods,Tariff,Weighted Average (%),0.445568110471507
Botswana,2021,World,Consumer goods,Tariff,Weighted Average (%),2.20124726031916
Botswana,2021,World,Capital goods,Tariff,Weighted Average (%),0.55026545771232
Botswana,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Botswana,2021,World,All Products,Trade Indicator,Country Growth (%),20.5414398215625
Botswana,2021,World,All Products,Tariff,Simple Average (%),7.78856002600906
Botswana,2021,World,All Products,Tariff,Weighted Average (%),0.954854705174968
Botswana,2021,World,All Products,Tariff,Maximum Rate (%),294.838104248047
Botswana,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),65.3578379246002
Botswana,2021,...,...,Trade Indicator,Index of export market penetration,1.60066065484353
Botswana,2021,...,...,Trade Indicator,HH Market concentration index,0.191124403710563
