Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Central African Republic,2020,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9.979160343904
Central African Republic,2020,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.2431829027
Central African Republic,2020,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.1974572386307
Central African Republic,2020,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.26560004749497
Central African Republic,2020,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.8526838507
Central African Republic,2020,Cameroon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,142.995318682268
Central African Republic,2020,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,93.4459685011915
Central African Republic,2020,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,76.5464933790896
Central African Republic,2020,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38.4202830203616
Central African Republic,2020,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27.5946038198242
Central African Republic,2020,World,Food Products,Export,Export(US$ Mil),0.0202505421
Central African Republic,2020,World,Footwear,Export,Export(US$ Mil),0.00034798333333
Central African Republic,2020,World,Consumer goods,Export,Export(US$ Mil),1.30875508943346
Central African Republic,2020,World,Vegetable,Export,Export(US$ Mil),0.27190196245133
Central African Republic,2020,World,Textiles and Clothing,Export,Export(US$ Mil),0.3080237112
Central African Republic,2020,World,Intermediate goods,Export,Export(US$ Mil),13.1224470283696
Central African Republic,2020,World,Animal,Export,Export(US$ Mil),0.00756863749997
Central African Republic,2020,World,Wood,Export,Export(US$ Mil),7.48320140107798
Central African Republic,2020,World,Raw materials,Export,Export(US$ Mil),11.3911727993372
Central African Republic,2020,World,Fuels,Export,Export(US$ Mil),0.0159853643207
Central African Republic,2020,World,Metals,Export,Export(US$ Mil),0.2702871805966
Central African Republic,2020,World,Chemicals,Export,Export(US$ Mil),0.013181782658
Central African Republic,2020,World,Mach and Elec,Export,Export(US$ Mil),4.1034592446447
Central African Republic,2020,World,Plastic or Rubber,Export,Export(US$ Mil),0.07114658443367
Central African Republic,2020,World,Transportation,Export,Export(US$ Mil),10.8464461443716
Central African Republic,2020,World,Minerals,Export,Export(US$ Mil),
Central African Republic,2020,World,Stone and Glass,Export,Export(US$ Mil),16.752237061431
Central African Republic,2020,World,Capital goods,Export,Export(US$ Mil),14.709273146269
Central African Republic,2020,World,Hides and Skins,Export,Export(US$ Mil),0.0142560072083
Central African Republic,2020,World,Miscellaneous,Export,Export(US$ Mil),0.353876431082
Central African Republic,2020,World,Intermediate goods,Import,Import(US$ Mil),70.0532054190899
Central African Republic,2020,World,Capital goods,Import,Import(US$ Mil),162.323027747404
Central African Republic,2020,World,Raw materials,Import,Import(US$ Mil),23.8366670799647
Central African Republic,2020,World,Consumer goods,Import,Import(US$ Mil),288.121933659506
Central African Republic,2020,World,All Products,Export,Exports (in US$ Mil),40.5321700384092
Central African Republic,2020,World,All Products,Import,Imports (in US$ Mil),544.916439295165
Central African Republic,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),26971.409
