Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Chile,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36523.6447057691
Chile,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14932.946858562
Chile,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7238.28099710956
Chile,2021,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4826.18232710118
Chile,2021,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4582.08691836364
Chile,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27515.1738697413
Chile,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16027.0100578746
Chile,2021,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7735.61482530726
Chile,2021,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4913.57827064627
Chile,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2947.1097468012
Chile,2021,World,Food Products,Export,Export(US$ Mil),4235.4941364621
Chile,2021,World,Footwear,Export,Export(US$ Mil),92.805484611491
Chile,2021,World,Consumer goods,Export,Export(US$ Mil),6956.2543924716
Chile,2021,World,Animal,Export,Export(US$ Mil),7389.70926238246
Chile,2021,World,Wood,Export,Export(US$ Mil),5965.6903534995
Chile,2021,World,Raw materials,Export,Export(US$ Mil),49385.5752760336
Chile,2021,World,Vegetable,Export,Export(US$ Mil),8023.23747060197
Chile,2021,World,Textiles and Clothing,Export,Export(US$ Mil),379.868727136891
Chile,2021,World,Intermediate goods,Export,Export(US$ Mil),36590.0158180536
Chile,2021,World,Minerals,Export,Export(US$ Mil),34297.9905355247
Chile,2021,World,Stone and Glass,Export,Export(US$ Mil),1402.34012223404
Chile,2021,World,Capital goods,Export,Export(US$ Mil),1735.67269275716
Chile,2021,World,Fuels,Export,Export(US$ Mil),772.269413709612
Chile,2021,World,Metals,Export,Export(US$ Mil),25141.6836060629
Chile,2021,World,Chemicals,Export,Export(US$ Mil),3931.67064222343
Chile,2021,World,Mach and Elec,Export,Export(US$ Mil),979.102799336957
Chile,2021,World,Plastic or Rubber,Export,Export(US$ Mil),848.185931971776
Chile,2021,World,Transportation,Export,Export(US$ Mil),990.386410119754
Chile,2021,World,Hides and Skins,Export,Export(US$ Mil),42.1468837233479
Chile,2021,World,Miscellaneous,Export,Export(US$ Mil),184.22742668074
Chile,2021,World,Consumer goods,Import,Import(US$ Mil),38307.4172020904
Chile,2021,World,Capital goods,Import,Import(US$ Mil),26240.0135527673
Chile,2021,World,Intermediate goods,Import,Import(US$ Mil),16064.0106248373
Chile,2021,World,Raw materials,Import,Import(US$ Mil),11542.4220216596
Chile,2021,World,All Products,Export,Exports (in US$ Mil),94676.8092062815
Chile,2021,World,All Products,Import,Imports (in US$ Mil),92190.9571814814
Chile,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),77348118.4537632
Chile,2021,...,...,Tariff,No. Of Tariff Agreement,76
Chile,2021,...,...,Import,No. Of Import partners,188
Chile,2021,...,...,Import,No. Of Import products,4389
Chile,2021,...,...,Export,No. Of Export partners,176
Chile,2021,...,...,Export,No. Of Export products,3268
Chile,,...,...,Others,Services Trade Restrictions Index - Over All,23.4
Chile,2019,...,...,Others,Ease of Doing Business Rank,59
Chile,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3543
Chile,2014,...,...,Others,No Of NTM Measures,56
Chile,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0715218
Chile,2019,...,...,Others,Trading Across Borders Rank,73
Chile,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0715218
Chile,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.6051917672
Chile,2018,...,...,Others,Population,18729160
Chile,2016,...,...,Others,LPI Rank,46
Chile,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.1162340194
Chile,2016,...,...,Others,LPI Score,3.248442
Chile,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,38.5772
Chile,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,15.7725
Chile,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,7.6453
Chile,2021,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,5.0975
Chile,2021,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,4.8397
Chile,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,29.8458
Chile,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,17.3846
Chile,2021,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3909
Chile,2021,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3298
Chile,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.1967
Chile,2021,World,Chemicals,Export,Export Product share(%),4.1527
Chile,2021,World,Mach and Elec,Export,Export Product share(%),1.0342
Chile,2021,World,Vegetable,Export,Export Product share(%),8.4743
Chile,2021,World,Textiles and Clothing,Export,Export Product share(%),0.4012
Chile,2021,World,Intermediate goods,Export,Export Product share(%),38.6473
Chile,2021,World,Food Products,Export,Export Product share(%),4.4736
Chile,2021,World,Footwear,Export,Export Product share(%),0.098
Chile,2021,World,Consumer goods,Export,Export Product share(%),7.3474
Chile,2021,World,Minerals,Export,Export Product share(%),36.2264
Chile,2021,World,Stone and Glass,Export,Export Product share(%),1.4812
Chile,2021,World,Capital goods,Export,Export Product share(%),1.8333
Chile,2021,World,Animal,Export,Export Product share(%),7.8052
Chile,2021,World,Wood,Export,Export Product share(%),6.3011
Chile,2021,World,Raw materials,Export,Export Product share(%),52.1623
Chile,2021,World,Fuels,Export,Export Product share(%),0.8157
Chile,2021,World,Metals,Export,Export Product share(%),26.5553
Chile,2021,World,Plastic or Rubber,Export,Export Product share(%),0.8959
Chile,2021,World,Transportation,Export,Export Product share(%),1.0461
Chile,2021,World,Hides and Skins,Export,Export Product share(%),0.0445
Chile,2021,World,Miscellaneous,Export,Export Product share(%),0.1946
Chile,2021,World,Intermediate goods,Import,Import Product share(%),17.4247
Chile,2021,World,Capital goods,Import,Import Product share(%),28.4627
Chile,2021,World,Consumer goods,Import,Import Product share(%),41.5523
Chile,2021,World,Raw materials,Import,Import Product share(%),12.5201
Chile,2021,World,Consumer goods,Tariff,Weighted Average (%),0.569651283117679
Chile,2021,World,Intermediate goods,Tariff,Weighted Average (%),0.40242031771808
Chile,2021,World,Capital goods,Tariff,Weighted Average (%),0.41355577037214
Chile,2021,World,Raw materials,Tariff,Weighted Average (%),0.12397477651457
Chile,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Chile,2021,World,All Products,Trade Indicator,Country Growth (%),14.7288550812828
Chile,2021,World,All Products,Tariff,Simple Average (%),1.06704981910131
Chile,2021,World,All Products,Tariff,Weighted Average (%),0.429103712542819
Chile,2021,World,All Products,Tariff,Maximum Rate (%),6
Chile,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),80.7596241008484
Chile,2021,...,...,Trade Indicator,Index of export market penetration,5.10702042841022
Chile,2021,...,...,Trade Indicator,HH Market concentration index,0.186415095141865
