Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cote d'Ivoire,2020,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1244.52677181348
Cote d'Ivoire,2020,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,834.81724504
Cote d'Ivoire,2020,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,804.95606315
Cote d'Ivoire,2020,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,800.64230231
Cote d'Ivoire,2020,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,678.05054316
Cote d'Ivoire,2020,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1577.34815436
Cote d'Ivoire,2020,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1375.03659467
Cote d'Ivoire,2020,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1137.18948337
Cote d'Ivoire,2020,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,539.48658145
Cote d'Ivoire,2020,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,423.41952673
Cote d'Ivoire,2020,World,Vegetable,Export,Export(US$ Mil),1554.77743717522
Cote d'Ivoire,2020,World,Textiles and Clothing,Export,Export(US$ Mil),356.50140022
Cote d'Ivoire,2020,World,Intermediate goods,Export,Export(US$ Mil),3392.07909937
Cote d'Ivoire,2020,World,Food Products,Export,Export(US$ Mil),5479.37473525
Cote d'Ivoire,2020,World,Footwear,Export,Export(US$ Mil),51.7531621
Cote d'Ivoire,2020,World,Consumer goods,Export,Export(US$ Mil),2011.08811225348
Cote d'Ivoire,2020,World,Minerals,Export,Export(US$ Mil),179.01528494
Cote d'Ivoire,2020,World,Stone and Glass,Export,Export(US$ Mil),1467.18027621
Cote d'Ivoire,2020,World,Capital goods,Export,Export(US$ Mil),186.97550844
Cote d'Ivoire,2020,World,Plastic or Rubber,Export,Export(US$ Mil),1170.91179214
Cote d'Ivoire,2020,World,Transportation,Export,Export(US$ Mil),57.37616596
Cote d'Ivoire,2020,World,Fuels,Export,Export(US$ Mil),1279.9374358
Cote d'Ivoire,2020,World,Metals,Export,Export(US$ Mil),102.32394151
Cote d'Ivoire,2020,World,Animal,Export,Export(US$ Mil),13.39105848
Cote d'Ivoire,2020,World,Wood,Export,Export(US$ Mil),203.50324738348
Cote d'Ivoire,2020,World,Raw materials,Export,Export(US$ Mil),6863.89934900522
Cote d'Ivoire,2020,World,Chemicals,Export,Export(US$ Mil),437.45762445
Cote d'Ivoire,2020,World,Mach and Elec,Export,Export(US$ Mil),83.37195333
Cote d'Ivoire,2020,World,Hides and Skins,Export,Export(US$ Mil),0.98553751
Cote d'Ivoire,2020,World,Miscellaneous,Export,Export(US$ Mil),16.18101661
Cote d'Ivoire,2020,World,Intermediate goods,Import,Import(US$ Mil),2358.4035147
Cote d'Ivoire,2020,World,Consumer goods,Import,Import(US$ Mil),3402.59163674
Cote d'Ivoire,2020,World,Capital goods,Import,Import(US$ Mil),2127.82002493174
Cote d'Ivoire,2020,World,Raw materials,Import,Import(US$ Mil),2637.92121568
Cote d'Ivoire,2020,World,All Products,Export,Exports (in US$ Mil),12454.0420690687
Cote d'Ivoire,2020,World,All Products,Import,Imports (in US$ Mil),10526.9720932517
Cote d'Ivoire,2020,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2559762.07749022
Cote d'Ivoire,2020,...,...,Tariff,No. Of Tariff Agreement,2
Cote d'Ivoire,2020,...,...,Import,No. Of Import partners,192
Cote d'Ivoire,2020,...,...,Import,No. Of Import products,3865
Cote d'Ivoire,2020,...,...,Export,No. Of Export partners,139
Cote d'Ivoire,2020,...,...,Export,No. Of Export products,2343
Cote d'Ivoire,2018,...,...,Others,Population,25069229
Cote d'Ivoire,2018,...,...,Others,CPIA Trade Ratings,4
Cote d'Ivoire,2016,...,...,Others,LPI Score,2.602573
Cote d'Ivoire,2019,...,...,Others,Ease of Doing Business Rank,110
Cote d'Ivoire,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Cote d'Ivoire,2012,...,...,Others,No Of NTM Measures,28
Cote d'Ivoire,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.3167185
Cote d'Ivoire,,...,...,Others,Services Trade Restrictions Index - Over All,26.4
Cote d'Ivoire,2019,...,...,Others,Trading Across Borders Rank,163
Cote d'Ivoire,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2906871
Cote d'Ivoire,2016,...,...,Others,LPI Rank,95
