Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cameroon,2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,944.105048058744
Cameroon,2018,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,521.52009836531
Cameroon,2018,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,369.533314433159
Cameroon,2018,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,265.307239764273
Cameroon,2018,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,224.172119858297
Cameroon,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1132.49201066144
Cameroon,2018,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,506.894430484922
Cameroon,2018,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,342.202129919636
Cameroon,2018,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,296.29458546243
Cameroon,2018,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,258.806201768292
Cameroon,2018,World,Food Products,Export,Export(US$ Mil),604.483666518554
Cameroon,2018,World,Footwear,Export,Export(US$ Mil),2.40125551273905
Cameroon,2018,World,Consumer goods,Export,Export(US$ Mil),469.781988248726
Cameroon,2018,World,Hides and Skins,Export,Export(US$ Mil),0.26786463862225
Cameroon,2018,World,Miscellaneous,Export,Export(US$ Mil),9.356592510738
Cameroon,2018,World,Minerals,Export,Export(US$ Mil),7.47326183407355
Cameroon,2018,World,Stone and Glass,Export,Export(US$ Mil),14.2895469577434
Cameroon,2018,World,Capital goods,Export,Export(US$ Mil),38.068928046226
Cameroon,2018,World,Plastic or Rubber,Export,Export(US$ Mil),61.6401923354446
Cameroon,2018,World,Transportation,Export,Export(US$ Mil),4.26602176124585
Cameroon,2018,World,Chemicals,Export,Export(US$ Mil),72.0946182678863
Cameroon,2018,World,Mach and Elec,Export,Export(US$ Mil),25.8846476000133
Cameroon,2018,World,Fuels,Export,Export(US$ Mil),1912.78299553497
Cameroon,2018,World,Metals,Export,Export(US$ Mil),177.479576016994
Cameroon,2018,World,Animal,Export,Export(US$ Mil),8.28479945332775
Cameroon,2018,World,Wood,Export,Export(US$ Mil),555.690349973502
Cameroon,2018,World,Raw materials,Export,Export(US$ Mil),2590.43774243012
