Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Congo, Rep.",2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1081.06200242
"Congo, Rep.",2021,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,202.15754091
"Congo, Rep.",2021,Togo,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,177.81975572
"Congo, Rep.",2021,Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,127.01291722
"Congo, Rep.",2021,Gabon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,94.16952018
"Congo, Rep.",2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,460.292385320001
"Congo, Rep.",2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,293.00185643
"Congo, Rep.",2021,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,211.33460384
"Congo, Rep.",2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,104.48451749
"Congo, Rep.",2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,97.6307148199999
"Congo, Rep.",2021,World,Fuels,Export,Export(US$ Mil),1301.37778333
"Congo, Rep.",2021,World,Metals,Export,Export(US$ Mil),128.31330116
"Congo, Rep.",2021,World,Chemicals,Export,Export(US$ Mil),3.12957074
"Congo, Rep.",2021,World,Mach and Elec,Export,Export(US$ Mil),64.08662797
"Congo, Rep.",2021,World,Food Products,Export,Export(US$ Mil),13.07090432
"Congo, Rep.",2021,World,Footwear,Export,Export(US$ Mil),0.2085813
"Congo, Rep.",2021,World,Consumer goods,Export,Export(US$ Mil),356.08504128
"Congo, Rep.",2021,World,Hides and Skins,Export,Export(US$ Mil),0.24436844
"Congo, Rep.",2021,World,Miscellaneous,Export,Export(US$ Mil),14.41228562
"Congo, Rep.",2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.66898699
"Congo, Rep.",2021,World,Transportation,Export,Export(US$ Mil),475.76872123
"Congo, Rep.",2021,World,Vegetable,Export,Export(US$ Mil),1.52952317
"Congo, Rep.",2021,World,Textiles and Clothing,Export,Export(US$ Mil),2.73450465
"Congo, Rep.",2021,World,Intermediate goods,Export,Export(US$ Mil),308.50980771
"Congo, Rep.",2021,World,Minerals,Export,Export(US$ Mil),7.53564315
"Congo, Rep.",2021,World,Stone and Glass,Export,Export(US$ Mil),0.73502104
"Congo, Rep.",2021,World,Capital goods,Export,Export(US$ Mil),439.44868022
"Congo, Rep.",2021,World,Animal,Export,Export(US$ Mil),4.79962973
"Congo, Rep.",2021,World,Wood,Export,Export(US$ Mil),343.61470817
"Congo, Rep.",2021,World,Raw materials,Export,Export(US$ Mil),1252.35074803
"Congo, Rep.",2021,World,Intermediate goods,Import,Import(US$ Mil),412.886468759021
"Congo, Rep.",2021,World,Consumer goods,Import,Import(US$ Mil),855.644639097064
"Congo, Rep.",2021,World,Raw materials,Import,Import(US$ Mil),454.47387699
"Congo, Rep.",2021,World,Capital goods,Import,Import(US$ Mil),622.345049090001
"Congo, Rep.",2021,World,All Products,Export,Exports (in US$ Mil),2362.23016101
"Congo, Rep.",2021,World,All Products,Import,Imports (in US$ Mil),2351.50311533609
"Congo, Rep.",2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),191855.374
"Congo, Rep.",2015,...,...,Tariff,No. Of Tariff Agreement,2
"Congo, Rep.",2021,...,...,Import,No. Of Import partners,140
"Congo, Rep.",2021,...,...,Import,No. Of Import products,3207
"Congo, Rep.",2021,...,...,Export,No. Of Export partners,107
"Congo, Rep.",2021,...,...,Export,No. Of Export products,1110
"Congo, Rep.",2019,...,...,Others,Ease of Doing Business Rank,180
"Congo, Rep.",2019,...,...,Others,Trading Across Borders Rank,183
"Congo, Rep.",2018,...,...,Others,Population,5244363
"Congo, Rep.",2018,...,...,Others,CPIA Trade Ratings,3.5
"Congo, Rep.",2016,...,...,Others,LPI Score,2.376768
"Congo, Rep.",2016,...,...,Others,LPI Rank,125
"Congo, Rep.",,...,...,Others,Services Trade Restrictions Index - Over All,51.7
"Congo, Rep.",2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,45.7645
"Congo, Rep.",2021,Cote d'Ivoire,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5579
"Congo, Rep.",2021,Togo,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5276
"Congo, Rep.",2021,Cameroon,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3768
"Congo, Rep.",2021,Gabon,All Products,Export,Partner share(%)-Top 5 Export Partner,3.9865
"Congo, Rep.",2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.5744
"Congo, Rep.",2021,France,All Products,Import,Partner share(%)-Top 5 Import Partner,12.4602
"Congo, Rep.",2021,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,8.9872
"Congo, Rep.",2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4433
"Congo, Rep.",2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,4.1518
"Congo, Rep.",2021,World,Vegetable,Export,Export Product share(%),0.0647
"Congo, Rep.",2021,World,Textiles and Clothing,Export,Export Product share(%),0.1158
"Congo, Rep.",2021,World,Intermediate goods,Export,Export Product share(%),13.0601
"Congo, Rep.",2021,World,Minerals,Export,Export Product share(%),0.319
"Congo, Rep.",2021,World,Stone and Glass,Export,Export Product share(%),0.0311
"Congo, Rep.",2021,World,Capital goods,Export,Export Product share(%),18.6031
"Congo, Rep.",2021,World,Food Products,Export,Export Product share(%),0.5533
"Congo, Rep.",2021,World,Footwear,Export,Export Product share(%),0.0088
"Congo, Rep.",2021,World,Consumer goods,Export,Export Product share(%),15.0741
"Congo, Rep.",2021,World,Fuels,Export,Export Product share(%),55.0911
"Congo, Rep.",2021,World,Metals,Export,Export Product share(%),5.4319
"Congo, Rep.",2021,World,Animal,Export,Export Product share(%),0.2032
"Congo, Rep.",2021,World,Wood,Export,Export Product share(%),14.5462
"Congo, Rep.",2021,World,Raw materials,Export,Export Product share(%),53.0156
"Congo, Rep.",2021,World,Plastic or Rubber,Export,Export Product share(%),0.0283
"Congo, Rep.",2021,World,Transportation,Export,Export Product share(%),20.1407
"Congo, Rep.",2021,World,Hides and Skins,Export,Export Product share(%),0.0103
"Congo, Rep.",2021,World,Miscellaneous,Export,Export Product share(%),0.6101
"Congo, Rep.",2021,World,Chemicals,Export,Export Product share(%),0.1325
"Congo, Rep.",2021,World,Mach and Elec,Export,Export Product share(%),2.713
"Congo, Rep.",2021,World,Intermediate goods,Import,Import Product share(%),17.5584
"Congo, Rep.",2021,World,Consumer goods,Import,Import Product share(%),36.3871
"Congo, Rep.",2021,World,Capital goods,Import,Import Product share(%),26.4658
"Congo, Rep.",2021,World,Raw materials,Import,Import Product share(%),19.327
"Congo, Rep.",2015,World,Intermediate goods,Tariff,Weighted Average (%),10.2050507590255
"Congo, Rep.",2015,World,Consumer goods,Tariff,Weighted Average (%),14.7236763313725
