Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cook Islands,2011,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.836638
Cook Islands,2011,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.458176
Cook Islands,2011,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.189037
Cook Islands,2011,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.136789
Cook Islands,2011,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.122005
Cook Islands,2011,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,84.292153
Cook Islands,2011,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10.922119
Cook Islands,2011,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5.795345
Cook Islands,2011,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2.460094
Cook Islands,2011,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0.830239
Cook Islands,2011,World,Animal,Export,Export(US$ Mil),2.171119
Cook Islands,2011,World,Wood,Export,Export(US$ Mil),0.000459
Cook Islands,2011,World,Raw materials,Export,Export(US$ Mil),0.36787
Cook Islands,2011,World,Fuels,Export,Export(US$ Mil),
Cook Islands,2011,World,Metals,Export,Export(US$ Mil),0.009875
Cook Islands,2011,World,Minerals,Export,Export(US$ Mil),
Cook Islands,2011,World,Stone and Glass,Export,Export(US$ Mil),0.341935
Cook Islands,2011,World,Capital goods,Export,Export(US$ Mil),
Cook Islands,2011,World,Vegetable,Export,Export(US$ Mil),0.066596
Cook Islands,2011,World,Textiles and Clothing,Export,Export(US$ Mil),0.031777
Cook Islands,2011,World,Intermediate goods,Export,Export(US$ Mil),3.2E-05
Cook Islands,2011,World,Chemicals,Export,Export(US$ Mil),
Cook Islands,2011,World,Mach and Elec,Export,Export(US$ Mil),
Cook Islands,2011,World,Hides and Skins,Export,Export(US$ Mil),
Cook Islands,2011,World,Miscellaneous,Export,Export(US$ Mil),0.002611
Cook Islands,2011,World,Plastic or Rubber,Export,Export(US$ Mil),0.000332
Cook Islands,2011,World,Transportation,Export,Export(US$ Mil),
Cook Islands,2011,World,Food Products,Export,Export(US$ Mil),0.49999
Cook Islands,2011,World,Footwear,Export,Export(US$ Mil),
Cook Islands,2011,World,Consumer goods,Export,Export(US$ Mil),0.51389
Cook Islands,2011,World,Intermediate goods,Import,Import(US$ Mil),5.752209
Cook Islands,2011,World,Capital goods,Import,Import(US$ Mil),6.05947
Cook Islands,2011,World,Consumer goods,Import,Import(US$ Mil),43.097494
Cook Islands,2011,World,Raw materials,Import,Import(US$ Mil),5.263369
Cook Islands,2011,World,All Products,Export,Exports (in US$ Mil),3.124692
Cook Islands,2011,World,All Products,Import,Imports (in US$ Mil),109.316111
Cook Islands,2010,World,All Products,Tariff,Duty Free Imports (US$ Thousand),82837.403
Cook Islands,2010,...,...,Tariff,No. Of Tariff Agreement,1
Cook Islands,2011,...,...,Import,No. Of Import partners,41
Cook Islands,2011,...,...,Import,No. Of Import products,690
Cook Islands,2011,...,...,Export,No. Of Export partners,22
Cook Islands,2011,...,...,Export,No. Of Export products,13
Cook Islands,2011,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,58.7782
Cook Islands,2011,China,All Products,Export,Partner share(%)-Top 5 Export Partner,14.6631
Cook Islands,2011,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0498
Cook Islands,2011,New Zealand,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3777
Cook Islands,2011,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,3.9045
Cook Islands,2011,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,77.1086
Cook Islands,2011,Fiji,All Products,Import,Partner share(%)-Top 5 Import Partner,9.9913
Cook Islands,2011,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3015
Cook Islands,2011,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,2.2504
Cook Islands,2011,Cote d'Ivoire,All Products,Import,Partner share(%)-Top 5 Import Partner,0.7595
Cook Islands,2011,World,Minerals,Export,Export Product share(%),
Cook Islands,2011,World,Stone and Glass,Export,Export Product share(%),10.943
Cook Islands,2011,World,Capital goods,Export,Export Product share(%),
Cook Islands,2011,World,Plastic or Rubber,Export,Export Product share(%),0.0106
Cook Islands,2011,World,Transportation,Export,Export Product share(%),
Cook Islands,2011,World,Vegetable,Export,Export Product share(%),2.1313
Cook Islands,2011,World,Textiles and Clothing,Export,Export Product share(%),1.017
Cook Islands,2011,World,Intermediate goods,Export,Export Product share(%),0.001
Cook Islands,2011,World,Animal,Export,Export Product share(%),69.4827
Cook Islands,2011,World,Wood,Export,Export Product share(%),0.0147
Cook Islands,2011,World,Raw materials,Export,Export Product share(%),11.773
Cook Islands,2011,World,Chemicals,Export,Export Product share(%),
Cook Islands,2011,World,Mach and Elec,Export,Export Product share(%),
Cook Islands,2011,World,Fuels,Export,Export Product share(%),
Cook Islands,2011,World,Metals,Export,Export Product share(%),0.316
Cook Islands,2011,World,Hides and Skins,Export,Export Product share(%),
Cook Islands,2011,World,Miscellaneous,Export,Export Product share(%),0.0836
Cook Islands,2011,World,Food Products,Export,Export Product share(%),16.0013
Cook Islands,2011,World,Footwear,Export,Export Product share(%),
Cook Islands,2011,World,Consumer goods,Export,Export Product share(%),16.4461
