Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Comoros,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.64374494
Comoros,2021,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.46748344
Comoros,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.95051279
Comoros,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.9624248
Comoros,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.6507578
Comoros,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,192.35360471
Comoros,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,46.61493331
Comoros,2021,Pakistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,31.82972192
Comoros,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28.27681301
Comoros,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.067287
Comoros,2021,World,Food Products,Export,Export(US$ Mil),0.0548093
Comoros,2021,World,Footwear,Export,Export(US$ Mil),0.01219092
Comoros,2021,World,Consumer goods,Export,Export(US$ Mil),24.60184672
Comoros,2021,World,Vegetable,Export,Export(US$ Mil),18.50399408
Comoros,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.04180903
Comoros,2021,World,Intermediate goods,Export,Export(US$ Mil),6.80196547
Comoros,2021,World,Chemicals,Export,Export(US$ Mil),6.50295126
Comoros,2021,World,Mach and Elec,Export,Export(US$ Mil),2.41983504
Comoros,2021,World,Fuels,Export,Export(US$ Mil),0.0175351
Comoros,2021,World,Metals,Export,Export(US$ Mil),3.31107084
Comoros,2021,World,Animal,Export,Export(US$ Mil),4.811E-05
Comoros,2021,World,Wood,Export,Export(US$ Mil),0.00272773
Comoros,2021,World,Raw materials,Export,Export(US$ Mil),2.27875662
Comoros,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.04652358
Comoros,2021,World,Transportation,Export,Export(US$ Mil),3.5579489
Comoros,2021,World,Minerals,Export,Export(US$ Mil),0.00014721
Comoros,2021,World,Stone and Glass,Export,Export(US$ Mil),0.01202627
Comoros,2021,World,Capital goods,Export,Export(US$ Mil),1.31156371
Comoros,2021,World,Hides and Skins,Export,Export(US$ Mil),0.01074857
Comoros,2021,World,Miscellaneous,Export,Export(US$ Mil),0.49976658
Comoros,2021,World,Intermediate goods,Import,Import(US$ Mil),72.0772859300001
Comoros,2021,World,Consumer goods,Import,Import(US$ Mil),277.30913115
Comoros,2021,World,Capital goods,Import,Import(US$ Mil),45.66165441
Comoros,2021,World,Raw materials,Import,Import(US$ Mil),43.82200472
Comoros,2021,World,All Products,Export,Exports (in US$ Mil),34.99413252
Comoros,2021,World,All Products,Import,Imports (in US$ Mil),442.88357723
Comoros,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),154605.114462316
Comoros,2021,...,...,Tariff,No. Of Tariff Agreement,4
Comoros,2021,...,...,Import,No. Of Import partners,101
Comoros,2021,...,...,Import,No. Of Import products,2380
Comoros,2021,...,...,Export,No. Of Export partners,40
Comoros,2021,...,...,Export,No. Of Export products,175
Comoros,2019,...,...,Others,Trading Across Borders Rank,120
Comoros,2019,...,...,Others,Ease of Doing Business Rank,160
Comoros,2018,...,...,Others,Population,832322
Comoros,2018,...,...,Others,CPIA Trade Ratings,3.5
Comoros,2016,...,...,Others,LPI Score,2.57914
Comoros,2016,...,...,Others,LPI Rank,98
Comoros,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,24.7006
Comoros,2021,Tanzania,All Products,Export,Partner share(%)-Top 5 Export Partner,21.3392
Comoros,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,19.8619
Comoros,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6079
Comoros,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,4.7172
Comoros,2021,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,43.4321
Comoros,2021,France,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5253
Comoros,2021,Pakistan,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1869
Comoros,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3847
Comoros,2021,India,All Products,Import,Partner share(%)-Top 5 Import Partner,4.3053
Comoros,2021,World,Vegetable,Export,Export Product share(%),52.8774
Comoros,2021,World,Textiles and Clothing,Export,Export Product share(%),0.1195
Comoros,2021,World,Intermediate goods,Export,Export Product share(%),19.4374
Comoros,2021,World,Fuels,Export,Export Product share(%),0.0501
Comoros,2021,World,Metals,Export,Export Product share(%),9.4618
Comoros,2021,World,Chemicals,Export,Export Product share(%),18.583
Comoros,2021,World,Mach and Elec,Export,Export Product share(%),6.915
Comoros,2021,World,Animal,Export,Export Product share(%),0.0001
Comoros,2021,World,Wood,Export,Export Product share(%),0.0078
Comoros,2021,World,Raw materials,Export,Export Product share(%),6.5118
Comoros,2021,World,Minerals,Export,Export Product share(%),0.0004
Comoros,2021,World,Stone and Glass,Export,Export Product share(%),0.0344
Comoros,2021,World,Capital goods,Export,Export Product share(%),3.748
Comoros,2021,World,Plastic or Rubber,Export,Export Product share(%),0.1329
Comoros,2021,World,Transportation,Export,Export Product share(%),10.1673
Comoros,2021,World,Food Products,Export,Export Product share(%),0.1566
Comoros,2021,World,Footwear,Export,Export Product share(%),0.0348
Comoros,2021,World,Consumer goods,Export,Export Product share(%),70.3028
Comoros,2021,World,Hides and Skins,Export,Export Product share(%),0.0307
Comoros,2021,World,Miscellaneous,Export,Export Product share(%),1.4281
Comoros,2021,World,Consumer goods,Import,Import Product share(%),62.6145
Comoros,2021,World,Intermediate goods,Import,Import Product share(%),16.2745
Comoros,2021,World,Raw materials,Import,Import Product share(%),9.8947
Comoros,2021,World,Capital goods,Import,Import Product share(%),10.3101
Comoros,2021,World,Intermediate goods,Tariff,Weighted Average (%),1.41357256973924
Comoros,2021,World,Consumer goods,Tariff,Weighted Average (%),6.81851014654365
Comoros,2021,World,Capital goods,Tariff,Weighted Average (%),11.3543594417087
Comoros,2021,World,Raw materials,Tariff,Weighted Average (%),0.288518947442218
Comoros,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Comoros,2021,World,All Products,Trade Indicator,Country Growth (%),0.16483291361955
Comoros,2021,World,All Products,Tariff,Simple Average (%),12.4860780894766
Comoros,2021,World,All Products,Tariff,Weighted Average (%),4.33626617179633
Comoros,2021,World,All Products,Tariff,Maximum Rate (%),20
Comoros,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),26.9699019276294
Comoros,2021,...,...,Trade Indicator,Index of export market penetration,1.32917316692668
Comoros,2021,...,...,Trade Indicator,HH Market concentration index,0.123164140010759
