Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cape Verde,2020,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.4603301685933
Cape Verde,2020,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.03431415351066
Cape Verde,2020,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.18247819341705
Cape Verde,2020,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.979298590005
Cape Verde,2020,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.33105980232674
Cape Verde,2020,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,474.330301890853
Cape Verde,2020,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,182.990224617257
Cape Verde,2020,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,95.5001362621657
Cape Verde,2020,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,72.34079533858
Cape Verde,2020,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,69.0749310019123
Cape Verde,2020,World,Fuels,Export,Export(US$ Mil),
Cape Verde,2020,World,Metals,Export,Export(US$ Mil),0.00597595331041
Cape Verde,2020,World,Vegetable,Export,Export(US$ Mil),0.13984533674011
Cape Verde,2020,World,Textiles and Clothing,Export,Export(US$ Mil),3.99020520675352
Cape Verde,2020,World,Intermediate goods,Export,Export(US$ Mil),4.25363990121844
Cape Verde,2020,World,Chemicals,Export,Export(US$ Mil),0.10556195831953
Cape Verde,2020,World,Mach and Elec,Export,Export(US$ Mil),0.11829527305646
Cape Verde,2020,World,Food Products,Export,Export(US$ Mil),35.7814012530112
Cape Verde,2020,World,Footwear,Export,Export(US$ Mil),2.66396423072204
Cape Verde,2020,World,Consumer goods,Export,Export(US$ Mil),39.5958837596543
Cape Verde,2020,World,Plastic or Rubber,Export,Export(US$ Mil),
Cape Verde,2020,World,Transportation,Export,Export(US$ Mil),0.17524480732468
Cape Verde,2020,World,Hides and Skins,Export,Export(US$ Mil),0.00122939257
Cape Verde,2020,World,Miscellaneous,Export,Export(US$ Mil),1.1374266707327
Cape Verde,2020,World,Minerals,Export,Export(US$ Mil),0.00047783079956
Cape Verde,2020,World,Stone and Glass,Export,Export(US$ Mil),5.165515E-05
Cape Verde,2020,World,Capital goods,Export,Export(US$ Mil),0.33445805659875
Cape Verde,2020,World,Animal,Export,Export(US$ Mil),8.96907625456817
Cape Verde,2020,World,Wood,Export,Export(US$ Mil),0.00203756838484
Cape Verde,2020,World,Raw materials,Export,Export(US$ Mil),8.90681167397173
Cape Verde,2020,World,Consumer goods,Import,Import(US$ Mil),693.109134708312
Cape Verde,2020,World,Intermediate goods,Import,Import(US$ Mil),153.741528640178
Cape Verde,2020,World,Capital goods,Import,Import(US$ Mil),194.557471204489
Cape Verde,2020,World,Raw materials,Import,Import(US$ Mil),89.966276414726
Cape Verde,2020,World,All Products,Export,Exports (in US$ Mil),53.0907933914432
Cape Verde,2020,World,All Products,Import,Imports (in US$ Mil),1131.39915538586
Cape Verde,2020,World,All Products,Tariff,Duty Free Imports (US$ Thousand),198637.15295
Cape Verde,2020,...,...,Tariff,No. Of Tariff Agreement,2
Cape Verde,2020,...,...,Import,No. Of Import partners,107
Cape Verde,2020,...,...,Import,No. Of Import products,3179
Cape Verde,2020,...,...,Export,No. Of Export partners,13
Cape Verde,2020,...,...,Export,No. Of Export products,105
Cape Verde,2018,...,...,Others,Population,543767
Cape Verde,2018,...,...,Others,CPIA Trade Ratings,4.5
Cape Verde,2019,...,...,Others,Ease of Doing Business Rank,137
Cape Verde,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Cape Verde,2014,...,...,Others,No Of NTM Measures,44
Cape Verde,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1016876
Cape Verde,2019,...,...,Others,Trading Across Borders Rank,109
Cape Verde,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1016876
Cape Verde,2020,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,63.0247
Cape Verde,2020,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,15.1332
Cape Verde,2020,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,11.6451
Cape Verde,2020,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6117
Cape Verde,2020,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,2.5071
Cape Verde,2020,Portugal,All Products,Import,Partner share(%)-Top 5 Import Partner,41.9242
Cape Verde,2020,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,16.1738
Cape Verde,2020,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,8.4409
Cape Verde,2020,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3939
