Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Costa Rica,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6269.77200204
Costa Rica,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1036.71562563
Costa Rica,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,748.48740341
Costa Rica,2021,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,701.07004747
Costa Rica,2021,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,582.80171798
Costa Rica,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6957.32095507002
Costa Rica,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2937.92095872
Costa Rica,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1183.21630346
Costa Rica,2021,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,500.39906525
Costa Rica,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,417.410355019999
Costa Rica,2021,World,Fuels,Export,Export(US$ Mil),3.10053518
Costa Rica,2021,World,Metals,Export,Export(US$ Mil),663.16239135
Costa Rica,2021,World,Minerals,Export,Export(US$ Mil),39.89770009
Costa Rica,2021,World,Stone and Glass,Export,Export(US$ Mil),225.288608
Costa Rica,2021,World,Capital goods,Export,Export(US$ Mil),4853.11971458
Costa Rica,2021,World,Vegetable,Export,Export(US$ Mil),3330.26810789
Costa Rica,2021,World,Textiles and Clothing,Export,Export(US$ Mil),124.29207974
Costa Rica,2021,World,Intermediate goods,Export,Export(US$ Mil),2243.12698439
Costa Rica,2021,World,Food Products,Export,Export(US$ Mil),1721.83438034
Costa Rica,2021,World,Footwear,Export,Export(US$ Mil),2.20036157
Costa Rica,2021,World,Consumer goods,Export,Export(US$ Mil),3712.75686844
Costa Rica,2021,World,Plastic or Rubber,Export,Export(US$ Mil),787.62684697
Costa Rica,2021,World,Transportation,Export,Export(US$ Mil),23.79762707
Costa Rica,2021,World,Chemicals,Export,Export(US$ Mil),694.13043457
Costa Rica,2021,World,Mach and Elec,Export,Export(US$ Mil),727.53487563
Costa Rica,2021,World,Hides and Skins,Export,Export(US$ Mil),15.83693654
Costa Rica,2021,World,Miscellaneous,Export,Export(US$ Mil),5271.28819178
Costa Rica,2021,World,Animal,Export,Export(US$ Mil),391.12652187
Costa Rica,2021,World,Wood,Export,Export(US$ Mil),324.00996663
Costa Rica,2021,World,Raw materials,Export,Export(US$ Mil),3536.39080156
Costa Rica,2021,World,Intermediate goods,Import,Import(US$ Mil),4707.83605523
Costa Rica,2021,World,Consumer goods,Import,Import(US$ Mil),8331.58963584
Costa Rica,2021,World,Capital goods,Import,Import(US$ Mil),4164.48636398
Costa Rica,2021,World,Raw materials,Import,Import(US$ Mil),1224.08139509
Costa Rica,2021,World,All Products,Export,Exports (in US$ Mil),14345.39556522
Costa Rica,2021,World,All Products,Import,Imports (in US$ Mil),18428.11384058
Costa Rica,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),10589986.65891
Costa Rica,2021,...,...,Tariff,No. Of Tariff Agreement,25
Costa Rica,2021,...,...,Import,No. Of Import partners,201
Costa Rica,2021,...,...,Import,No. Of Import products,4046
Costa Rica,2021,...,...,Export,No. Of Export partners,149
Costa Rica,2021,...,...,Export,No. Of Export products,2947
Costa Rica,2019,...,...,Others,Trading Across Borders Rank,80
Costa Rica,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.015927
Costa Rica,2016,...,...,Others,LPI Score,2.64897
Costa Rica,2019,...,...,Others,Ease of Doing Business Rank,74
Costa Rica,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1
Costa Rica,2013,...,...,Others,No Of NTM Measures,1
Costa Rica,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0265392
Costa Rica,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0
Costa Rica,2018,...,...,Others,Population,4999441
Costa Rica,,...,...,Others,Services Trade Restrictions Index - Over All,29.3
