Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cuba,2006,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1871.030461
Cuba,2006,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,382.03199
Cuba,2006,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,123.410713
Cuba,2006,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,94.575196
Cuba,2006,Bolivia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47.399039
Cuba,2006,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3729.170292
Cuba,2006,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1362.404556
Cuba,2006,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,779.621521
Cuba,2006,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,575.416239
Cuba,2006,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,453.302019
Cuba,2006,World,Fuels,Export,Export(US$ Mil),0.008205
Cuba,2006,World,Metals,Export,Export(US$ Mil),105.447142
Cuba,2006,World,Food Products,Export,Export(US$ Mil),241.110862
Cuba,2006,World,Footwear,Export,Export(US$ Mil),0.405656
Cuba,2006,World,Consumer goods,Export,Export(US$ Mil),547.568725999999
Cuba,2006,World,Chemicals,Export,Export(US$ Mil),301.607814
Cuba,2006,World,Mach and Elec,Export,Export(US$ Mil),103.342427
Cuba,2006,World,Vegetable,Export,Export(US$ Mil),10.416674
Cuba,2006,World,Textiles and Clothing,Export,Export(US$ Mil),1.510114
Cuba,2006,World,Intermediate goods,Export,Export(US$ Mil),161.934809
Cuba,2006,World,Minerals,Export,Export(US$ Mil),40.174894
Cuba,2006,World,Stone and Glass,Export,Export(US$ Mil),0.957163
Cuba,2006,World,Capital goods,Export,Export(US$ Mil),260.067552
Cuba,2006,World,Plastic or Rubber,Export,Export(US$ Mil),2.192199
Cuba,2006,World,Transportation,Export,Export(US$ Mil),97.735493
Cuba,2006,World,Hides and Skins,Export,Export(US$ Mil),1.86854
Cuba,2006,World,Miscellaneous,Export,Export(US$ Mil),1991.364458
Cuba,2006,World,Animal,Export,Export(US$ Mil),68.053448
Cuba,2006,World,Wood,Export,Export(US$ Mil),13.956652
Cuba,2006,World,Raw materials,Export,Export(US$ Mil),139.73938
Cuba,2006,World,Intermediate goods,Import,Import(US$ Mil),1266.720493
Cuba,2006,World,Consumer goods,Import,Import(US$ Mil),2025.233437
Cuba,2006,World,Capital goods,Import,Import(US$ Mil),2617.115335
Cuba,2006,World,Raw materials,Import,Import(US$ Mil),534.722087000001
Cuba,2006,World,All Products,Export,Exports (in US$ Mil),2980.151743
Cuba,2006,World,All Products,Import,Imports (in US$ Mil),10173.591459
Cuba,2006,World,All Products,Tariff,Duty Free Imports (US$ Thousand),771879.61
Cuba,2006,...,...,Tariff,No. Of Tariff Agreement,17
Cuba,2006,...,...,Import,No. Of Import partners,155
Cuba,2006,...,...,Import,No. Of Import products,3873
Cuba,2006,...,...,Export,No. Of Export partners,114
Cuba,2006,...,...,Export,No. Of Export products,1148
Cuba,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0507038
Cuba,2018,...,...,Others,Population,11338138
Cuba,2016,...,...,Others,LPI Score,2.346459
Cuba,2016,...,...,Others,LPI Rank,131
Cuba,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),4810
Cuba,2014,...,...,Others,No Of NTM Measures,22
Cuba,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0552874
Cuba,2006,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,62.7831
Cuba,2006,Venezuela,All Products,Export,Partner share(%)-Top 5 Export Partner,12.8192
Cuba,2006,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1411
Cuba,2006,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,3.1735
Cuba,2006,Bolivia,All Products,Export,Partner share(%)-Top 5 Export Partner,1.5905
Cuba,2006,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,36.6554
Cuba,2006,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.3916
Cuba,2006,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,7.6632
Cuba,2006,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.656
Cuba,2006,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4557
Cuba,2006,World,Vegetable,Export,Export Product share(%),0.3495
Cuba,2006,World,Textiles and Clothing,Export,Export Product share(%),0.0507
Cuba,2006,World,Intermediate goods,Export,Export Product share(%),5.4338
Cuba,2006,World,Food Products,Export,Export Product share(%),8.0906
Cuba,2006,World,Footwear,Export,Export Product share(%),0.0136
Cuba,2006,World,Consumer goods,Export,Export Product share(%),18.3739
Cuba,2006,World,Minerals,Export,Export Product share(%),1.3481
Cuba,2006,World,Stone and Glass,Export,Export Product share(%),0.0321
Cuba,2006,World,Capital goods,Export,Export Product share(%),8.7267
Cuba,2006,World,Fuels,Export,Export Product share(%),0.0003
Cuba,2006,World,Metals,Export,Export Product share(%),3.5383
Cuba,2006,World,Chemicals,Export,Export Product share(%),10.1206
Cuba,2006,World,Mach and Elec,Export,Export Product share(%),3.4677
Cuba,2006,World,Animal,Export,Export Product share(%),2.2836
Cuba,2006,World,Wood,Export,Export Product share(%),0.4683
Cuba,2006,World,Raw materials,Export,Export Product share(%),4.689
Cuba,2006,World,Hides and Skins,Export,Export Product share(%),0.0627
Cuba,2006,World,Miscellaneous,Export,Export Product share(%),66.8209
Cuba,2006,World,Plastic or Rubber,Export,Export Product share(%),0.0736
Cuba,2006,World,Transportation,Export,Export Product share(%),3.2795
Cuba,2006,World,Consumer goods,Import,Import Product share(%),19.9068
Cuba,2006,World,Intermediate goods,Import,Import Product share(%),12.4511
Cuba,2006,World,Capital goods,Import,Import Product share(%),25.7246
Cuba,2006,World,Raw materials,Import,Import Product share(%),5.256
Cuba,2006,World,Consumer goods,Tariff,Weighted Average (%),12.0317972125105
Cuba,2006,World,Intermediate goods,Tariff,Weighted Average (%),7.19313236223007
Cuba,2006,World,Capital goods,Tariff,Weighted Average (%),8.76038265849986
Cuba,2006,World,Raw materials,Tariff,Weighted Average (%),5.86108728070829
Cuba,2006,World,All Products,Trade Indicator,World Growth (%),7.64313948533788
Cuba,2006,World,All Products,Trade Indicator,Country Growth (%),9.65400588165677
Cuba,2006,World,All Products,Tariff,Simple Average (%),11.1083764477333
Cuba,2006,World,All Products,Tariff,Weighted Average (%),9.2461396595278
Cuba,2006,World,All Products,Tariff,Maximum Rate (%),30
Cuba,2006,World,All Products,Tariff,Duty Free Tariff Lines Share (%),6.53453349489354
Cuba,2006,...,...,Trade Indicator,Index of export market penetration,1.92252195302945
Cuba,2006,...,...,Trade Indicator,HH Market concentration index,0.15086106988167
