Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cayman Islands,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.2847957050848
Cayman Islands,2021,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.23462323489135
Cayman Islands,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.56284229181575
Cayman Islands,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1253.41919197421
Cayman Islands,2021,Jamaica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.8880136031558
Cayman Islands,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38.0601979834975
Cayman Islands,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.3524942550568
Cayman Islands,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.2778883842002
Cayman Islands,2021,World,Chemicals,Export,Export(US$ Mil),1.31802658375455
Cayman Islands,2021,World,Mach and Elec,Export,Export(US$ Mil),7.99085298708205
Cayman Islands,2021,World,Food Products,Export,Export(US$ Mil),0.295559311492
Cayman Islands,2021,World,Footwear,Export,Export(US$ Mil),0.0030379566581
Cayman Islands,2021,World,Consumer goods,Export,Export(US$ Mil),2.54118767223785
Cayman Islands,2021,World,Minerals,Export,Export(US$ Mil),0.0282001175
Cayman Islands,2021,World,Stone and Glass,Export,Export(US$ Mil),0.2559283543637
Cayman Islands,2021,World,Capital goods,Export,Export(US$ Mil),8.91550085576545
Cayman Islands,2021,World,Hides and Skins,Export,Export(US$ Mil),0.0010857405239
Cayman Islands,2021,World,Miscellaneous,Export,Export(US$ Mil),2.56942964591225
Cayman Islands,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.1630839435136
Cayman Islands,2021,World,Transportation,Export,Export(US$ Mil),0.1088101653738
Cayman Islands,2021,World,Animal,Export,Export(US$ Mil),0.00240001
Cayman Islands,2021,World,Wood,Export,Export(US$ Mil),0.0792396181637
Cayman Islands,2021,World,Raw materials,Export,Export(US$ Mil),3.12092698380825
Cayman Islands,2021,World,Vegetable,Export,Export(US$ Mil),0.71384657834835
Cayman Islands,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.19974972428705
Cayman Islands,2021,World,Intermediate goods,Export,Export(US$ Mil),1.27348028614575
