Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cyprus,2021,Lebanon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,337.658689575237
Cyprus,2021,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,307.732219556714
Cyprus,2021,Marshall Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,297.143828002443
Cyprus,2021,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,261.116432191068
Cyprus,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,250.354103298587
Cyprus,2021,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2455.72062697997
Cyprus,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1045.21150803222
Cyprus,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,637.499979209814
Cyprus,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,527.146741142039
Cyprus,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,509.866048908954
Cyprus,2021,World,Food Products,Export,Export(US$ Mil),129.672338281013
Cyprus,2021,World,Footwear,Export,Export(US$ Mil),10.5250120492792
Cyprus,2021,World,Consumer goods,Export,Export(US$ Mil),2108.00554953834
Cyprus,2021,World,Vegetable,Export,Export(US$ Mil),89.3595419764804
Cyprus,2021,World,Textiles and Clothing,Export,Export(US$ Mil),18.703599790433
Cyprus,2021,World,Intermediate goods,Export,Export(US$ Mil),246.645656538791
Cyprus,2021,World,Chemicals,Export,Export(US$ Mil),637.277618117832
Cyprus,2021,World,Mach and Elec,Export,Export(US$ Mil),251.849583801358
Cyprus,2021,World,Fuels,Export,Export(US$ Mil),758.691101986553
Cyprus,2021,World,Metals,Export,Export(US$ Mil),108.740814116853
Cyprus,2021,World,Animal,Export,Export(US$ Mil),372.606724858889
Cyprus,2021,World,Wood,Export,Export(US$ Mil),17.7475588638717
Cyprus,2021,World,Raw materials,Export,Export(US$ Mil),241.873373900581
Cyprus,2021,World,Minerals,Export,Export(US$ Mil),21.5508223660991
Cyprus,2021,World,Stone and Glass,Export,Export(US$ Mil),27.0538362672966
Cyprus,2021,World,Capital goods,Export,Export(US$ Mil),1289.98442893979
Cyprus,2021,World,Plastic or Rubber,Export,Export(US$ Mil),36.6952798025096
Cyprus,2021,World,Transportation,Export,Export(US$ Mil),1361.01602955487
Cyprus,2021,World,Hides and Skins,Export,Export(US$ Mil),6.32664823279464
Cyprus,2021,World,Miscellaneous,Export,Export(US$ Mil),141.995754281259
Cyprus,2021,World,Consumer goods,Import,Import(US$ Mil),5579.19509635076
Cyprus,2021,World,Intermediate goods,Import,Import(US$ Mil),1571.40022124398
Cyprus,2021,World,Capital goods,Import,Import(US$ Mil),2480.64758629193
Cyprus,2021,World,Raw materials,Import,Import(US$ Mil),516.614416209423
Cyprus,2021,World,All Products,Export,Exports (in US$ Mil),3989.81226434739
Cyprus,2021,World,All Products,Import,Imports (in US$ Mil),10231.1205631598
Cyprus,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1458572.05649888
Cyprus,2021,...,...,Tariff,No. Of Tariff Agreement,
Cyprus,2021,...,...,Import,No. Of Import partners,184
Cyprus,2021,...,...,Import,No. Of Import products,3893
Cyprus,2021,...,...,Export,No. Of Export partners,198
Cyprus,2021,...,...,Export,No. Of Export products,1881
Cyprus,2019,...,...,Others,Trading Across Borders Rank,50
Cyprus,2018,...,...,Others,Population,1189265
Cyprus,2016,...,...,Others,LPI Score,2.999061
Cyprus,2019,...,...,Others,Ease of Doing Business Rank,54
Cyprus,2016,...,...,Others,LPI Rank,59
Cyprus,2021,Lebanon,All Products,Export,Partner share(%)-Top 5 Export Partner,8.463
Cyprus,2021,Greece,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7129
Cyprus,2021,Marshall Islands,All Products,Export,Partner share(%)-Top 5 Export Partner,7.4476
Cyprus,2021,Bunkers,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5446
Cyprus,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2748
Cyprus,2021,Greece,All Products,Import,Partner share(%)-Top 5 Import Partner,24.0025
Cyprus,2021,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,10.216
Cyprus,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.231
Cyprus,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1524
Cyprus,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,4.9835
Cyprus,2021,World,Vegetable,Export,Export Product share(%),2.2397
Cyprus,2021,World,Textiles and Clothing,Export,Export Product share(%),0.4688
Cyprus,2021,World,Intermediate goods,Export,Export Product share(%),6.1819
Cyprus,2021,World,Food Products,Export,Export Product share(%),3.2501
Cyprus,2021,World,Footwear,Export,Export Product share(%),0.2638
Cyprus,2021,World,Consumer goods,Export,Export Product share(%),52.8347
Cyprus,2021,World,Fuels,Export,Export Product share(%),19.0157
Cyprus,2021,World,Metals,Export,Export Product share(%),2.7255
Cyprus,2021,World,Chemicals,Export,Export Product share(%),15.9726
Cyprus,2021,World,Mach and Elec,Export,Export Product share(%),6.3123
Cyprus,2021,World,Animal,Export,Export Product share(%),9.339
Cyprus,2021,World,Wood,Export,Export Product share(%),0.4448
Cyprus,2021,World,Raw materials,Export,Export Product share(%),6.0623
Cyprus,2021,World,Minerals,Export,Export Product share(%),0.5401
Cyprus,2021,World,Stone and Glass,Export,Export Product share(%),0.6781
Cyprus,2021,World,Capital goods,Export,Export Product share(%),32.332
Cyprus,2021,World,Plastic or Rubber,Export,Export Product share(%),0.9197
