Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Czech Republic,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,73620.759111
Czech Republic,2021,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18298.003616
Czech Republic,2021,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15288.845363
Czech Republic,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10469.075294
Czech Republic,2021,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10136.04981
Czech Republic,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,46932.18153
Czech Republic,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35084.744217
Czech Republic,2021,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17308.253731
Czech Republic,2021,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9430.84772
Czech Republic,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8969.599197
Czech Republic,2021,World,Vegetable,Export,Export(US$ Mil),2794.980187
Czech Republic,2021,World,Textiles and Clothing,Export,Export(US$ Mil),5880.93376
Czech Republic,2021,World,Intermediate goods,Export,Export(US$ Mil),34170.04417
Czech Republic,2021,World,Food Products,Export,Export(US$ Mil),5767.803354
Czech Republic,2021,World,Footwear,Export,Export(US$ Mil),1256.161601
Czech Republic,2021,World,Consumer goods,Export,Export(US$ Mil),85230.450659
Czech Republic,2021,World,Fuels,Export,Export(US$ Mil),5047.248241
Czech Republic,2021,World,Metals,Export,Export(US$ Mil),20296.83706
Czech Republic,2021,World,Minerals,Export,Export(US$ Mil),351.198517
Czech Republic,2021,World,Stone and Glass,Export,Export(US$ Mil),4945.274271
Czech Republic,2021,World,Capital goods,Export,Export(US$ Mil),99231.0026929999
Czech Republic,2021,World,Chemicals,Export,Export(US$ Mil),12190.456779
Czech Republic,2021,World,Mach and Elec,Export,Export(US$ Mil),85266.691463
Czech Republic,2021,World,Plastic or Rubber,Export,Export(US$ Mil),12863.94087
Czech Republic,2021,World,Transportation,Export,Export(US$ Mil),42651.270355
Czech Republic,2021,World,Animal,Export,Export(US$ Mil),1915.764498
Czech Republic,2021,World,Wood,Export,Export(US$ Mil),8428.431623
Czech Republic,2021,World,Raw materials,Export,Export(US$ Mil),8134.826576
Czech Republic,2021,World,Hides and Skins,Export,Export(US$ Mil),486.016069
Czech Republic,2021,World,Miscellaneous,Export,Export(US$ Mil),17025.402374
Czech Republic,2021,World,Capital goods,Import,Import(US$ Mil),90104.115723
Czech Republic,2021,World,Consumer goods,Import,Import(US$ Mil),66452.714825
Czech Republic,2021,World,Intermediate goods,Import,Import(US$ Mil),43820.9868210001
Czech Republic,2021,World,Raw materials,Import,Import(US$ Mil),11995.143686
Czech Republic,2021,World,All Products,Export,Exports (in US$ Mil),227168.411022
Czech Republic,2021,World,All Products,Import,Imports (in US$ Mil),212480.637162
Czech Republic,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),63476297.612
Czech Republic,2021,...,...,Tariff,No. Of Tariff Agreement,
Czech Republic,2021,...,...,Import,No. Of Import partners,233
Czech Republic,2021,...,...,Import,No. Of Import products,4486
Czech Republic,2021,...,...,Export,No. Of Export partners,209
Czech Republic,2021,...,...,Export,No. Of Export products,4392
Czech Republic,2019,...,...,Others,Ease of Doing Business Rank,41
Czech Republic,2019,...,...,Others,Trading Across Borders Rank,1
Czech Republic,2018,...,...,Others,Population,10625695
Czech Republic,2016,...,...,Others,LPI Score,3.674309
Czech Republic,2016,...,...,Others,LPI Rank,26
Czech Republic,,...,...,Others,Services Trade Restrictions Index - Over All,16.6
