Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Germany,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,144604.026224551
Germany,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,123585.271090828
Germany,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,121000.352306048
Germany,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,108856.278817801
Germany,2021,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,92311.1145345435
Germany,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,170640.079042259
Germany,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,106763.470737483
Germany,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,86798.9952931947
Germany,2021,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,81518.3077760991
Germany,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,77221.2464357397
Germany,2021,World,Vegetable,Export,Export(US$ Mil),22073.3478558043
Germany,2021,World,Textiles and Clothing,Export,Export(US$ Mil),42136.1882082477
Germany,2021,World,Intermediate goods,Export,Export(US$ Mil),352582.209292538
Germany,2021,World,Plastic or Rubber,Export,Export(US$ Mil),91969.4401850708
Germany,2021,World,Transportation,Export,Export(US$ Mil),286187.763781626
Germany,2021,World,Food Products,Export,Export(US$ Mil),50201.2320709926
Germany,2021,World,Footwear,Export,Export(US$ Mil),10726.9932077766
Germany,2021,World,Consumer goods,Export,Export(US$ Mil),564669.982984003
Germany,2021,World,Fuels,Export,Export(US$ Mil),43300.1182418154
Germany,2021,World,Metals,Export,Export(US$ Mil),126890.046308378
Germany,2021,World,Animal,Export,Export(US$ Mil),23038.269901317
Germany,2021,World,Wood,Export,Export(US$ Mil),43738.1734612387
Germany,2021,World,Raw materials,Export,Export(US$ Mil),45953.6613080643
Germany,2021,World,Chemicals,Export,Export(US$ Mil),241236.451084072
Germany,2021,World,Mach and Elec,Export,Export(US$ Mil),442198.390656374
Germany,2021,World,Hides and Skins,Export,Export(US$ Mil),3743.47055889626
Germany,2021,World,Miscellaneous,Export,Export(US$ Mil),162026.803031926
Germany,2021,World,Minerals,Export,Export(US$ Mil),5887.0173518405
Germany,2021,World,Stone and Glass,Export,Export(US$ Mil),40245.8678822343
Germany,2021,World,Capital goods,Export,Export(US$ Mil),619053.373905197
Germany,2021,World,Intermediate goods,Import,Import(US$ Mil),312658.153623147
Germany,2021,World,Capital goods,Import,Import(US$ Mil),421567.718905817
Germany,2021,World,Raw materials,Import,Import(US$ Mil),136804.558496494
