Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Djibouti,2009,Ethiopia(excludes Eritrea),All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,128.55501
Djibouti,2009,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,73.029488
Djibouti,2009,Somalia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,43.157044
Djibouti,2009,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31.52615
Djibouti,2009,Qatar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22.882962
Djibouti,2009,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,197.54463
Djibouti,2009,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,119.667993
Djibouti,2009,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38.700712
Djibouti,2009,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35.408463
Djibouti,2009,Ethiopia(excludes Eritrea),All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32.474367
Djibouti,2009,World,Fuels,Export,Export(US$ Mil),10.525036
Djibouti,2009,World,Metals,Export,Export(US$ Mil),1.568256
Djibouti,2009,World,Vegetable,Export,Export(US$ Mil),24.685188
Djibouti,2009,World,Textiles and Clothing,Export,Export(US$ Mil),1.043391
Djibouti,2009,World,Intermediate goods,Export,Export(US$ Mil),52.148401
Djibouti,2009,World,Plastic or Rubber,Export,Export(US$ Mil),54.179066
Djibouti,2009,World,Transportation,Export,Export(US$ Mil),109.496786
Djibouti,2009,World,Minerals,Export,Export(US$ Mil),12.92946
Djibouti,2009,World,Stone and Glass,Export,Export(US$ Mil),0.37379
Djibouti,2009,World,Capital goods,Export,Export(US$ Mil),190.224628
Djibouti,2009,World,Chemicals,Export,Export(US$ Mil),4.951668
Djibouti,2009,World,Mach and Elec,Export,Export(US$ Mil),67.699492
Djibouti,2009,World,Hides and Skins,Export,Export(US$ Mil),0.058024
Djibouti,2009,World,Miscellaneous,Export,Export(US$ Mil),14.74673
Djibouti,2009,World,Food Products,Export,Export(US$ Mil),30.365017
Djibouti,2009,World,Footwear,Export,Export(US$ Mil),0.029321
Djibouti,2009,World,Consumer goods,Export,Export(US$ Mil),109.734015
Djibouti,2009,World,Animal,Export,Export(US$ Mil),29.440342
Djibouti,2009,World,Wood,Export,Export(US$ Mil),1.617269
Djibouti,2009,World,Raw materials,Export,Export(US$ Mil),9.626353
Djibouti,2009,World,Consumer goods,Import,Import(US$ Mil),333.386059
Djibouti,2009,World,Intermediate goods,Import,Import(US$ Mil),100.745165
Djibouti,2009,World,Capital goods,Import,Import(US$ Mil),169.441075
Djibouti,2009,World,Raw materials,Import,Import(US$ Mil),41.765677
Djibouti,2009,World,All Products,Export,Exports (in US$ Mil),363.708835
Djibouti,2009,World,All Products,Import,Imports (in US$ Mil),647.615351
Djibouti,2009,World,All Products,Tariff,Duty Free Imports (US$ Thousand),10080.015
Djibouti,2009,...,...,Tariff,No. Of Tariff Agreement,1
Djibouti,2009,...,...,Import,No. Of Import partners,84
Djibouti,2009,...,...,Import,No. Of Import products,1600
Djibouti,2009,...,...,Export,No. Of Export partners,53
Djibouti,2009,...,...,Export,No. Of Export products,312
Djibouti,2018,...,...,Others,Population,958920
Djibouti,2018,...,...,Others,CPIA Trade Ratings,4
Djibouti,2016,...,...,Others,LPI Score,2.32254
Djibouti,2019,...,...,Others,Ease of Doing Business Rank,112
Djibouti,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1576124
Djibouti,2016,...,...,Others,LPI Rank,134
Djibouti,2019,...,...,Others,Trading Across Borders Rank,147
Djibouti,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1576124
