Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Denmark,2021,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22800.4413409503
Denmark,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16167.6901965114
Denmark,2021,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11630.3942080503
Denmark,2021,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7165.77713610679
Denmark,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6285.1902782506
Denmark,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25133.1943226729
Denmark,2021,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15384.7591962502
Denmark,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10029.8304410751
Denmark,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9802.66567026811
Denmark,2021,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5338.771862082
Denmark,2021,World,Fuels,Export,Export(US$ Mil),6119.91533412234
Denmark,2021,World,Metals,Export,Export(US$ Mil),7783.1462465073
Denmark,2021,World,Minerals,Export,Export(US$ Mil),287.312529546871
Denmark,2021,World,Stone and Glass,Export,Export(US$ Mil),1333.99089038355
Denmark,2021,World,Capital goods,Export,Export(US$ Mil),31788.7224239987
Denmark,2021,World,Chemicals,Export,Export(US$ Mil),29029.5119846831
Denmark,2021,World,Mach and Elec,Export,Export(US$ Mil),26130.6143140049
Denmark,2021,World,Food Products,Export,Export(US$ Mil),7656.20898636628
Denmark,2021,World,Footwear,Export,Export(US$ Mil),667.825552501145
Denmark,2021,World,Consumer goods,Export,Export(US$ Mil),42080.7477753516
Denmark,2021,World,Plastic or Rubber,Export,Export(US$ Mil),3676.06291577447
Denmark,2021,World,Transportation,Export,Export(US$ Mil),5117.31804454443
Denmark,2021,World,Hides and Skins,Export,Export(US$ Mil),848.858463759614
Denmark,2021,World,Miscellaneous,Export,Export(US$ Mil),11300.323280761
Denmark,2021,World,Vegetable,Export,Export(US$ Mil),3650.10015150756
Denmark,2021,World,Textiles and Clothing,Export,Export(US$ Mil),6800.50723477595
Denmark,2021,World,Intermediate goods,Export,Export(US$ Mil),22059.9244600809
Denmark,2021,World,Animal,Export,Export(US$ Mil),12107.894734736
Denmark,2021,World,Wood,Export,Export(US$ Mil),2505.02368388696
Denmark,2021,World,Raw materials,Export,Export(US$ Mil),13469.4209416813
Denmark,2021,World,Consumer goods,Import,Import(US$ Mil),50006.5966326184
Denmark,2021,World,Capital goods,Import,Import(US$ Mil),32730.2413462903
Denmark,2021,World,Intermediate goods,Import,Import(US$ Mil),24328.8733220414
Denmark,2021,World,Raw materials,Import,Import(US$ Mil),12492.4308837707
Denmark,2021,World,All Products,Export,Exports (in US$ Mil),125014.614347862
Denmark,2021,World,All Products,Import,Imports (in US$ Mil),121784.02573577
Denmark,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),23276429.0137424
Denmark,2021,...,...,Tariff,No. Of Tariff Agreement,
Denmark,2021,...,...,Import,No. Of Import partners,218
Denmark,2021,...,...,Import,No. Of Import products,4417
Denmark,2021,...,...,Export,No. Of Export partners,221
Denmark,2021,...,...,Export,No. Of Export products,4276
Denmark,2019,...,...,Others,Ease of Doing Business Rank,4
Denmark,2019,...,...,Others,Trading Across Borders Rank,1
Denmark,2018,...,...,Others,Population,5797446
Denmark,2016,...,...,Others,LPI Score,3.815794
Denmark,2016,...,...,Others,LPI Rank,17
Denmark,,...,...,Others,Services Trade Restrictions Index - Over All,21
Denmark,2021,Special Categories,All Products,Export,Partner share(%)-Top 5 Export Partner,18.2382
Denmark,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.9326
Denmark,2021,Sweden,All Products,Export,Partner share(%)-Top 5 Export Partner,9.3032
Denmark,2021,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,5.732
Denmark,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0276
Denmark,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,20.6375
Denmark,2021,Sweden,All Products,Import,Partner share(%)-Top 5 Import Partner,12.6328
Denmark,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,8.2358
Denmark,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0492
Denmark,2021,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,4.3838
Denmark,2021,World,Vegetable,Export,Export Product share(%),2.9197
Denmark,2021,World,Textiles and Clothing,Export,Export Product share(%),5.4398
Denmark,2021,World,Intermediate goods,Export,Export Product share(%),17.6459
Denmark,2021,World,Food Products,Export,Export Product share(%),6.1243
Denmark,2021,World,Footwear,Export,Export Product share(%),0.5342
Denmark,2021,World,Consumer goods,Export,Export Product share(%),33.6607
Denmark,2021,World,Minerals,Export,Export Product share(%),0.2298
Denmark,2021,World,Stone and Glass,Export,Export Product share(%),1.0671
Denmark,2021,World,Capital goods,Export,Export Product share(%),25.428
Denmark,2021,World,Chemicals,Export,Export Product share(%),23.2209
Denmark,2021,World,Mach and Elec,Export,Export Product share(%),20.902
Denmark,2021,World,Plastic or Rubber,Export,Export Product share(%),2.9405
Denmark,2021,World,Transportation,Export,Export Product share(%),4.0934
Denmark,2021,World,Fuels,Export,Export Product share(%),4.8954
Denmark,2021,World,Metals,Export,Export Product share(%),6.2258
Denmark,2021,World,Hides and Skins,Export,Export Product share(%),0.679
Denmark,2021,World,Miscellaneous,Export,Export Product share(%),9.0392
Denmark,2021,World,Animal,Export,Export Product share(%),9.6852
Denmark,2021,World,Wood,Export,Export Product share(%),2.0038
Denmark,2021,World,Raw materials,Export,Export Product share(%),10.7743
Denmark,2021,World,Capital goods,Import,Import Product share(%),26.8756
Denmark,2021,World,Consumer goods,Import,Import Product share(%),41.0617
Denmark,2021,World,Raw materials,Import,Import Product share(%),10.2579
Denmark,2021,World,Intermediate goods,Import,Import Product share(%),19.9771
Denmark,2021,World,Consumer goods,Tariff,Weighted Average (%),3.41694380127245
Denmark,2021,World,Intermediate goods,Tariff,Weighted Average (%),1.33046756624629
Denmark,2021,World,Capital goods,Tariff,Weighted Average (%),0.670297682201258
Denmark,2021,World,Raw materials,Tariff,Weighted Average (%),0.638599284189565
Denmark,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Denmark,2021,World,All Products,Trade Indicator,Country Growth (%),6.40783718686604
Denmark,2021,World,All Products,Tariff,Simple Average (%),2.30275822345878
Denmark,2021,World,All Products,Tariff,Weighted Average (%),1.8954000853407
Denmark,2021,World,All Products,Tariff,Maximum Rate (%),209.190093994141
Denmark,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),61.4587241791612
Denmark,2021,...,...,Trade Indicator,Index of export market penetration,17.1245517228569
Denmark,2021,...,...,Trade Indicator,HH Market concentration index,0.0548898798029528
