Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Algeria,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5629.47966615
Algeria,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4431.26165651
Algeria,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4103.37076376
Algeria,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3467.90616812
Algeria,2017,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2127.96268383
Algeria,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8317.84390420001
Algeria,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4297.50776038
Algeria,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3754.996554
Algeria,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3223.25495852
Algeria,2017,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3130.60144291
Algeria,2017,World,Vegetable,Export,Export(US$ Mil),80.56130094
Algeria,2017,World,Textiles and Clothing,Export,Export(US$ Mil),4.03661696
Algeria,2017,World,Intermediate goods,Export,Export(US$ Mil),1424.60997821
Algeria,2017,World,Food Products,Export,Export(US$ Mil),263.4613986
Algeria,2017,World,Footwear,Export,Export(US$ Mil),0.07638781
Algeria,2017,World,Consumer goods,Export,Export(US$ Mil),20863.94043469
Algeria,2017,World,Fuels,Export,Export(US$ Mil),33822.73272199
Algeria,2017,World,Metals,Export,Export(US$ Mil),11.78259132
Algeria,2017,World,Animal,Export,Export(US$ Mil),8.61995258
Algeria,2017,World,Wood,Export,Export(US$ Mil),28.08805116
Algeria,2017,World,Raw materials,Export,Export(US$ Mil),12867.54319081
Algeria,2017,World,Chemicals,Export,Export(US$ Mil),778.72054369
Algeria,2017,World,Mach and Elec,Export,Export(US$ Mil),56.60214296
Algeria,2017,World,Plastic or Rubber,Export,Export(US$ Mil),4.07075024
Algeria,2017,World,Transportation,Export,Export(US$ Mil),21.05720426
Algeria,2017,World,Minerals,Export,Export(US$ Mil),58.32345069
Algeria,2017,World,Stone and Glass,Export,Export(US$ Mil),36.52268091
Algeria,2017,World,Capital goods,Export,Export(US$ Mil),35.02381239
Algeria,2017,World,Hides and Skins,Export,Export(US$ Mil),14.32208518
Algeria,2017,World,Miscellaneous,Export,Export(US$ Mil),2.13953681
Algeria,2017,World,Intermediate goods,Import,Import(US$ Mil),15073.72840882
Algeria,2017,World,Consumer goods,Import,Import(US$ Mil),11974.868806228
Algeria,2017,World,Raw materials,Import,Import(US$ Mil),4143.36876738
Algeria,2017,World,Capital goods,Import,Import(US$ Mil),14585.34583972
Algeria,2017,World,All Products,Export,Exports (in US$ Mil),35191.1174161
Algeria,2017,World,All Products,Import,Imports (in US$ Mil),46053.015989108
Algeria,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),11162900.946279
Algeria,2017,...,...,Tariff,No. Of Tariff Agreement,5
Algeria,2017,...,...,Import,No. Of Import partners,170
Algeria,2017,...,...,Import,No. Of Import products,4021
Algeria,2017,...,...,Export,No. Of Export partners,127
Algeria,2017,...,...,Export,No. Of Export products,1115
Algeria,,...,...,Others,Services Trade Restrictions Index - Over All,38.3
Algeria,2018,...,...,Others,Population,42228429
Algeria,2019,...,...,Others,Trading Across Borders Rank,172
Algeria,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.3262317
Algeria,2016,...,...,Others,LPI Score,2.769683
Algeria,2019,...,...,Others,Ease of Doing Business Rank,157
Algeria,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.3474007
Algeria,2016,...,...,Others,LPI Rank,75
Algeria,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,15.9969
Algeria,2017,France,All Products,Export,Partner share(%)-Top 5 Export Partner,12.592
Algeria,2017,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,11.6602
Algeria,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,9.8545
Algeria,2017,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0469
Algeria,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.0615
Algeria,2017,France,All Products,Import,Partner share(%)-Top 5 Import Partner,9.3317
Algeria,2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1536
Algeria,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.999
Algeria,2017,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7978
Algeria,2017,World,Vegetable,Export,Export Product share(%),0.2289
Algeria,2017,World,Textiles and Clothing,Export,Export Product share(%),0.0115
Algeria,2017,World,Intermediate goods,Export,Export Product share(%),4.0482
Algeria,2017,World,Food Products,Export,Export Product share(%),0.7487
Algeria,2017,World,Footwear,Export,Export Product share(%),0.0002
Algeria,2017,World,Consumer goods,Export,Export Product share(%),59.2875
Algeria,2017,World,Chemicals,Export,Export Product share(%),2.2128
Algeria,2017,World,Mach and Elec,Export,Export Product share(%),0.1608
Algeria,2017,World,Animal,Export,Export Product share(%),0.0245
Algeria,2017,World,Wood,Export,Export Product share(%),0.0798
Algeria,2017,World,Raw materials,Export,Export Product share(%),36.5647
Algeria,2017,World,Fuels,Export,Export Product share(%),96.1116
Algeria,2017,World,Metals,Export,Export Product share(%),0.0335
Algeria,2017,World,Plastic or Rubber,Export,Export Product share(%),0.0116
Algeria,2017,World,Transportation,Export,Export Product share(%),0.0598
Algeria,2017,World,Minerals,Export,Export Product share(%),0.1657
Algeria,2017,World,Stone and Glass,Export,Export Product share(%),0.1038
Algeria,2017,World,Capital goods,Export,Export Product share(%),0.0995
Algeria,2017,World,Hides and Skins,Export,Export Product share(%),0.0407
Algeria,2017,World,Miscellaneous,Export,Export Product share(%),0.0061
Algeria,2017,World,Consumer goods,Import,Import Product share(%),26.0024
Algeria,2017,World,Intermediate goods,Import,Import Product share(%),32.7313
Algeria,2017,World,Capital goods,Import,Import Product share(%),31.6708
Algeria,2017,World,Raw materials,Import,Import Product share(%),8.997
Algeria,2017,World,Consumer goods,Tariff,Weighted Average (%),15.501553411135
Algeria,2017,World,Intermediate goods,Tariff,Weighted Average (%),6.82654709245082
Algeria,2017,World,Raw materials,Tariff,Weighted Average (%),13.2599364730986
Algeria,2017,World,Capital goods,Tariff,Weighted Average (%),7.19519138885575
Algeria,2017,World,All Products,Trade Indicator,World Growth (%),5.559409476465
Algeria,2017,World,All Products,Trade Indicator,Country Growth (%),8.03828849102912
