Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1149440.83847389
,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1122462.10111447
,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,543399.207639787
,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,358186.853018245
,2021,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,304398.022950993
,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1277327.82928848
,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,509418.345268027
,2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,495554.096062074
,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,444161.653819404
,2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,420303.658048438
,2021,World,Fuels,Export,Export(US$ Mil),346667.089931945
,2021,World,Metals,Export,Export(US$ Mil),516756.132029636
,2021,World,Plastic or Rubber,Export,Export(US$ Mil),373833.031872463
,2021,World,Transportation,Export,Export(US$ Mil),483474.399820516
,2021,World,Vegetable,Export,Export(US$ Mil),165071.055698491
,2021,World,Textiles and Clothing,Export,Export(US$ Mil),423529.852232413
,2021,World,Intermediate goods,Export,Export(US$ Mil),1400291.50743998
,2021,World,Chemicals,Export,Export(US$ Mil),471712.16492093
,2021,World,Mach and Elec,Export,Export(US$ Mil),3127823.63240846
,2021,World,Animal,Export,Export(US$ Mil),73919.2390276257
,2021,World,Wood,Export,Export(US$ Mil),105190.832650866
,2021,World,Raw materials,Export,Export(US$ Mil),442697.495679137
,2021,World,Hides and Skins,Export,Export(US$ Mil),51075.1038758941
,2021,World,Miscellaneous,Export,Export(US$ Mil),736773.358295377
,2021,World,Minerals,Export,Export(US$ Mil),164880.976157888
,2021,World,Stone and Glass,Export,Export(US$ Mil),275107.411984444
,2021,World,Capital goods,Export,Export(US$ Mil),3396523.21758706
,2021,World,Food Products,Export,Export(US$ Mil),126595.04057282
,2021,World,Footwear,Export,Export(US$ Mil),106493.053048398
,2021,World,Consumer goods,Export,Export(US$ Mil),2176483.05831371
,2021,World,Intermediate goods,Import,Import(US$ Mil),1340701.31621354
