Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Egypt, Arab Rep.",2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2714.7037862207
"Egypt, Arab Rep.",2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2647.31849034324
"Egypt, Arab Rep.",2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2579.53925738721
"Egypt, Arab Rep.",2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2327.32046844807
"Egypt, Arab Rep.",2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2159.15440500293
"Egypt, Arab Rep.",2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10009.6148862732
"Egypt, Arab Rep.",2021,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7627.69951813641
"Egypt, Arab Rep.",2021,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6251.33936903541
"Egypt, Arab Rep.",2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5105.39109258777
"Egypt, Arab Rep.",2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3297.0703711885
"Egypt, Arab Rep.",2021,World,Vegetable,Export,Export(US$ Mil),3880.02739772886
"Egypt, Arab Rep.",2021,World,Textiles and Clothing,Export,Export(US$ Mil),3833.70687113044
"Egypt, Arab Rep.",2021,World,Intermediate goods,Export,Export(US$ Mil),12037.0972363859
"Egypt, Arab Rep.",2021,World,Food Products,Export,Export(US$ Mil),1875.83208228634
"Egypt, Arab Rep.",2021,World,Footwear,Export,Export(US$ Mil),4.22131774582356
"Egypt, Arab Rep.",2021,World,Consumer goods,Export,Export(US$ Mil),20850.4161766278
"Egypt, Arab Rep.",2021,World,Animal,Export,Export(US$ Mil),348.375437912104
"Egypt, Arab Rep.",2021,World,Wood,Export,Export(US$ Mil),876.004808812683
"Egypt, Arab Rep.",2021,World,Raw materials,Export,Export(US$ Mil),6618.99363005411
"Egypt, Arab Rep.",2021,World,Chemicals,Export,Export(US$ Mil),3885.97729232057
"Egypt, Arab Rep.",2021,World,Mach and Elec,Export,Export(US$ Mil),2698.92168649885
"Egypt, Arab Rep.",2021,World,Minerals,Export,Export(US$ Mil),744.711160018014
"Egypt, Arab Rep.",2021,World,Stone and Glass,Export,Export(US$ Mil),2444.07531478753
"Egypt, Arab Rep.",2021,World,Capital goods,Export,Export(US$ Mil),978.375563459728
"Egypt, Arab Rep.",2021,World,Fuels,Export,Export(US$ Mil),13164.1701718702
"Egypt, Arab Rep.",2021,World,Metals,Export,Export(US$ Mil),3470.77941923511
