Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Eritrea,2003,Fm Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.292275
Eritrea,2003,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.82012
Eritrea,2003,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.7685
Eritrea,2003,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.688952
Eritrea,2003,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.478329
Eritrea,2003,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,68.954703
Eritrea,2003,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,53.026542
Eritrea,2003,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,50.141245
Eritrea,2003,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45.502906
Eritrea,2003,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27.127185
Eritrea,2003,World,Minerals,Export,Export(US$ Mil),0.017181
Eritrea,2003,World,Stone and Glass,Export,Export(US$ Mil),0.013148
Eritrea,2003,World,Capital goods,Export,Export(US$ Mil),0.050335
Eritrea,2003,World,Fuels,Export,Export(US$ Mil),
Eritrea,2003,World,Metals,Export,Export(US$ Mil),0.18459
Eritrea,2003,World,Vegetable,Export,Export(US$ Mil),1.39241
Eritrea,2003,World,Textiles and Clothing,Export,Export(US$ Mil),0.582134
Eritrea,2003,World,Intermediate goods,Export,Export(US$ Mil),1.843643
Eritrea,2003,World,Food Products,Export,Export(US$ Mil),0.161744
Eritrea,2003,World,Footwear,Export,Export(US$ Mil),0.091804
Eritrea,2003,World,Consumer goods,Export,Export(US$ Mil),0.665486
Eritrea,2003,World,Plastic or Rubber,Export,Export(US$ Mil),0.182561
Eritrea,2003,World,Transportation,Export,Export(US$ Mil),0.193667
Eritrea,2003,World,Chemicals,Export,Export(US$ Mil),0.074847
Eritrea,2003,World,Mach and Elec,Export,Export(US$ Mil),0.049743
Eritrea,2003,World,Hides and Skins,Export,Export(US$ Mil),0.953106
