Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ethiopia(excludes Eritrea),2021,Somalia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,360.83772891
Ethiopia(excludes Eritrea),2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,330.21480825
Ethiopia(excludes Eritrea),2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,243.94271182
Ethiopia(excludes Eritrea),2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,229.34682493
Ethiopia(excludes Eritrea),2021,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,215.53822752
Ethiopia(excludes Eritrea),2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4035.05660576
Ethiopia(excludes Eritrea),2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2403.95031721
Ethiopia(excludes Eritrea),2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1168.34705353
Ethiopia(excludes Eritrea),2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,764.567265889999
Ethiopia(excludes Eritrea),2021,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,631.20408675
Ethiopia(excludes Eritrea),2021,World,Food Products,Export,Export(US$ Mil),27.4319265
Ethiopia(excludes Eritrea),2021,World,Footwear,Export,Export(US$ Mil),4.46171996
Ethiopia(excludes Eritrea),2021,World,Consumer goods,Export,Export(US$ Mil),488.25497379
Ethiopia(excludes Eritrea),2021,World,Vegetable,Export,Export(US$ Mil),2591.40037957
Ethiopia(excludes Eritrea),2021,World,Textiles and Clothing,Export,Export(US$ Mil),175.603807
Ethiopia(excludes Eritrea),2021,World,Intermediate goods,Export,Export(US$ Mil),296.64018164
Ethiopia(excludes Eritrea),2021,World,Minerals,Export,Export(US$ Mil),7.5056704
