Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
European Union,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,463858.079446199
European Union,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,331582.327945103
European Union,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,260734.89083615
European Union,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,185716.055462855
European Union,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,104373.97774576
European Union,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,559014.747140693
European Union,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,273934.349764925
European Union,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,174567.482128948
European Union,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,169736.690355601
European Union,2021,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,147927.836554757
European Union,2021,World,Hides and Skins,Export,Export(US$ Mil),25921.606864911
European Union,2021,World,Miscellaneous,Export,Export(US$ Mil),239211.536877528
European Union,2021,World,Fuels,Export,Export(US$ Mil),123505.697645208
European Union,2021,World,Metals,Export,Export(US$ Mil),147421.203450973
European Union,2021,World,Food Products,Export,Export(US$ Mil),125540.976523084
European Union,2021,World,Footwear,Export,Export(US$ Mil),16900.007816415
European Union,2021,World,Consumer goods,Export,Export(US$ Mil),936354.650947962
European Union,2021,World,Chemicals,Export,Export(US$ Mil),473923.160826611
European Union,2021,World,Mach and Elec,Export,Export(US$ Mil),605491.825957449
European Union,2021,World,Plastic or Rubber,Export,Export(US$ Mil),112138.861085504
European Union,2021,World,Transportation,Export,Export(US$ Mil),355663.133083809
European Union,2021,World,Animal,Export,Export(US$ Mil),50875.626436528
European Union,2021,World,Wood,Export,Export(US$ Mil),73542.649300701
European Union,2021,World,Raw materials,Export,Export(US$ Mil),117237.872593852
European Union,2021,World,Vegetable,Export,Export(US$ Mil),57426.111539024
European Union,2021,World,Textiles and Clothing,Export,Export(US$ Mil),69054.880757165
