Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Fiji,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,167.226091920478
Fiji,2021,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,134.577460720731
Fiji,2021,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,67.1237267406046
Fiji,2021,Tonga,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47.1268756557136
Fiji,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46.1994193349372
Fiji,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,361.204460707048
Fiji,2021,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,357.574072954016
Fiji,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,318.191220596155
Fiji,2021,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,312.718165730141
Fiji,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,223.4398534254
Fiji,2021,World,Minerals,Export,Export(US$ Mil),6.61315820001252
Fiji,2021,World,Stone and Glass,Export,Export(US$ Mil),60.2184767531357
Fiji,2021,World,Capital goods,Export,Export(US$ Mil),54.5193330929911
Fiji,2021,World,Animal,Export,Export(US$ Mil),77.3741324305092
Fiji,2021,World,Wood,Export,Export(US$ Mil),71.4544601107358
Fiji,2021,World,Raw materials,Export,Export(US$ Mil),148.937203753679
Fiji,2021,World,Chemicals,Export,Export(US$ Mil),33.8057056695524
Fiji,2021,World,Mach and Elec,Export,Export(US$ Mil),43.742269222172
Fiji,2021,World,Food Products,Export,Export(US$ Mil),247.585171426667
Fiji,2021,World,Footwear,Export,Export(US$ Mil),0.98398491831744
Fiji,2021,World,Consumer goods,Export,Export(US$ Mil),426.54636403703
Fiji,2021,World,Fuels,Export,Export(US$ Mil),91.282117070604
Fiji,2021,World,Metals,Export,Export(US$ Mil),32.0868185577287
Fiji,2021,World,Plastic or Rubber,Export,Export(US$ Mil),5.94212680198332
Fiji,2021,World,Transportation,Export,Export(US$ Mil),26.2348912103609
Fiji,2021,World,Vegetable,Export,Export(US$ Mil),60.6696285682991
Fiji,2021,World,Textiles and Clothing,Export,Export(US$ Mil),42.9385156315104
Fiji,2021,World,Intermediate goods,Export,Export(US$ Mil),180.656600432768
Fiji,2021,World,Hides and Skins,Export,Export(US$ Mil),0.4550902236465
Fiji,2021,World,Miscellaneous,Export,Export(US$ Mil),13.9491063575097
Fiji,2021,World,Capital goods,Import,Import(US$ Mil),547.077823409744
Fiji,2021,World,Intermediate goods,Import,Import(US$ Mil),385.387563282551
