Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
France,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,81694.5039620477
France,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46408.9863152948
France,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44709.3021521476
France,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,43452.9251672943
France,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41245.8722345246
France,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,119891.004421844
France,2021,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,76280.8985588135
France,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,63547.9786660484
France,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,59444.237967945
France,2021,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,55979.3275515907
France,2021,World,Vegetable,Export,Export(US$ Mil),21715.4900741137
France,2021,World,Textiles and Clothing,Export,Export(US$ Mil),18429.0306168496
France,2021,World,Intermediate goods,Export,Export(US$ Mil),130555.139888521
France,2021,World,Chemicals,Export,Export(US$ Mil),103562.323496612
France,2021,World,Mach and Elec,Export,Export(US$ Mil),106604.385573124
France,2021,World,Fuels,Export,Export(US$ Mil),19874.2933628735
France,2021,World,Metals,Export,Export(US$ Mil),42618.9914751233
France,2021,World,Minerals,Export,Export(US$ Mil),1697.06395456384
France,2021,World,Stone and Glass,Export,Export(US$ Mil),14498.2607771632
France,2021,World,Capital goods,Export,Export(US$ Mil),173664.914483108
France,2021,World,Animal,Export,Export(US$ Mil),16549.3374092994
France,2021,World,Wood,Export,Export(US$ Mil),13489.6407977707
France,2021,World,Raw materials,Export,Export(US$ Mil),34973.1186828413
France,2021,World,Plastic or Rubber,Export,Export(US$ Mil),32360.5395102002
France,2021,World,Transportation,Export,Export(US$ Mil),85932.7505127189
France,2021,World,Hides and Skins,Export,Export(US$ Mil),12559.2319294363
France,2021,World,Miscellaneous,Export,Export(US$ Mil),45299.0570351581
France,2021,World,Food Products,Export,Export(US$ Mil),44614.2129796784
France,2021,World,Footwear,Export,Export(US$ Mil),5343.42709416385
France,2021,World,Consumer goods,Export,Export(US$ Mil),223994.108433588
France,2021,World,Capital goods,Import,Import(US$ Mil),188182.939372439
France,2021,World,Intermediate goods,Import,Import(US$ Mil),154972.911793764
France,2021,World,Raw materials,Import,Import(US$ Mil),57961.4055268318
France,2021,World,Consumer goods,Import,Import(US$ Mil),298109.766427537
France,2021,World,All Products,Export,Exports (in US$ Mil),585148.03659885
France,2021,World,All Products,Import,Imports (in US$ Mil),714842.314539932
France,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),152058819.176786
France,2021,...,...,Tariff,No. Of Tariff Agreement,
France,2021,...,...,Import,No. Of Import partners,231
France,2021,...,...,Import,No. Of Import products,4547
France,2021,...,...,Export,No. Of Export partners,227
France,2021,...,...,Export,No. Of Export products,4503
France,,...,...,Others,Services Trade Restrictions Index - Over All,26.4
France,2018,...,...,Others,Population,66987244
France,2019,...,...,Others,Ease of Doing Business Rank,32
France,2016,...,...,Others,LPI Score,3.900953
France,2019,...,...,Others,Trading Across Borders Rank,1
France,2016,...,...,Others,LPI Rank,16
France,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,13.9613
France,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,7.9312
France,2021,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,7.6407
France,2021,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,7.426
France,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,7.0488
France,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,16.7717
France,2021,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,10.671
France,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,8.8898
France,2021,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3157
France,2021,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,7.831
France,2021,World,Vegetable,Export,Export Product share(%),3.7111
France,2021,World,Textiles and Clothing,Export,Export Product share(%),3.1495
France,2021,World,Intermediate goods,Export,Export Product share(%),22.3115
France,2021,World,Minerals,Export,Export Product share(%),0.29
France,2021,World,Stone and Glass,Export,Export Product share(%),2.4777
France,2021,World,Capital goods,Export,Export Product share(%),29.6788
France,2021,World,Animal,Export,Export Product share(%),2.8282
France,2021,World,Wood,Export,Export Product share(%),2.3053
France,2021,World,Raw materials,Export,Export Product share(%),5.9768
France,2021,World,Chemicals,Export,Export Product share(%),17.6985
France,2021,World,Mach and Elec,Export,Export Product share(%),18.2184
France,2021,World,Plastic or Rubber,Export,Export Product share(%),5.5303
France,2021,World,Transportation,Export,Export Product share(%),14.6856
France,2021,World,Fuels,Export,Export Product share(%),3.3965
France,2021,World,Metals,Export,Export Product share(%),7.2835
France,2021,World,Hides and Skins,Export,Export Product share(%),2.1463
France,2021,World,Miscellaneous,Export,Export Product share(%),7.7415
France,2021,World,Food Products,Export,Export Product share(%),7.6244
France,2021,World,Footwear,Export,Export Product share(%),0.9132
France,2021,World,Consumer goods,Export,Export Product share(%),38.2799
France,2021,World,Intermediate goods,Import,Import Product share(%),21.6793
France,2021,World,Raw materials,Import,Import Product share(%),8.1083
France,2021,World,Capital goods,Import,Import Product share(%),26.3251
France,2021,World,Consumer goods,Import,Import Product share(%),41.7029
France,2021,World,Intermediate goods,Tariff,Weighted Average (%),1.3847345810019
France,2021,World,Capital goods,Tariff,Weighted Average (%),0.585448906826562
France,2021,World,Raw materials,Tariff,Weighted Average (%),0.641249076511397
France,2021,World,Consumer goods,Tariff,Weighted Average (%),2.37590361392399
France,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
France,2021,World,All Products,Trade Indicator,Country Growth (%),9.17207251916481
France,2021,World,All Products,Tariff,Simple Average (%),2.14227325640713
France,2021,World,All Products,Tariff,Weighted Average (%),1.43928138600295
France,2021,World,All Products,Tariff,Maximum Rate (%),275.476013183594
France,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),64.3038615526098
France,2021,...,...,Trade Indicator,Index of export market penetration,34.794245830193
France,2021,...,...,Trade Indicator,HH Market concentration index,0.0456116222274891
