Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Faeroe Islands,2009,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,131.897715
Faeroe Islands,2009,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,83.814464
Faeroe Islands,2009,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,82.264959
Faeroe Islands,2009,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65.790833
Faeroe Islands,2009,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,62.358846
Faeroe Islands,2009,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,237.921756
Faeroe Islands,2009,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,141.967805
Faeroe Islands,2009,Chile,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.641823
Faeroe Islands,2009,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,47.754826
Faeroe Islands,2009,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,47.302455
Faeroe Islands,2009,World,Plastic or Rubber,Export,Export(US$ Mil),1.690406
Faeroe Islands,2009,World,Transportation,Export,Export(US$ Mil),44.241066
Faeroe Islands,2009,World,Vegetable,Export,Export(US$ Mil),0.68252
Faeroe Islands,2009,World,Textiles and Clothing,Export,Export(US$ Mil),2.907071
Faeroe Islands,2009,World,Intermediate goods,Export,Export(US$ Mil),57.264062
Faeroe Islands,2009,World,Food Products,Export,Export(US$ Mil),19.056089
Faeroe Islands,2009,World,Footwear,Export,Export(US$ Mil),0.009565
Faeroe Islands,2009,World,Consumer goods,Export,Export(US$ Mil),77.7417089999999
Faeroe Islands,2009,World,Fuels,Export,Export(US$ Mil),21.326272
Faeroe Islands,2009,World,Metals,Export,Export(US$ Mil),3.51691
Faeroe Islands,2009,World,Chemicals,Export,Export(US$ Mil),0.824707
Faeroe Islands,2009,World,Mach and Elec,Export,Export(US$ Mil),3.567201
Faeroe Islands,2009,World,Hides and Skins,Export,Export(US$ Mil),0.040108
Faeroe Islands,2009,World,Miscellaneous,Export,Export(US$ Mil),0.335314
Faeroe Islands,2009,World,Minerals,Export,Export(US$ Mil),0.014924
Faeroe Islands,2009,World,Stone and Glass,Export,Export(US$ Mil),0.091138
Faeroe Islands,2009,World,Capital goods,Export,Export(US$ Mil),47.078191
Faeroe Islands,2009,World,Animal,Export,Export(US$ Mil),659.334413
Faeroe Islands,2009,World,Wood,Export,Export(US$ Mil),4.106126
Faeroe Islands,2009,World,Raw materials,Export,Export(US$ Mil),579.659871
Faeroe Islands,2009,World,Capital goods,Import,Import(US$ Mil),209.584429
Faeroe Islands,2009,World,Consumer goods,Import,Import(US$ Mil),410.767315
Faeroe Islands,2009,World,Raw materials,Import,Import(US$ Mil),52.253849
Faeroe Islands,2009,World,Intermediate goods,Import,Import(US$ Mil),103.895069
Faeroe Islands,2009,World,All Products,Export,Exports (in US$ Mil),761.743826
Faeroe Islands,2009,World,All Products,Import,Imports (in US$ Mil),783.439826
Faeroe Islands,2009,...,...,Import,No. Of Import partners,184
Faeroe Islands,2009,...,...,Import,No. Of Import products,3408
Faeroe Islands,2009,...,...,Export,No. Of Export partners,64
Faeroe Islands,2009,...,...,Export,No. Of Export products,328
Faeroe Islands,2018,...,...,Others,Population,48497
Faeroe Islands,2009,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,17.3152
Faeroe Islands,2009,Denmark,All Products,Export,Partner share(%)-Top 5 Export Partner,11.003
Faeroe Islands,2009,France,All Products,Export,Partner share(%)-Top 5 Export Partner,10.7996
Faeroe Islands,2009,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,8.6369
Faeroe Islands,2009,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,8.1863
Faeroe Islands,2009,Denmark,All Products,Import,Partner share(%)-Top 5 Import Partner,30.3689
Faeroe Islands,2009,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,18.1211
Faeroe Islands,2009,Chile,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5917
