Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Micronesia, Fed. Sts.",2013,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22.050672
"Micronesia, Fed. Sts.",2013,Guam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.250369
"Micronesia, Fed. Sts.",2013,Northern Mariana Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.33168
"Micronesia, Fed. Sts.",2013,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.732895
"Micronesia, Fed. Sts.",2013,Marshall Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.255826
"Micronesia, Fed. Sts.",2013,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,69.380854
"Micronesia, Fed. Sts.",2013,Guam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41.420982
"Micronesia, Fed. Sts.",2013,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12.865916
"Micronesia, Fed. Sts.",2013,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12.619254
"Micronesia, Fed. Sts.",2013,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12.026173
"Micronesia, Fed. Sts.",2013,World,Plastic or Rubber,Export,Export(US$ Mil),
"Micronesia, Fed. Sts.",2013,World,Transportation,Export,Export(US$ Mil),
"Micronesia, Fed. Sts.",2013,World,Food Products,Export,Export(US$ Mil),0.351274
"Micronesia, Fed. Sts.",2013,World,Footwear,Export,Export(US$ Mil),
"Micronesia, Fed. Sts.",2013,World,Consumer goods,Export,Export(US$ Mil),0.50462
"Micronesia, Fed. Sts.",2013,World,Hides and Skins,Export,Export(US$ Mil),
"Micronesia, Fed. Sts.",2013,World,Miscellaneous,Export,Export(US$ Mil),0.011486
"Micronesia, Fed. Sts.",2013,World,Vegetable,Export,Export(US$ Mil),3.963321
"Micronesia, Fed. Sts.",2013,World,Textiles and Clothing,Export,Export(US$ Mil),0.00582
"Micronesia, Fed. Sts.",2013,World,Intermediate goods,Export,Export(US$ Mil),0.218573
"Micronesia, Fed. Sts.",2013,World,Chemicals,Export,Export(US$ Mil),
"Micronesia, Fed. Sts.",2013,World,Mach and Elec,Export,Export(US$ Mil),
"Micronesia, Fed. Sts.",2013,World,Minerals,Export,Export(US$ Mil),0.013816
"Micronesia, Fed. Sts.",2013,World,Stone and Glass,Export,Export(US$ Mil),
"Micronesia, Fed. Sts.",2013,World,Capital goods,Export,Export(US$ Mil),0.011486
"Micronesia, Fed. Sts.",2013,World,Animal,Export,Export(US$ Mil),23.156836
"Micronesia, Fed. Sts.",2013,World,Wood,Export,Export(US$ Mil),0.07406
"Micronesia, Fed. Sts.",2013,World,Raw materials,Export,Export(US$ Mil),26.886763
"Micronesia, Fed. Sts.",2013,World,Fuels,Export,Export(US$ Mil),
"Micronesia, Fed. Sts.",2013,World,Metals,Export,Export(US$ Mil),0.044829
"Micronesia, Fed. Sts.",2013,World,Intermediate goods,Import,Import(US$ Mil),18.173743
"Micronesia, Fed. Sts.",2013,World,Consumer goods,Import,Import(US$ Mil),127.718442
"Micronesia, Fed. Sts.",2013,World,Capital goods,Import,Import(US$ Mil),20.265909
"Micronesia, Fed. Sts.",2013,World,Raw materials,Import,Import(US$ Mil),14.9472
"Micronesia, Fed. Sts.",2013,World,All Products,Export,Exports (in US$ Mil),27.621441
"Micronesia, Fed. Sts.",2013,World,All Products,Import,Imports (in US$ Mil),187.692299
"Micronesia, Fed. Sts.",2013,...,...,Import,No. Of Import partners,64
"Micronesia, Fed. Sts.",2013,...,...,Import,No. Of Import products,2708
"Micronesia, Fed. Sts.",2013,...,...,Export,No. Of Export partners,5
"Micronesia, Fed. Sts.",2013,...,...,Export,No. Of Export products,18
"Micronesia, Fed. Sts.",2019,...,...,Others,Ease of Doing Business Rank,158
"Micronesia, Fed. Sts.",2019,...,...,Others,Trading Across Borders Rank,65
"Micronesia, Fed. Sts.",2018,...,...,Others,CPIA Trade Ratings,4
"Micronesia, Fed. Sts.",2018,...,...,Others,Population,112640
