Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Gabon,2009,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3160.351522
Gabon,2009,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,427.924379
Gabon,2009,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,282.138568
Gabon,2009,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,244.948321
Gabon,2009,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,215.312005
Gabon,2009,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,823.737916
Gabon,2009,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,392.62452
Gabon,2009,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,178.388505
Gabon,2009,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,128.757895
Gabon,2009,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,122.236509
Gabon,2009,World,Fuels,Export,Export(US$ Mil),4453.018307
Gabon,2009,World,Metals,Export,Export(US$ Mil),10.35501
Gabon,2009,World,Animal,Export,Export(US$ Mil),2.379344
Gabon,2009,World,Wood,Export,Export(US$ Mil),558.679283
Gabon,2009,World,Raw materials,Export,Export(US$ Mil),4917.683522
Gabon,2009,World,Minerals,Export,Export(US$ Mil),160.439786
Gabon,2009,World,Stone and Glass,Export,Export(US$ Mil),0.306794
Gabon,2009,World,Capital goods,Export,Export(US$ Mil),91.587095
Gabon,2009,World,Vegetable,Export,Export(US$ Mil),2.495089
Gabon,2009,World,Textiles and Clothing,Export,Export(US$ Mil),1.090054
Gabon,2009,World,Intermediate goods,Export,Export(US$ Mil),192.709678
Gabon,2009,World,Plastic or Rubber,Export,Export(US$ Mil),29.511678
Gabon,2009,World,Transportation,Export,Export(US$ Mil),22.393798
Gabon,2009,World,Chemicals,Export,Export(US$ Mil),4.078006
Gabon,2009,World,Mach and Elec,Export,Export(US$ Mil),68.434791
Gabon,2009,World,Hides and Skins,Export,Export(US$ Mil),0.06001
Gabon,2009,World,Miscellaneous,Export,Export(US$ Mil),7.048666
Gabon,2009,World,Food Products,Export,Export(US$ Mil),35.646749
Gabon,2009,World,Footwear,Export,Export(US$ Mil),0.040446
Gabon,2009,World,Consumer goods,Export,Export(US$ Mil),153.840179
Gabon,2009,World,Raw materials,Import,Import(US$ Mil),194.373927
Gabon,2009,World,Intermediate goods,Import,Import(US$ Mil),560.412055
Gabon,2009,World,Consumer goods,Import,Import(US$ Mil),921.524055
Gabon,2009,World,Capital goods,Import,Import(US$ Mil),817.631313999999
Gabon,2009,World,All Products,Export,Exports (in US$ Mil),5355.977813
Gabon,2009,World,All Products,Import,Imports (in US$ Mil),2500.862251
Gabon,2009,World,All Products,Tariff,Duty Free Imports (US$ Thousand),100748.996
Gabon,2009,...,...,Tariff,No. Of Tariff Agreement,2
Gabon,2009,...,...,Import,No. Of Import partners,130
Gabon,2009,...,...,Import,No. Of Import products,3424
Gabon,2009,...,...,Export,No. Of Export partners,114
Gabon,2009,...,...,Export,No. Of Export products,693
Gabon,2018,...,...,Others,Population,2119275
Gabon,2016,...,...,Others,LPI Score,2.19165
Gabon,2016,...,...,Others,LPI Rank,143
Gabon,2019,...,...,Others,Trading Across Borders Rank,170
Gabon,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.139101
Gabon,2019,...,...,Others,Ease of Doing Business Rank,169
Gabon,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1440592
Gabon,2009,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,59.0061
Gabon,2009,China,All Products,Export,Partner share(%)-Top 5 Export Partner,7.9897
Gabon,2009,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,5.2677
Gabon,2009,France,All Products,Export,Partner share(%)-Top 5 Export Partner,4.5734
Gabon,2009,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,4.02
Gabon,2009,France,All Products,Import,Partner share(%)-Top 5 Import Partner,32.9382
Gabon,2009,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,15.6996
Gabon,2009,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1331
Gabon,2009,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1485
Gabon,2009,China,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8878
Gabon,2009,World,Vegetable,Export,Export Product share(%),0.0466
Gabon,2009,World,Textiles and Clothing,Export,Export Product share(%),0.0204
Gabon,2009,World,Intermediate goods,Export,Export Product share(%),3.598
Gabon,2009,World,Minerals,Export,Export Product share(%),2.9955
Gabon,2009,World,Stone and Glass,Export,Export Product share(%),0.0057
Gabon,2009,World,Capital goods,Export,Export Product share(%),1.71
Gabon,2009,World,Food Products,Export,Export Product share(%),0.6656
Gabon,2009,World,Footwear,Export,Export Product share(%),0.0008
Gabon,2009,World,Consumer goods,Export,Export Product share(%),2.8723
Gabon,2009,World,Chemicals,Export,Export Product share(%),0.0761
Gabon,2009,World,Mach and Elec,Export,Export Product share(%),1.2777
Gabon,2009,World,Fuels,Export,Export Product share(%),83.1411
Gabon,2009,World,Metals,Export,Export Product share(%),0.1933
Gabon,2009,World,Plastic or Rubber,Export,Export Product share(%),0.551
Gabon,2009,World,Transportation,Export,Export Product share(%),0.4181
Gabon,2009,World,Hides and Skins,Export,Export Product share(%),0.0011
Gabon,2009,World,Miscellaneous,Export,Export Product share(%),0.1316
Gabon,2009,World,Animal,Export,Export Product share(%),0.0444
Gabon,2009,World,Wood,Export,Export Product share(%),10.4309
Gabon,2009,World,Raw materials,Export,Export Product share(%),91.8167
Gabon,2009,World,Intermediate goods,Import,Import Product share(%),22.4088
Gabon,2009,World,Raw materials,Import,Import Product share(%),7.7723
Gabon,2009,World,Consumer goods,Import,Import Product share(%),36.8483
Gabon,2009,World,Capital goods,Import,Import Product share(%),32.694
Gabon,2009,World,Intermediate goods,Tariff,Weighted Average (%),12.3533640447211
Gabon,2009,World,Raw materials,Tariff,Weighted Average (%),11.2825736823958
Gabon,2009,World,Consumer goods,Tariff,Weighted Average (%),20.06444892696
Gabon,2009,World,Capital goods,Tariff,Weighted Average (%),12.1896908920797
Gabon,2009,World,All Products,Trade Indicator,World Growth (%),-12.1927126330463
Gabon,2009,World,All Products,Trade Indicator,Country Growth (%),-25.3819676705693
Gabon,2009,World,All Products,Tariff,Simple Average (%),18.4780486901053
Gabon,2009,World,All Products,Tariff,Weighted Average (%),14.7469541028266
Gabon,2009,World,All Products,Tariff,Maximum Rate (%),30
Gabon,2009,World,All Products,Tariff,Duty Free Tariff Lines Share (%),3.07054525014053
Gabon,2009,...,...,Trade Indicator,Index of export market penetration,1.60099942340957
Gabon,2009,...,...,Trade Indicator,HH Market concentration index,0.117207409643318
