Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United Kingdom,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,59891.1166954874
United Kingdom,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40956.6801043544
United Kingdom,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39648.1258931935
United Kingdom,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37015.9203161119
United Kingdom,2021,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29135.166462144
United Kingdom,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,91162.1918326035
United Kingdom,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,75512.9674062705
United Kingdom,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,59691.0722194966
United Kingdom,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41621.0213039983
United Kingdom,2021,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35965.9796183758
United Kingdom,2021,World,Vegetable,Export,Export(US$ Mil),3259.57037293555
United Kingdom,2021,World,Textiles and Clothing,Export,Export(US$ Mil),8765.70605271178
United Kingdom,2021,World,Intermediate goods,Export,Export(US$ Mil),128102.359255726
United Kingdom,2021,World,Minerals,Export,Export(US$ Mil),2146.54314861805
United Kingdom,2021,World,Stone and Glass,Export,Export(US$ Mil),67493.7254851131
United Kingdom,2021,World,Capital goods,Export,Export(US$ Mil),128241.565627385
United Kingdom,2021,World,Animal,Export,Export(US$ Mil),7291.56038679403
United Kingdom,2021,World,Wood,Export,Export(US$ Mil),7767.77805376256
United Kingdom,2021,World,Raw materials,Export,Export(US$ Mil),38325.8558619205
United Kingdom,2021,World,Food Products,Export,Export(US$ Mil),18975.654869077
United Kingdom,2021,World,Footwear,Export,Export(US$ Mil),1454.45752513758
United Kingdom,2021,World,Consumer goods,Export,Export(US$ Mil),144997.493541718
United Kingdom,2021,World,Fuels,Export,Export(US$ Mil),37743.2239722653
United Kingdom,2021,World,Metals,Export,Export(US$ Mil),25651.5224186976
United Kingdom,2021,World,Chemicals,Export,Export(US$ Mil),61661.7758742412
United Kingdom,2021,World,Mach and Elec,Export,Export(US$ Mil),94253.5372611438
United Kingdom,2021,World,Plastic or Rubber,Export,Export(US$ Mil),15580.9990672114
United Kingdom,2021,World,Transportation,Export,Export(US$ Mil),55961.0639356197
United Kingdom,2021,World,Hides and Skins,Export,Export(US$ Mil),1502.72379656955
United Kingdom,2021,World,Miscellaneous,Export,Export(US$ Mil),61037.9438095642
United Kingdom,2021,World,Intermediate goods,Import,Import(US$ Mil),175496.984268662
United Kingdom,2021,World,Consumer goods,Import,Import(US$ Mil),266579.576197059
United Kingdom,2021,World,Capital goods,Import,Import(US$ Mil),172554.612381888
United Kingdom,2021,World,Raw materials,Import,Import(US$ Mil),61338.7354010232
United Kingdom,2021,World,All Products,Export,Exports (in US$ Mil),470547.786029463
United Kingdom,2021,World,All Products,Import,Imports (in US$ Mil),688236.538506736
United Kingdom,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),563148499.779148
United Kingdom,2021,...,...,Tariff,No. Of Tariff Agreement,50
United Kingdom,2021,...,...,Import,No. Of Import partners,226
United Kingdom,2021,...,...,Import,No. Of Import products,4491
United Kingdom,2021,...,...,Export,No. Of Export partners,230
United Kingdom,2021,...,...,Export,No. Of Export products,4457
United Kingdom,2019,...,...,Others,Ease of Doing Business Rank,8
United Kingdom,2019,...,...,Others,Trading Across Borders Rank,33
United Kingdom,2018,...,...,Others,Population,66488991
United Kingdom,2016,...,...,Others,LPI Score,4.069669
United Kingdom,,...,...,Others,Services Trade Restrictions Index - Over All,14.3
United Kingdom,2016,...,...,Others,LPI Rank,8
United Kingdom,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,12.728
United Kingdom,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,8.704
United Kingdom,2021,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,8.426
