Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guinea,2016,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,660.13379392
Guinea,2016,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,367.37139961
Guinea,2016,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,217.17818704
Guinea,2016,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,183.85514855
Guinea,2016,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,145.4017392
Guinea,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,582.19603878
Guinea,2016,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,464.70758806
Guinea,2016,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,443.70063092
Guinea,2016,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,287.78875748
Guinea,2016,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,243.06178398
Guinea,2016,World,Food Products,Export,Export(US$ Mil),9.73446753
Guinea,2016,World,Footwear,Export,Export(US$ Mil),0.00760289
Guinea,2016,World,Consumer goods,Export,Export(US$ Mil),60.53782812
Guinea,2016,World,Vegetable,Export,Export(US$ Mil),59.80022594
Guinea,2016,World,Textiles and Clothing,Export,Export(US$ Mil),7.42767634
Guinea,2016,World,Intermediate goods,Export,Export(US$ Mil),1544.38526702
Guinea,2016,World,Plastic or Rubber,Export,Export(US$ Mil),63.62736621
Guinea,2016,World,Transportation,Export,Export(US$ Mil),4.95667483
Guinea,2016,World,Animal,Export,Export(US$ Mil),34.13963047
Guinea,2016,World,Wood,Export,Export(US$ Mil),7.76035613
Guinea,2016,World,Raw materials,Export,Export(US$ Mil),776.17518215
Guinea,2016,World,Chemicals,Export,Export(US$ Mil),0.52314086
Guinea,2016,World,Mach and Elec,Export,Export(US$ Mil),10.99969227
Guinea,2016,World,Fuels,Export,Export(US$ Mil),11.16122021
Guinea,2016,World,Metals,Export,Export(US$ Mil),4.09437599
Guinea,2016,World,Minerals,Export,Export(US$ Mil),615.21413607
Guinea,2016,World,Stone and Glass,Export,Export(US$ Mil),1563.05732109
Guinea,2016,World,Capital goods,Export,Export(US$ Mil),12.36928434
Guinea,2016,World,Hides and Skins,Export,Export(US$ Mil),
Guinea,2016,World,Miscellaneous,Export,Export(US$ Mil),2.02463412
Guinea,2016,World,Consumer goods,Import,Import(US$ Mil),1438.47154556
Guinea,2016,World,Intermediate goods,Import,Import(US$ Mil),325.90082486
Guinea,2016,World,Capital goods,Import,Import(US$ Mil),1217.60557575
Guinea,2016,World,Raw materials,Import,Import(US$ Mil),463.76950963
Guinea,2016,World,All Products,Export,Exports (in US$ Mil),2394.52852095
Guinea,2016,World,All Products,Import,Imports (in US$ Mil),3463.05109418
Guinea,2008,World,All Products,Tariff,Duty Free Imports (US$ Thousand),50304.13
Guinea,2008,...,...,Tariff,No. Of Tariff Agreement,1
Guinea,2016,...,...,Import,No. Of Import partners,147
Guinea,2016,...,...,Import,No. Of Import products,2939
Guinea,2016,...,...,Export,No. Of Export partners,91
Guinea,2016,...,...,Export,No. Of Export products,399
Guinea,2018,...,...,Others,Population,12414318
Guinea,2018,...,...,Others,CPIA Trade Ratings,3.5
Guinea,2016,...,...,Others,LPI Score,2.35896
Guinea,2019,...,...,Others,Ease of Doing Business Rank,156
Guinea,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),4803
Guinea,2012,...,...,Others,No Of NTM Measures,43
Guinea,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1294466
Guinea,2019,...,...,Others,Trading Across Borders Rank,167
Guinea,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1294466
Guinea,2016,...,...,Others,LPI Rank,129
Guinea,2016,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,27.5684
Guinea,2016,Ghana,All Products,Export,Partner share(%)-Top 5 Export Partner,15.3421
Guinea,2016,India,All Products,Export,Partner share(%)-Top 5 Export Partner,9.0698
Guinea,2016,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,7.6781
Guinea,2016,France,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0722
Guinea,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,16.8117
Guinea,2016,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,13.419
Guinea,2016,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,12.8124
Guinea,2016,India,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3103
Guinea,2016,France,All Products,Import,Partner share(%)-Top 5 Import Partner,7.0187
Guinea,2016,World,Vegetable,Export,Export Product share(%),2.4974
Guinea,2016,World,Textiles and Clothing,Export,Export Product share(%),0.3102
Guinea,2016,World,Intermediate goods,Export,Export Product share(%),64.4964
Guinea,2016,World,Food Products,Export,Export Product share(%),0.4065
Guinea,2016,World,Footwear,Export,Export Product share(%),0.0003
Guinea,2016,World,Consumer goods,Export,Export Product share(%),2.5282
Guinea,2016,World,Fuels,Export,Export Product share(%),0.4661
Guinea,2016,World,Metals,Export,Export Product share(%),0.171
