Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Gambia, The",2021,Mali,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.80008432
"Gambia, The",2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.67410972
"Gambia, The",2021,Senegal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.88450231
"Gambia, The",2021,Guinea-Bissau,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.18051029
"Gambia, The",2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.96508859
"Gambia, The",2021,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,180.29909988
"Gambia, The",2021,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,87.72046465
"Gambia, The",2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,53.9626038600001
"Gambia, The",2021,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42.2911833
"Gambia, The",2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39.91793643
"Gambia, The",2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.01073936
"Gambia, The",2021,World,Transportation,Export,Export(US$ Mil),0.7215211
"Gambia, The",2021,World,Food Products,Export,Export(US$ Mil),1.90787183
"Gambia, The",2021,World,Footwear,Export,Export(US$ Mil),0.06227214
"Gambia, The",2021,World,Consumer goods,Export,Export(US$ Mil),14.49258632
"Gambia, The",2021,World,Vegetable,Export,Export(US$ Mil),8.43673148
"Gambia, The",2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.15391492
"Gambia, The",2021,World,Intermediate goods,Export,Export(US$ Mil),0.90283141
"Gambia, The",2021,World,Minerals,Export,Export(US$ Mil),0.4715817
"Gambia, The",2021,World,Stone and Glass,Export,Export(US$ Mil),0.0129631
"Gambia, The",2021,World,Capital goods,Export,Export(US$ Mil),1.68066366
"Gambia, The",2021,World,Fuels,Export,Export(US$ Mil),12.05624127
"Gambia, The",2021,World,Metals,Export,Export(US$ Mil),0.05864109
"Gambia, The",2021,World,Chemicals,Export,Export(US$ Mil),0.01539932
"Gambia, The",2021,World,Mach and Elec,Export,Export(US$ Mil),1.61717193
"Gambia, The",2021,World,Animal,Export,Export(US$ Mil),0.7069431
"Gambia, The",2021,World,Wood,Export,Export(US$ Mil),0.1679111
"Gambia, The",2021,World,Raw materials,Export,Export(US$ Mil),9.32520675
"Gambia, The",2021,World,Hides and Skins,Export,Export(US$ Mil),
"Gambia, The",2021,World,Miscellaneous,Export,Export(US$ Mil),0.001557
"Gambia, The",2021,World,Intermediate goods,Import,Import(US$ Mil),83.12791439
"Gambia, The",2021,World,Raw materials,Import,Import(US$ Mil),47.74620013
"Gambia, The",2021,World,Capital goods,Import,Import(US$ Mil),42.11592332
"Gambia, The",2021,World,Consumer goods,Import,Import(US$ Mil),534.37997806
"Gambia, The",2021,World,All Products,Export,Exports (in US$ Mil),26.40146044
"Gambia, The",2021,World,All Products,Import,Imports (in US$ Mil),708.3793097
"Gambia, The",2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),126275.043805462
"Gambia, The",2021,...,...,Tariff,No. Of Tariff Agreement,2
"Gambia, The",2021,...,...,Import,No. Of Import partners,118
"Gambia, The",2021,...,...,Import,No. Of Import products,2502
"Gambia, The",2021,...,...,Export,No. Of Export partners,33
"Gambia, The",2021,...,...,Export,No. Of Export products,136
"Gambia, The",2018,...,...,Others,Population,2280102
"Gambia, The",2018,...,...,Others,CPIA Trade Ratings,4
"Gambia, The",2019,...,...,Others,Ease of Doing Business Rank,155
"Gambia, The",2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5044
"Gambia, The",2013,...,...,Others,No Of NTM Measures,53
"Gambia, The",2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.140023
"Gambia, The",2019,...,...,Others,Trading Across Borders Rank,115
"Gambia, The",2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1400231
"Gambia, The",2021,Mali,All Products,Export,Partner share(%)-Top 5 Export Partner,44.6948
"Gambia, The",2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,29.067
"Gambia, The",2021,Senegal,All Products,Export,Partner share(%)-Top 5 Export Partner,10.9255
"Gambia, The",2021,Guinea-Bissau,All Products,Export,Partner share(%)-Top 5 Export Partner,4.4714
