Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guinea-Bissau,2005,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20.13458
Guinea-Bissau,2005,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.812782
Guinea-Bissau,2005,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.121206
Guinea-Bissau,2005,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.058233
Guinea-Bissau,2005,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.049769
Guinea-Bissau,2005,Senegal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45.723375
Guinea-Bissau,2005,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41.559
Guinea-Bissau,2005,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7.798237
Guinea-Bissau,2005,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6.671598
Guinea-Bissau,2005,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3.61392
Guinea-Bissau,2005,World,Fuels,Export,Export(US$ Mil),
Guinea-Bissau,2005,World,Metals,Export,Export(US$ Mil),0.146181
Guinea-Bissau,2005,World,Vegetable,Export,Export(US$ Mil),22.917244
Guinea-Bissau,2005,World,Textiles and Clothing,Export,Export(US$ Mil),
Guinea-Bissau,2005,World,Intermediate goods,Export,Export(US$ Mil),0.000304
Guinea-Bissau,2005,World,Food Products,Export,Export(US$ Mil),0.016156
Guinea-Bissau,2005,World,Footwear,Export,Export(US$ Mil),
Guinea-Bissau,2005,World,Consumer goods,Export,Export(US$ Mil),0.020399
Guinea-Bissau,2005,World,Plastic or Rubber,Export,Export(US$ Mil),0.003156
Guinea-Bissau,2005,World,Transportation,Export,Export(US$ Mil),0.003042
Guinea-Bissau,2005,World,Hides and Skins,Export,Export(US$ Mil),
Guinea-Bissau,2005,World,Miscellaneous,Export,Export(US$ Mil),0.096884
Guinea-Bissau,2005,World,Minerals,Export,Export(US$ Mil),
Guinea-Bissau,2005,World,Stone and Glass,Export,Export(US$ Mil),
Guinea-Bissau,2005,World,Capital goods,Export,Export(US$ Mil),0.015153
Guinea-Bissau,2005,World,Chemicals,Export,Export(US$ Mil),
Guinea-Bissau,2005,World,Mach and Elec,Export,Export(US$ Mil),0.012435
Guinea-Bissau,2005,World,Animal,Export,Export(US$ Mil),
Guinea-Bissau,2005,World,Wood,Export,Export(US$ Mil),0.049778
Guinea-Bissau,2005,World,Raw materials,Export,Export(US$ Mil),23.112505
Guinea-Bissau,2005,World,Raw materials,Import,Import(US$ Mil),2.655095
Guinea-Bissau,2005,World,Intermediate goods,Import,Import(US$ Mil),13.008118
Guinea-Bissau,2005,World,Consumer goods,Import,Import(US$ Mil),83.516107
Guinea-Bissau,2005,World,Capital goods,Import,Import(US$ Mil),11.592941
Guinea-Bissau,2005,World,All Products,Export,Exports (in US$ Mil),23.244874
Guinea-Bissau,2005,World,All Products,Import,Imports (in US$ Mil),111.684811
Guinea-Bissau,2005,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7188.883
Guinea-Bissau,2005,...,...,Tariff,No. Of Tariff Agreement,1
Guinea-Bissau,2005,...,...,Import,No. Of Import partners,24
Guinea-Bissau,2005,...,...,Import,No. Of Import products,1315
Guinea-Bissau,2005,...,...,Export,No. Of Export partners,12
Guinea-Bissau,2005,...,...,Export,No. Of Export products,32
Guinea-Bissau,2018,...,...,Others,Population,1874309
Guinea-Bissau,2018,...,...,Others,CPIA Trade Ratings,4
Guinea-Bissau,2016,...,...,Others,LPI Score,2.370681
Guinea-Bissau,2016,...,...,Others,LPI Rank,128
Guinea-Bissau,2019,...,...,Others,Ease of Doing Business Rank,174
Guinea-Bissau,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1570877
Guinea-Bissau,2019,...,...,Others,Trading Across Borders Rank,146
Guinea-Bissau,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1146585
Guinea-Bissau,2005,India,All Products,Export,Partner share(%)-Top 5 Export Partner,86.6194
Guinea-Bissau,2005,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,12.1007
Guinea-Bissau,2005,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,0.5214
Guinea-Bissau,2005,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,0.2505
Guinea-Bissau,2005,Panama,All Products,Export,Partner share(%)-Top 5 Export Partner,0.2141
Guinea-Bissau,2005,Senegal,All Products,Import,Partner share(%)-Top 5 Import Partner,40.9397
Guinea-Bissau,2005,Portugal,All Products,Import,Partner share(%)-Top 5 Import Partner,37.211
Guinea-Bissau,2005,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,6.9824
Guinea-Bissau,2005,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9736
Guinea-Bissau,2005,France,All Products,Import,Partner share(%)-Top 5 Import Partner,3.2358
Guinea-Bissau,2005,World,Vegetable,Export,Export Product share(%),98.5905
Guinea-Bissau,2005,World,Textiles and Clothing,Export,Export Product share(%),
Guinea-Bissau,2005,World,Intermediate goods,Export,Export Product share(%),0.0013
Guinea-Bissau,2005,World,Food Products,Export,Export Product share(%),0.0695
Guinea-Bissau,2005,World,Footwear,Export,Export Product share(%),
Guinea-Bissau,2005,World,Consumer goods,Export,Export Product share(%),0.0878
Guinea-Bissau,2005,World,Minerals,Export,Export Product share(%),
Guinea-Bissau,2005,World,Stone and Glass,Export,Export Product share(%),
Guinea-Bissau,2005,World,Capital goods,Export,Export Product share(%),0.0652
Guinea-Bissau,2005,World,Fuels,Export,Export Product share(%),
Guinea-Bissau,2005,World,Metals,Export,Export Product share(%),0.6289
Guinea-Bissau,2005,World,Chemicals,Export,Export Product share(%),
Guinea-Bissau,2005,World,Mach and Elec,Export,Export Product share(%),0.0535
Guinea-Bissau,2005,World,Plastic or Rubber,Export,Export Product share(%),0.0136
Guinea-Bissau,2005,World,Transportation,Export,Export Product share(%),0.0131
Guinea-Bissau,2005,World,Hides and Skins,Export,Export Product share(%),
Guinea-Bissau,2005,World,Miscellaneous,Export,Export Product share(%),0.4168
Guinea-Bissau,2005,World,Animal,Export,Export Product share(%),
Guinea-Bissau,2005,World,Wood,Export,Export Product share(%),0.2141
Guinea-Bissau,2005,World,Raw materials,Export,Export Product share(%),99.4305
Guinea-Bissau,2005,World,Raw materials,Import,Import Product share(%),2.3773
Guinea-Bissau,2005,World,Consumer goods,Import,Import Product share(%),74.7784
Guinea-Bissau,2005,World,Capital goods,Import,Import Product share(%),10.3801
Guinea-Bissau,2005,World,Intermediate goods,Import,Import Product share(%),11.6472
Guinea-Bissau,2005,World,Raw materials,Tariff,Weighted Average (%),8.70828757447821
Guinea-Bissau,2005,World,Consumer goods,Tariff,Weighted Average (%),11.7132043357888
Guinea-Bissau,2005,World,Capital goods,Tariff,Weighted Average (%),8.00349310596281
Guinea-Bissau,2005,World,Intermediate goods,Tariff,Weighted Average (%),14.9322794918128
Guinea-Bissau,2005,World,All Products,Trade Indicator,World Growth (%),6.12920437475053
Guinea-Bissau,2005,World,All Products,Trade Indicator,Country Growth (%),-4.44264455068514
Guinea-Bissau,2005,World,All Products,Tariff,Simple Average (%),14.0285418504862
Guinea-Bissau,2005,World,All Products,Tariff,Weighted Average (%),11.6223325265456
Guinea-Bissau,2005,World,All Products,Tariff,Maximum Rate (%),20
Guinea-Bissau,2005,World,All Products,Tariff,Duty Free Tariff Lines Share (%),2.80088740987244
Guinea-Bissau,2005,...,...,Trade Indicator,Index of export market penetration,1.1770412287793
Guinea-Bissau,2005,...,...,Trade Indicator,HH Market concentration index,0.798163526819477
